F1,F2,F3,F4,F5,F6,CODE1,ITEME,ITEMF,CODE2,prove,provf,taxyr,f7
231500,239881,219630,301452,225940,442311,B,taxable amount of dividends,montant imposable des dividendes,11,,,2006,2
742280,1090653,582790,1048059,524100,996547,B,"interest,other invest. income",revenus de placements,12,,,2006,2
223160,618522,214230,929589,189750,1064178,B,annuity income,revenus de rentes,13,,,2006,2
88500,122077,88110,138205,88470,126936,B,net rental income,revenus nets de location,14,,,2006,2
161320,245046,158750,294244,153830,345001,B,taxable capital gains,gains en capital imposables,15,,,2006,2
111750,399278,116800,451623,128950,498671,B,rrsp income,revenu d'un régime enregistré d'épargne-retraite,16,,,2006,2
192590,1791261,157700,1706182,127290,1481025,B,net business income,revenus nets d'entreprise,17,,,2006,2
18640,167820,17100,207484,14360,175479,B,net professional income,revenus nets de profession libéral,18,,,2006,2
13060,83473,12500,118371,9840,101964,B,net commission income,revenus nets de commissions,19,,,2006,2
36970,78144,30450,98810,26120,73103,B,net farming income,revenus nets d'agriculture,20,,,2006,2
5100,23794,3850,19521,3680,38529,B,net fishing income,revenus nets de pêche,21,,,2006,2
837440,3823612,259020,1284341,133870,858911,B,tax-exempt income,revenus non imposables,22,,,2006,2
307050,739303,277210,671080,264990,703969,B,other income,autres revenus,23,,,2006,2
2381970,41380831,1793810,40201442,1624360,44615680,B,total income assessed,revenu total établi,24,,,2006,2
108070,59047,163300,119332,233760,223414,C,rpp deduction,déductions à un rpa,25,,,2006,2
215670,540428,307950,587654,380220,838512,C,rrsp contributions,déductions à un reer,26,,,2006,2
271410,59937,309540,85722,361800,125486,C,"annual union, professional, or like dues","cot. annuelles syndicales, prof., et semblables",27,,,2006,2
102800,217804,112240,293926,116760,337794,C,child care expenses,frais de garde d'enfants,28,,,2006,2
156240,69435,163710,88488,169490,110521,C,carrying charges and interest expenses,frais financiers et frais d'intérêts,29,,,2006,2
171290,87195,140690,91765,109510,82285,C,cpp/qpp contrib. on self-empl./other earning,cotisations au rpc ou au rrq,30,,,2006,2
24860,53729,33530,70445,47180,125916,C,other employment expenses,autres dépenses d'emploi,31,,,2006,2
154460,133885,144430,120708,124870,188895,C,other deductions (from total income),autres déductions (du revenu total),32,,,2006,2
840030,1221460,900120,1458040,958450,2032824,C,total deduction before adjustment,total des déductions avant ajustement,33,,,2006,2
0,0,180,1057,130,1082,C,social benefits repayment,remb. des prestations de progr. sociaux,34,,,2006,2
2380330,40364177,1792670,38743189,1623290,42590791,C,net income after adjustment,revenu net après ajustements,35,,,2006,2
2140,12708,2180,7328,2520,16010,C,capital gains deduction,déduction pour gains en capital,36,,,2006,2
28670,51069,32850,68985,33490,82876,C,losses from other years,pertes d'autres années,37,,,2006,2
864230,3969444,290630,1419282,164390,978004,C,additional deductions (from net income),déductions supplémentaires (du revenu net),38,,,2006,2
890470,4033220,321420,1495598,196420,1076891,C,total deductions (from net income),total des déductions (du revenu net),39,,,2006,2
2348100,36340312,1780860,37251320,1617430,41515222,C,taxable income assessed,revenu imposable établi,40,,,2006,2
2380450,20991657,1792740,15810270,1623400,14333678,C,basic personal amount,montant personnel de base,41,,,2006,2
920660,4654192,469320,2376947,357450,1810770,D,age amount,montant en raison de l'âge,42,,,2006,2
293650,1735927,253070,1432333,221580,1293792,D,"spouse,elig. depend.,adoption amt.","montant pour conjoint,pers. à charge, et frais d'adoption",43,,,2006,2
1244030,733914,1181950,953586,1161150,1206073,D,cpp or qpp contributions,cotisations au rpc ou au rrq,44,,,2006,2
1094970,284376,1062950,357477,1066810,449265,D,employment insurance premiums,cotisations à l'assurance-emploi,45,,,2006,2
1226950,303376,1190350,293478,1191610,293901,D,canada employment amount,montant canadien pour l'emploi,46,,,2006,2
84060,29297,80380,30155,69370,27527,D,public transit passes amount,credit pour laissez-passer de transport en commun,47,,,2006,2
494050,836346,448120,858782,378620,738701,D,pension income amount,montant pour revenu de pension,48,,,2006,2
10080,38564,13220,55503,14100,55683,D,caregiver amount,montant pour aidants naturels,49,,,2006,2
77170,526368,60000,412656,48290,345477,D,disability amount,montant pour personnes handicapées,50,,,2006,2
286020,1290570,223690,1165499,180620,886764,D,tuition and education amounts,frais de scolarité et montant relatif aux études,51,,,2006,2
55850,31190,69310,41622,79750,47862,D,interest paid on student loans,intérêts payés sur vos prêts étudiants,52,,,2006,2
137680,596757,108840,479343,79620,334034,D,amounts transferred from spouse,montants transférés du conjoint,53,,,2006,2
523870,914209,477720,892717,409660,849000,D,allowable amt. of med. expenses,montant admissible des frais médicaux,54,,,2006,2
2380870,5029370,1792840,3840069,1623880,3461726,E,total tax credits,total des crédits d'impôt,55,,,2006,2
340010,165696,410430,265409,438910,328837,E,"charitable donations,cultural, ecological, gov","dons de bienfaisance, dons aux gouvernements, dons de biens culturels ou éco",56,,,2006,2
330680,41856,402540,69250,432420,87144,E,"donations,gifts",dons,57,,,2006,2
2380910,5071226,1792870,3909319,1623960,3548870,E,total non-refundable tax credits,total des crédits d'impôt non remboursables,58,,,2006,2
1360230,1006385,1517940,1880138,1508560,2780643,F,basic federal tax,impôt fédéral de base,59,,,2006,2
219200,41075,209080,51025,213440,71387,F,fed. dividend tax credit,crédit d'impôt pour dividendes,60,,,2006,2
125040,126358,106020,139836,89760,138214,F,cpp contrib. on self-employ. earning,cot. au rpc pour le revenu d'un travail indép.,61,,,2006,2
1343630,1003908,1508690,1873156,1503780,2771006,F,net federal tax,impôt fédéral net,62,,,2006,2
704560,407583,1064980,659678,1089980,1071141,F,net provincial tax,"impôt provincial,territorial net",63,,,2006,2
1406630,1537862,1583390,2673727,1549640,3981912,F,total tax payable,total de l'impôt à payer,64,,,2006,2
1496890,0,1364760,0,2861650,0,A,number of taxable returns,nombre de déclarations imposables,1,,,2006,3
1533010,0,1385990,0,2919000,0,A,total number of returns,nombre total de déclarations,2,,,2006,3
1136480,32207927,1062160,35149032,2198640,67356959,B,employment income,revenus d'emploi,3,,,2006,3
28620,168166,27900,223757,56520,391923,B,commissions (from employment),commissions (d'emploi),4,,,2006,3
149350,502940,147390,483693,296740,986633,B,other employment income,autres revenus d'emploi,5,,,2006,3
280620,1572817,222100,1242021,502720,2814838,B,old age security pension,pension de sécurité de la vieillesse,6,,,2006,3
378230,2761126,310230,2251947,688460,5013073,B,cpp or qpp benefits,prestations du rpc ou du rrq,7,,,2006,3
288530,4136104,252030,4665621,540560,8801725,B,other pensions or superannuation,autres pensions et pensions de retraite,8,,,2006,3
86260,63095,67170,50302,153430,113397,B,universal child care benefits,prestation universelle pour la garde d'enfants,9,,,2006,3
234810,1495302,183680,1087384,418490,2582686,B,employment insurance benefits,prestations d'assurance-emploi,10,,,2006,3
219990,556536,226280,837071,446270,1393607,B,taxable amount of dividends,montant imposable des dividendes,11,,,2006,3
495230,961431,465860,883721,961090,1845152,B,"interest,other invest. income",revenus de placements,12,,,2006,3
159020,1079705,128880,969977,287900,2049682,B,annuity income,revenus de rentes,13,,,2006,3
85390,136377,83890,113630,169280,250006,B,net rental income,revenus nets de location,14,,,2006,3
143430,351767,150970,409144,294400,760910,B,taxable capital gains,gains en capital imposables,15,,,2006,3
146840,579733,143780,595705,290630,1175438,B,rrsp income,revenu d'un régime enregistré d'épargne-retraite,16,,,2006,3
113430,1434348,96720,1227053,210150,2661401,B,net business income,revenus nets d'entreprise,17,,,2006,3
15100,193369,16250,249134,31350,442503,B,net professional income,revenus nets de profession libéral,18,,,2006,3
10230,117368,8590,112841,18820,230209,B,net commission income,revenus nets de commissions,19,,,2006,3
22350,86019,24880,94117,47230,180137,B,net farming income,revenus nets d'agriculture,20,,,2006,3
2040,25394,2570,44195,4610,69589,B,net fishing income,revenus nets de pêche,21,,,2006,3
96910,616010,73000,511191,169910,1127201,B,tax-exempt income,revenus non imposables,22,,,2006,3
252770,657373,238970,714059,491740,1371433,B,other income,autres revenus,23,,,2006,3
1533010,49702906,1385990,51915596,2919000,101618502,B,total income assessed,revenu total établi,24,,,2006,3
320850,402177,348940,557602,669790,959778,C,rpp deduction,déductions à un rpa,25,,,2006,3
465820,1131441,503150,1461710,968970,2593151,C,rrsp contributions,déductions à un reer,26,,,2006,3
414940,170561,414760,197911,829700,368472,C,"annual union, professional, or like dues","cot. annuelles syndicales, prof., et semblables",27,,,2006,3
114220,340947,97410,301513,211630,642460,C,child care expenses,frais de garde d'enfants,28,,,2006,3
174470,134245,165850,125865,340320,260110,C,carrying charges and interest expenses,frais financiers et frais d'intérêts,29,,,2006,3
94460,82607,85730,78207,180190,160813,C,cpp/qpp contrib. on self-empl./other earning,cotisations au rpc ou au rrq,30,,,2006,3
48750,141283,51710,169270,100460,310553,C,other employment expenses,autres dépenses d'emploi,31,,,2006,3
113000,174820,92650,170930,205650,345750,C,other deductions (from total income),autres déductions (du revenu total),32,,,2006,3
1023170,2578081,988740,3063007,2011910,5641088,C,total deduction before adjustment,total des déductions avant ajustement,33,,,2006,3
0,0,0,0,0,0,C,social benefits repayment,remb. des prestations de progr. sociaux,34,,,2006,3
1532170,47135027,1385220,48856963,2917390,95991990,C,net income after adjustment,revenu net après ajustements,35,,,2006,3
2130,21139,3630,32680,5760,53819,C,capital gains deduction,déduction pour gains en capital,36,,,2006,3
30780,68165,31940,71886,62710,140051,C,losses from other years,pertes d'autres années,37,,,2006,3
124630,838821,95380,581668,220000,1420489,C,additional deductions (from net income),déductions supplémentaires (du revenu net),38,,,2006,3
154520,928125,128860,686234,283380,1614359,C,total deductions (from net income),total des déductions (du revenu net),39,,,2006,3
1528960,46318342,1384160,48170867,2913130,94489209,C,taxable income assessed,revenu imposable établi,40,,,2006,3
1532340,13529118,1385350,12237050,2917690,25766168,C,basic personal amount,montant personnel de base,41,,,2006,3
283460,1356144,225020,914560,508480,2270704,D,age amount,montant en raison de l'âge,42,,,2006,3
206710,1217889,186320,1084553,393020,2302442,D,"spouse,elig. depend.,adoption amt.","montant pour conjoint,pers. à charge, et frais d'adoption",43,,,2006,3
1149330,1481518,1068230,1625768,2217560,3107286,D,cpp or qpp contributions,cotisations au rpc ou au rrq,44,,,2006,3
1061360,540199,991660,589974,2053020,1130174,D,employment insurance premiums,cotisations à l'assurance-emploi,45,,,2006,3
1193750,294056,1111340,273938,2305090,567994,D,canada employment amount,montant canadien pour l'emploi,46,,,2006,3
69020,28070,64430,26674,133440,54744,D,public transit passes amount,credit pour laissez-passer de transport en commun,47,,,2006,3
331120,650715,282800,557056,613920,1207772,D,pension income amount,montant pour revenu de pension,48,,,2006,3
14660,58924,15510,64471,30170,123396,D,caregiver amount,montant pour aidants naturels,49,,,2006,3
40300,291803,33720,257552,74020,549355,D,disability amount,montant pour personnes handicapées,50,,,2006,3
154320,715213,139690,604409,294010,1319623,D,tuition and education amounts,frais de scolarité et montant relatif aux études,51,,,2006,3
72530,46669,71140,51314,143670,97983,D,interest paid on student loans,intérêts payés sur vos prêts étudiants,52,,,2006,3
65390,284166,55260,226454,120650,510620,D,amounts transferred from spouse,montants transférés du conjoint,53,,,2006,3
342850,697105,266750,595838,609600,1292943,D,allowable amt. of med. expenses,montant admissible des frais médicaux,54,,,2006,3
1532420,3237118,1385610,2919930,2918030,6157048,E,total tax credits,total des crédits d'impôt,55,,,2006,3
464450,375083,449850,418986,914300,794069,E,"charitable donations,cultural, ecological, gov","dons de bienfaisance, dons aux gouvernements, dons de biens culturels ou éco",56,,,2006,3
458880,100051,443960,113043,902840,213095,E,"donations,gifts",dons,57,,,2006,3
1532440,3337169,1385650,3032974,2918090,6370142,E,total non-refundable tax credits,total des crédits d'impôt non remboursables,58,,,2006,3
1479120,3672513,1351380,4263936,2830490,7936449,F,basic federal tax,impôt fédéral de base,59,,,2006,3
208270,88219,213790,126719,422060,214938,F,fed. dividend tax credit,crédit d'impôt pour dividendes,60,,,2006,3
72830,131375,68070,126620,140900,257996,F,cpp contrib. on self-employ. earning,cot. au rpc pour le revenu d'un travail indép.,61,,,2006,3
1475660,3657665,1348360,4246572,2824020,7904236,F,net federal tax,impôt fédéral net,62,,,2006,3
1069130,1397314,1010400,1698055,2079540,3095369,F,net provincial tax,"impôt provincial,territorial net",63,,,2006,3
1496890,5186405,1364760,6071689,2861650,11258094,F,total tax payable,total de l'impôt à payer,64,,,2006,3
1182410,0,999420,0,2181840,0,A,number of taxable returns,nombre de déclarations imposables,1,,,2006,4
1194800,0,1005800,0,2200600,0,A,total number of returns,nombre total de déclarations,2,,,2006,4
945200,35853426,819590,34753203,1764780,70606629,B,employment income,revenus d'emploi,3,,,2006,4
23380,250346,22430,297322,45800,547668,B,commissions (from employment),commissions (d'emploi),4,,,2006,4
135920,412531,127770,370759,263690,783290,B,other employment income,autres revenus d'emploi,5,,,2006,4
167460,940244,128700,713277,296160,1653521,B,old age security pension,pension de sécurité de la vieillesse,6,,,2006,4
240560,1736709,190180,1387691,430740,3124399,B,cpp or qpp benefits,prestations du rpc ou du rrq,7,,,2006,4
209120,4615338,168580,4121466,377700,8736804,B,other pensions or superannuation,autres pensions et pensions de retraite,8,,,2006,4
55640,40645,38690,29094,94320,69739,B,universal child care benefits,prestation universelle pour la garde d'enfants,9,,,2006,4
132230,742875,93150,539872,225380,1282747,B,employment insurance benefits,prestations d'assurance-emploi,10,,,2006,4
213420,816481,197520,841824,410940,1658305,B,taxable amount of dividends,montant imposable des dividendes,11,,,2006,4
418950,793474,367240,711895,786200,1505370,B,"interest,other invest. income",revenus de placements,12,,,2006,4
101890,853340,78710,765774,180610,1619114,B,annuity income,revenus de rentes,13,,,2006,4
74300,108160,62710,77646,137010,185806,B,net rental income,revenus nets de location,14,,,2006,4
144440,402948,126930,374451,271370,777399,B,taxable capital gains,gains en capital imposables,15,,,2006,4
129370,557258,118530,508394,247890,1065652,B,rrsp income,revenu d'un régime enregistré d'épargne-retraite,16,,,2006,4
84730,1118838,69420,972730,154150,2091568,B,net business income,revenus nets d'entreprise,17,,,2006,4
12630,200723,11640,220593,24280,421316,B,net professional income,revenus nets de profession libéral,18,,,2006,4
6440,110041,5270,98504,11720,208545,B,net commission income,revenus nets de commissions,19,,,2006,4
17410,102896,14650,79732,32060,182628,B,net farming income,revenus nets d'agriculture,20,,,2006,4
1750,36093,1260,25126,3010,61219,B,net fishing income,revenus nets de pêche,21,,,2006,4
54670,410417,36920,239113,91590,649531,B,tax-exempt income,revenus non imposables,22,,,2006,4
219070,625898,195500,594336,414560,1220234,B,other income,autres revenus,23,,,2006,4
1194800,50728682,1005800,47722804,2200600,98451486,B,total income assessed,revenu total établi,24,,,2006,4
365910,697048,355360,762304,721270,1459352,C,rpp deduction,déductions à un rpa,25,,,2006,4
500350,1588943,454850,1622131,955200,3211074,C,rrsp contributions,déductions à un reer,26,,,2006,4
413370,230107,385980,245098,799350,475205,C,"annual union, professional, or like dues","cot. annuelles syndicales, prof., et semblables",27,,,2006,4
88660,302498,67430,230706,156090,533204,C,child care expenses,frais de garde d'enfants,28,,,2006,4
159200,133677,141340,143134,300540,276811,C,carrying charges and interest expenses,frais financiers et frais d'intérêts,29,,,2006,4
67450,71285,44920,56277,112370,127562,C,cpp/qpp contrib. on self-empl./other earning,cotisations au rpc ou au rrq,30,,,2006,4
55720,193437,56390,211011,112110,404448,C,other employment expenses,autres dépenses d'emploi,31,,,2006,4
79920,169675,65830,192502,145760,362178,C,other deductions (from total income),autres déductions (du revenu total),32,,,2006,4
923100,3386671,808940,3463162,1732040,6849833,C,total deduction before adjustment,total des déductions avant ajustement,33,,,2006,4
0,0,2260,465,2260,465,C,social benefits repayment,remb. des prestations de progr. sociaux,34,,,2006,4
1194590,47342884,1005300,44260355,2199890,91603238,C,net income after adjustment,revenu net après ajustements,35,,,2006,4
2130,28556,2440,33012,4570,61568,C,capital gains deduction,déduction pour gains en capital,36,,,2006,4
31890,76199,25490,51323,57380,127522,C,losses from other years,pertes d'autres années,37,,,2006,4
76480,516220,57190,335643,133670,851863,C,additional deductions (from net income),déductions supplémentaires (du revenu net),38,,,2006,4
107960,623088,82940,419978,190900,1043066,C,total deductions (from net income),total des déductions (du revenu net),39,,,2006,4
1192970,46719877,1004620,43846445,2197590,90566322,C,taxable income assessed,revenu imposable établi,40,,,2006,4
1194350,10548559,1005220,8878055,2199570,19426614,C,basic personal amount,montant personnel de base,41,,,2006,4
169290,565001,130660,346010,299940,911010,D,age amount,montant en raison de l'âge,42,,,2006,4
157700,931720,136840,813567,294540,1745287,D,"spouse,elig. depend.,adoption amt.","montant pour conjoint,pers. à charge, et frais d'adoption",43,,,2006,4
952290,1653010,820550,1478352,1772850,3131362,D,cpp or qpp contributions,cotisations au rpc ou au rrq,44,,,2006,4
884170,569598,768460,505052,1652630,1074650,D,employment insurance premiums,cotisations à l'assurance-emploi,45,,,2006,4
983480,242832,852140,210305,1835620,453137,D,canada employment amount,montant canadien pour l'emploi,46,,,2006,4
53960,24281,44900,19158,98850,43439,D,public transit passes amount,credit pour laissez-passer de transport en commun,47,,,2006,4
231300,455704,183620,363549,414930,819253,D,pension income amount,montant pour revenu de pension,48,,,2006,4
13020,51401,10260,44708,23280,96110,D,caregiver amount,montant pour aidants naturels,49,,,2006,4
28630,213903,21550,170450,50180,384353,D,disability amount,montant pour personnes handicapées,50,,,2006,4
121250,487972,104160,423335,225400,911307,D,tuition and education amounts,frais de scolarité et montant relatif aux études,51,,,2006,4
60800,44373,48710,38866,109510,83239,D,interest paid on student loans,intérêts payés sur vos prêts étudiants,52,,,2006,4
42600,173081,31090,121313,73680,294394,D,amounts transferred from spouse,montants transférés du conjoint,53,,,2006,4
200400,485066,146590,363516,346990,848582,D,allowable amt. of med. expenses,montant admissible des frais médicaux,54,,,2006,4
1194470,2513493,1005300,2105906,2199770,4619399,E,total tax credits,total des crédits d'impôt,55,,,2006,4
425560,418376,386440,416968,812000,835344,E,"charitable donations,cultural, ecological, gov","dons de bienfaisance, dons aux gouvernements, dons de biens culturels ou éco",56,,,2006,4
419960,113326,382470,113566,802440,226892,E,"donations,gifts",dons,57,,,2006,4
1194470,2626819,1005360,2219472,2199830,4846291,E,total non-refundable tax credits,total des crédits d'impôt non remboursables,58,,,2006,4
1174330,4676657,995250,4864860,2169580,9541517,F,basic federal tax,impôt fédéral de base,59,,,2006,4
203000,122844,187790,127192,390800,250036,F,fed. dividend tax credit,crédit d'impôt pour dividendes,60,,,2006,4
54310,118206,35810,90814,90120,209020,F,cpp contrib. on self-employ. earning,cot. au rpc pour le revenu d'un travail indép.,61,,,2006,4
1172680,4654571,993680,4842863,2166360,9497434,F,net federal tax,impôt fédéral net,62,,,2006,4
879030,1865040,754440,1937359,1633470,3802399,F,net provincial tax,"impôt provincial,territorial net",63,,,2006,4
1182410,6637817,999420,6871501,2181840,13509318,F,total tax payable,total de l'impôt à payer,64,,,2006,4
1553490,0,1143160,0,827440,0,A,number of taxable returns,nombre de déclarations imposables,1,,,2006,5
1561170,0,1146360,0,829140,0,A,total number of returns,nombre total de déclarations,2,,,2006,5
1308500,64012806,985140,57393137,731260,49529903,B,employment income,revenus d'emploi,3,,,2006,5
36610,647843,29030,665706,21580,611711,B,commissions (from employment),commissions (d'emploi),4,,,2006,5
207650,624216,172730,522359,127380,362670,B,other employment income,autres revenus d'emploi,5,,,2006,5
184680,1027160,119870,668534,70900,395564,B,old age security pension,pension de sécurité de la vieillesse,6,,,2006,5
273820,1986380,177400,1263824,105110,749914,B,cpp or qpp benefits,prestations du rpc ou du rrq,7,,,2006,5
241770,6720958,160060,4815152,94970,3105188,B,other pensions or superannuation,autres pensions et pensions de retraite,8,,,2006,5
51600,38481,31280,23374,17280,12579,B,universal child care benefits,prestation universelle pour la garde d'enfants,9,,,2006,5
129760,680441,72680,352960,41890,182810,B,employment insurance benefits,prestations d'assurance-emploi,10,,,2006,5
326340,1389703,272410,1449282,217190,1307552,B,taxable amount of dividends,montant imposable des dividendes,11,,,2006,5
588610,1207642,454890,989050,343850,811536,B,"interest,other invest. income",revenus de placements,12,,,2006,5
117770,1370789,75890,1065069,46080,748803,B,annuity income,revenus de rentes,13,,,2006,5
105870,160410,83630,130402,67040,143898,B,net rental income,revenus nets de location,14,,,2006,5
220820,765015,185840,792277,151210,745463,B,taxable capital gains,gains en capital imposables,15,,,2006,5
183570,874319,138690,716895,93870,569015,B,rrsp income,revenu d'un régime enregistré d'épargne-retraite,16,,,2006,5
