,$35k - 40k,$5k - 10k,$30k - 35k,$25k - 30k,$1 - 10k,$20k - 25k,$10k - 15k,$50k - 60k,$40k - 45k,tax_year,type,$45k - 50k,$150k - 250k,$80k - 90k,$15k - 20k,$90k - 100k,< $5k,item_category,> $250k,$60k - 70k,$70k - 80k,item,< $0,$100k - 150k
10,209520.0,,249130.0,278830.0,158290.0,289160.0,226730.0,159890.0,163100.0,2008,#,122040.0,4790.0,35020.0,301030.0,17810.0,,income items,1020.0,91630.0,55940.0,EI benefits,3130.0,23260.0
11,265790.0,,245540.0,207250.0,199050.0,231000.0,171840.0,357830.0,226420.0,2008,#,218220.0,173320.0,196690.0,230540.0,143240.0,,income items,128080.0,301030.0,242970.0,taxable amount of dividends,8790.0,338970.0
12,596650.0,,597850.0,571750.0,780750.0,672000.0,560790.0,700270.0,492100.0,2008,#,442110.0,206910.0,310160.0,852790.0,211480.0,,income items,147690.0,540180.0,410230.0,interest and other investment income,24500.0,454110.0
13,0.0,,180.0,0.0,0.0,0.0,0.0,0.0,0.0,2008,#,0.0,0.0,30.0,0.0,0.0,,income items,0.0,0.0,0.0,Registered Disability Savings Plan income,0.0,0.0
14,86570.0,,87050.0,78600.0,93760.0,84810.0,66530.0,110400.0,80140.0,2008,#,75130.0,43080.0,56460.0,94210.0,41670.0,,income items,28710.0,89270.0,70730.0,net rental income,15210.0,87610.0
15,97050.0,,84330.0,73570.0,88920.0,86760.0,73290.0,128590.0,77460.0,2008,#,75070.0,74790.0,71540.0,82990.0,53630.0,,income items,59930.0,112990.0,89390.0,taxable capital gains,3300.0,134800.0
16,155560.0,,142140.0,120950.0,127140.0,110680.0,101980.0,208480.0,142950.0,2008,#,126410.0,30000.0,80050.0,114430.0,54140.0,,income items,10600.0,161210.0,110440.0,RRSP income,7830.0,98240.0
17,101040.0,,112280.0,125920.0,337390.0,149510.0,243200.0,112880.0,89460.0,2008,#,71430.0,25150.0,43180.0,196730.0,29960.0,,income items,15580.0,81550.0,59870.0,net business income,55640.0,60660.0
18,13870.0,,12960.0,13110.0,33320.0,15840.0,22370.0,19560.0,10130.0,2008,#,12100.0,33590.0,14410.0,19410.0,12460.0,,income items,30310.0,20120.0,18160.0,net professional income,6030.0,35490.0
19,9510.0,,11310.0,12520.0,24430.0,16340.0,17700.0,12480.0,7790.0,2008,#,7050.0,5260.0,5050.0,16010.0,4170.0,,income items,2210.0,8580.0,8120.0,net commission income,4880.0,9830.0
20,24590.0,,24830.0,22640.0,46120.0,26230.0,31650.0,24400.0,19230.0,2008,#,15920.0,9020.0,11570.0,34400.0,8420.0,,income items,6000.0,18980.0,13460.0,net farming income,15350.0,18030.0
21,2220.0,,2970.0,4170.0,3920.0,3480.0,4830.0,2170.0,1540.0,2008,#,1700.0,180.0,670.0,3790.0,260.0,,income items,90.0,1030.0,740.0,net fishing income,330.0,570.0
22,83220.0,,111140.0,154250.0,639270.0,367360.0,1079490.0,70250.0,67260.0,2008,#,45960.0,2600.0,13680.0,932270.0,7350.0,,income items,1070.0,43390.0,24530.0,tax-exempt income,2700.0,12990.0
23,359040.0,,338920.0,302000.0,476570.0,350410.0,355020.0,370480.0,258160.0,2008,#,242680.0,140730.0,186880.0,410200.0,125780.0,,income items,104040.0,300930.0,235210.0,other income,18560.0,284420.0
24,1515940.0,,1579550.0,1547270.0,3811740.0,1820630.0,2597000.0,1720040.0,1291870.0,2008,#,1090480.0,338620.0,693330.0,2443640.0,452950.0,,income items,188030.0,1271810.0,947470.0,total income assessed,89770.0,889780.0
25,338450.0,,285400.0,191400.0,62750.0,139260.0,66760.0,644030.0,362910.0,2008,#,355470.0,81940.0,338360.0,105530.0,199460.0,,deduction items,26660.0,540710.0,426450.0,Registered Pension Plan contributions,1460.0,319710.0
26,459920.0,,395330.0,319410.0,65560.0,255470.0,98060.0,788480.0,471410.0,2008,#,442870.0,229510.0,413740.0,181540.0,283640.0,,deduction items,126240.0,631110.0,526630.0,RRSP deduction,5770.0,595620.0
27,107850.0,,92960.0,72850.0,1470.0,61080.0,3240.0,126950.0,93850.0,2008,#,85250.0,22350.0,39840.0,17380.0,26260.0,,deduction items,9990.0,89570.0,59940.0,deduction for elected split-pension amount,150.0,52170.0
28,414000.0,,376830.0,326120.0,340580.0,270900.0,237750.0,678470.0,418520.0,2008,#,380580.0,74960.0,331000.0,255280.0,191160.0,,deduction items,24690.0,546360.0,431600.0,"annual union, professional, or like dues",6760.0,296190.0
29,104530.0,,118030.0,111570.0,86270.0,101820.0,77170.0,112440.0,90590.0,2008,#,77890.0,10590.0,35940.0,88500.0,21550.0,,deduction items,4350.0,71360.0,54270.0,child care expenses,2130.0,33220.0
30,180890.0,,171140.0,139780.0,79710.0,157230.0,78970.0,252550.0,162400.0,2008,#,152640.0,126890.0,141270.0,149800.0,102770.0,,deduction items,101720.0,211090.0,177980.0,carrying charges and interest expenses,6870.0,248780.0
31,87870.0,,95830.0,106360.0,188230.0,131880.0,210530.0,69380.0,68540.0,2008,#,52390.0,34880.0,23350.0,164920.0,17200.0,,non-refundable tax credits,27680.0,46060.0,32050.0,CPP or QPP contributions on self-employment,1690.0,45180.0
32,53990.0,,45760.0,35880.0,9750.0,27140.0,10920.0,105700.0,53100.0,2008,#,55640.0,43080.0,56780.0,22230.0,41280.0,,deduction items,21500.0,83700.0,69350.0,other employment expenses,1040.0,97680.0
33,106920.0,,118300.0,118190.0,142020.0,131250.0,136950.0,115170.0,87080.0,2008,#,76210.0,52570.0,45140.0,154540.0,32560.0,,deduction items,45630.0,86110.0,62240.0,other deductions,8060.0,80910.0
34,220.0,,200.0,0.0,0.0,0.0,230.0,39000.0,30.0,2008,#,0.0,36920.0,61450.0,0.0,40380.0,,tax payable,24890.0,77220.0,86160.0,social benefits repayment,0.0,81500.0
35,1073020.0,,1022120.0,901950.0,789200.0,868110.0,680640.0,1472550.0,991530.0,2008,#,882210.0,318110.0,654620.0,801310.0,425930.0,,deduction items,177100.0,1138850.0,880410.0,total deductions before adjustments,28560.0,834110.0
36,1514220.0,,1577700.0,1545740.0,3782730.0,1819850.0,2593690.0,1718940.0,1290610.0,2008,#,1089850.0,338570.0,693220.0,2441660.0,452910.0,,income items,187930.0,1271660.0,947070.0,net income after adjustments,0.0,889490.0
37,2720.0,,2630.0,1910.0,810.0,2610.0,2630.0,4610.0,2730.0,2008,#,1720.0,7450.0,3440.0,1140.0,1860.0,,deduction items,10740.0,5120.0,3100.0,capital gains deduction,0.0,8170.0
38,19740.0,,16080.0,12690.0,6150.0,16060.0,11890.0,24500.0,12670.0,2008,#,13470.0,17630.0,13190.0,14860.0,13400.0,,deduction items,14380.0,22420.0,15920.0,losses from other years,1030.0,30900.0
39,107500.0,,144940.0,185830.0,651320.0,395890.0,1095650.0,104310.0,88880.0,2008,#,65050.0,27570.0,35890.0,948750.0,25560.0,,deduction items,17360.0,75320.0,50790.0,additional deductions,3150.0,56960.0
40,128830.0,,162400.0,198570.0,656930.0,411810.0,1108760.0,130440.0,103380.0,2008,#,79340.0,50180.0,51590.0,965360.0,40050.0,,deduction items,39060.0,100660.0,68120.0,total deductions from net income,4090.0,93380.0
41,1512630.0,,1572220.0,1538930.0,3493150.0,1803610.0,2355640.0,1715970.0,1287990.0,2008,#,1089480.0,338230.0,693190.0,2403630.0,452880.0,,income items,187780.0,1271540.0,946710.0,taxable income assessed,0.0,889000.0
42,300530.0,,346990.0,342870.0,236910.0,525950.0,674150.0,220840.0,204820.0,2008,#,166810.0,670.0,16570.0,962090.0,7410.0,,non-refundable tax credits,330.0,148310.0,42690.0,age amount,34440.0,5650.0
43,1515220.0,,1578740.0,1546400.0,3799370.0,1819340.0,2593760.0,1718980.0,1291570.0,2008,#,1089840.0,337620.0,692970.0,2441410.0,452510.0,,non-refundable tax credits,187000.0,1270990.0,946660.0,other federal non-refundable tax credits,746150.0,888260.0
44,1093530.0,,1103510.0,1074470.0,1199720.0,1109020.0,1161070.0,1407720.0,1000770.0,2008,#,849160.0,287150.0,615140.0,1174010.0,402890.0,,non-refundable tax credits,150940.0,1057120.0,817350.0,CPP or QPP contributions,19240.0,781790.0
45,1026110.0,,1042150.0,994880.0,1475330.0,1007640.0,1041370.0,1333450.0,949110.0,2008,#,807280.0,213870.0,575270.0,1058530.0,368390.0,,non-refundable tax credits,89090.0,999310.0,764690.0,EI premiums,35860.0,676210.0
46,312750.0,,319870.0,308010.0,402310.0,305620.0,311040.0,347290.0,262120.0,2008,#,211010.0,48330.0,109790.0,332430.0,73410.0,,non-refundable tax credits,26190.0,242620.0,171730.0,PPIP premiums paid,5430.0,130650.0
47,1161280.0,,1179010.0,1105160.0,2059690.0,1142190.0,1204510.0,1477520.0,1067270.0,2008,#,901710.0,282790.0,628320.0,1200710.0,410770.0,,non-refundable tax credits,147640.0,1103950.0,843660.0,Canada employment amount,29370.0,791650.0
48,100330.0,,101410.0,98400.0,156550.0,116430.0,127070.0,126700.0,86980.0,2008,#,78380.0,22390.0,48220.0,124760.0,36480.0,,non-refundable tax credits,8030.0,92250.0,68080.0,public transit amount,12540.0,68060.0
49,92210.0,,74070.0,67870.0,31170.0,49580.0,34850.0,164350.0,84080.0,2008,#,88430.0,70290.0,108990.0,43250.0,76240.0,,non-refundable tax credits,41430.0,143360.0,128730.0,children's fitness amount,3960.0,163950.0
50,398860.0,,415930.0,382140.0,96750.0,490480.0,190900.0,326870.0,282350.0,2008,#,242860.0,50280.0,95560.0,518030.0,59020.0,,non-refundable tax credits,27980.0,234770.0,148930.0,pension income amount,4100.0,120360.0
51,55830.0,,60490.0,67970.0,65410.0,92640.0,114680.0,58630.0,42220.0,2008,#,36890.0,9040.0,19100.0,155790.0,12580.0,,non-refundable tax credits,4690.0,35120.0,26170.0,disability amount,6990.0,25390.0
52,196170.0,,212650.0,223290.0,22620.0,238210.0,295030.0,247180.0,176760.0,2008,#,153240.0,50570.0,106730.0,314940.0,69820.0,,non-refundable tax credits,28670.0,178970.0,144220.0,"tuition, education, textbook amounts and interest on student loans",2070.0,133580.0
53,49140.0,,60700.0,81020.0,154830.0,128100.0,157990.0,39230.0,31820.0,2008,#,28460.0,7640.0,15980.0,179060.0,10230.0,,non-refundable tax credits,3330.0,29110.0,20470.0,amounts transferred from spouse or common-law partner,52170.0,20100.0
54,343440.0,,403050.0,425210.0,173760.0,525540.0,264880.0,241740.0,247680.0,2008,#,186660.0,36980.0,57970.0,551410.0,36380.0,,non-refundable tax credits,27500.0,144810.0,88390.0,medical expenses,23390.0,82530.0
55,1515440.0,,1578830.0,1546660.0,3802020.0,1819750.0,2594420.0,1719330.0,1291670.0,2008,#,1090190.0,337860.0,693050.0,2442100.0,452630.0,,non-refundable tax credits,187430.0,1271210.0,947020.0,total tax credits on personal amounts,746410.0,888880.0
56,450280.0,,437620.0,365830.0,36220.0,341640.0,103610.0,659750.0,412740.0,2008,#,381720.0,222410.0,359530.0,255990.0,244250.0,,non-refundable tax credits,137830.0,542920.0,442550.0,donations and gifts,0.0,508410.0
57,444950.0,,433720.0,359860.0,33210.0,336320.0,99650.0,654440.0,409160.0,2008,#,377890.0,222130.0,357640.0,250740.0,243360.0,,non-refundable tax credits,137690.0,539010.0,440080.0,total tax credit on donations and gifts,0.0,506710.0
58,1515490.0,,1578870.0,1546740.0,3802160.0,1819830.0,2594440.0,1719350.0,1291670.0,2008,#,1090230.0,337860.0,693050.0,2442140.0,452640.0,,non-refundable tax credits,187480.0,1271210.0,947040.0,total federal non-refundable tax credits,746410.0,888920.0
59,251090.0,,233850.0,194660.0,180210.0,219280.0,162050.0,338990.0,213200.0,2008,#,207870.0,164330.0,186820.0,218230.0,136740.0,,non-refundable tax credits,121340.0,285920.0,230070.0,federal dividend tax credit,7710.0,320960.0
60,1458600.0,,1477600.0,1346930.0,46340.0,1319520.0,600760.0,1697440.0,1252860.0,2008,#,1071030.0,337670.0,691610.0,1085450.0,452170.0,,tax payable,187490.0,1265420.0,942490.0,basic federal tax,0.0,886530.0
61,1453730.0,,1469640.0,1334960.0,46120.0,1304250.0,569320.0,1692880.0,1249210.0,2008,#,1069190.0,336530.0,690340.0,1049600.0,451100.0,,tax payable,186940.0,1262830.0,940550.0,net federal tax,0.0,884040.0
62,69830.0,,77000.0,84420.0,160610.0,100890.0,166490.0,54880.0,54480.0,2008,#,41600.0,23150.0,18200.0,120530.0,13280.0,,non-refundable tax credits,19110.0,35680.0,24670.0,CPP contributions on self-employment,1040.0,34450.0
63,1072950.0,,1094300.0,1000220.0,32690.0,1016680.0,237800.0,1294400.0,941660.0,2008,#,817590.0,283130.0,571110.0,743290.0,372580.0,,tax payable,158170.0,988370.0,752030.0,net provincial or territorial tax,0.0,743130.0
64,1479760.0,,1515130.0,1425880.0,220970.0,1471790.0,739950.0,1703350.0,1268180.0,2008,#,1079010.0,338030.0,692230.0,1271730.0,452510.0,,tax payable,187660.0,1267540.0,943150.0,total tax payable,1040.0,887140.0
65,1322330.0,,1481960.0,1550620.0,479800.0,1641960.0,1191780.0,1435640.0,1133640.0,2004,#,945130.0,202690.0,426600.0,1700200.0,276940.0,,number items,124140.0,1031560.0,707170.0,number of taxable returns,770.0,519730.0
66,17330.0,,27750.0,51010.0,3966970.0,125310.0,1573900.0,6660.0,9930.0,2004,#,5080.0,740.0,770.0,603860.0,330.0,,number items,240.0,2430.0,1540.0,number of non-taxable returns,960320.0,850.0
67,1339660.0,,1509720.0,1601630.0,4446770.0,1767270.0,2765680.0,1442310.0,1143560.0,2004,#,950210.0,203430.0,427380.0,2304060.0,277270.0,,number items,124380.0,1033990.0,708710.0,total number of returns,961090.0,520570.0
68,1056010.0,,1140260.0,1144090.0,2301890.0,1161680.0,1279230.0,1213260.0,927380.0,2004,#,787380.0,153610.0,376650.0,1211100.0,243030.0,,income items,90560.0,901390.0,627710.0,employment income,14840.0,440020.0
69,26700.0,,28540.0,30020.0,49920.0,31260.0,32220.0,36600.0,26220.0,2004,#,21280.0,15340.0,15040.0,29160.0,12390.0,,income items,8520.0,25530.0,21340.0,commissions (from employment),390.0,30680.0
70,153930.0,,154210.0,142310.0,237090.0,134680.0,132790.0,205390.0,139380.0,2004,#,124330.0,45640.0,76980.0,121990.0,53310.0,,income items,29890.0,153300.0,115400.0,other employment income,3290.0,112440.0
71,188390.0,,253970.0,326070.0,345110.0,427030.0,912230.0,159690.0,147340.0,2004,#,108970.0,23080.0,32400.0,812050.0,20500.0,,income items,15650.0,95080.0,56990.0,Old Age Security Pension,3470.0,46400.0
72,263870.0,,340720.0,415240.0,586860.0,526750.0,949530.0,232910.0,212590.0,2004,#,164510.0,31710.0,47690.0,914590.0,30400.0,,income items,20470.0,139530.0,83700.0,CPP or QPP benefits,6950.0,65410.0
73,228630.0,,269960.0,305670.0,71020.0,343260.0,150320.0,216640.0,195110.0,2004,#,151280.0,24560.0,45170.0,380040.0,30020.0,,income items,11930.0,132370.0,77000.0,other pensions or superannuation,870.0,62400.0
74,167350.0,,228410.0,284470.0,245550.0,323690.0,325840.0,107870.0,122160.0,2004,#,89210.0,1490.0,15980.0,358650.0,7740.0,,income items,460.0,57560.0,30100.0,EI benefits,2360.0,9590.0
75,213970.0,,220780.0,218350.0,240090.0,206250.0,196810.0,292330.0,197790.0,2004,#,175330.0,103890.0,125440.0,226810.0,92070.0,,income items,79830.0,237250.0,181520.0,taxable amount of dividends,8990.0,208920.0
76,421490.0,,459230.0,489650.0,854960.0,540820.0,635410.0,502680.0,377230.0,2004,#,314350.0,123450.0,175350.0,704420.0,121760.0,,income items,96170.0,374020.0,275860.0,interest and other investment income,18790.0,256570.0
77,115080.0,,143010.0,177040.0,51200.0,198980.0,125300.0,100990.0,92300.0,2004,#,68500.0,14870.0,21120.0,230730.0,13180.0,,income items,9700.0,62070.0,37180.0,annuity income,620.0,29500.0
78,78120.0,,90220.0,88900.0,113200.0,95550.0,82190.0,105240.0,74320.0,2004,#,65820.0,25640.0,39060.0,101940.0,25610.0,,income items,19870.0,81300.0,56150.0,net rental income,14230.0,54910.0
79,114680.0,,116360.0,125850.0,176200.0,123190.0,118510.0,163300.0,107720.0,2004,#,94140.0,69160.0,75500.0,127770.0,55770.0,,income items,59150.0,132960.0,102860.0,taxable capital gains,7420.0,131550.0
80,135120.0,,143070.0,130570.0,145120.0,120150.0,104150.0,165750.0,123900.0,2004,#,112810.0,14060.0,43570.0,119790.0,27220.0,,income items,5250.0,114360.0,76130.0,RRSP income,4890.0,45650.0
81,89860.0,,102940.0,116830.0,371950.0,144530.0,219570.0,90970.0,77440.0,2004,#,59270.0,16380.0,26610.0,185150.0,18050.0,,income items,10840.0,63450.0,44530.0,net business income,55190.0,39140.0
82,14180.0,,15560.0,17530.0,36660.0,19050.0,21940.0,21850.0,13420.0,2004,#,13710.0,31740.0,13760.0,20560.0,11240.0,,income items,27630.0,19480.0,17280.0,net professional income,3890.0,34850.0
83,7980.0,,8240.0,8830.0,25570.0,12100.0,13200.0,8590.0,6420.0,2004,#,4620.0,2820.0,3630.0,10230.0,2810.0,,income items,1290.0,6620.0,5060.0,net commission income,2440.0,5940.0
84,21560.0,,25880.0,26900.0,67500.0,31240.0,48310.0,23620.0,19170.0,2004,#,16660.0,5400.0,7670.0,38340.0,5270.0,,income items,3650.0,17710.0,12420.0,net farming income,15750.0,10700.0
85,3100.0,,3360.0,3720.0,2940.0,4470.0,4440.0,2150.0,1590.0,2004,#,1390.0,160.0,510.0,4560.0,310.0,,income items,80.0,1090.0,820.0,net fishing income,640.0,560.0
86,69490.0,,92270.0,121760.0,968840.0,200840.0,1061780.0,49820.0,48160.0,2004,#,35820.0,1610.0,9030.0,725340.0,4700.0,,income items,620.0,26860.0,17050.0,tax-exempt income,2560.0,6410.0
87,191050.0,,212800.0,224680.0,522990.0,242200.0,306050.0,234960.0,167700.0,2004,#,150650.0,77440.0,89270.0,267870.0,62700.0,,income items,61850.0,182850.0,134370.0,other income,13480.0,145380.0
88,1339660.0,,1509720.0,1601630.0,4446770.0,1767270.0,2765680.0,1442310.0,1143560.0,2004,#,950210.0,203430.0,427380.0,2304060.0,277270.0,,income items,124380.0,1033990.0,708710.0,total income assessed,83930.0,520570.0
89,382800.0,,352540.0,258710.0,65700.0,179290.0,74560.0,595320.0,378750.0,2004,#,353430.0,41690.0,187400.0,121240.0,109540.0,,deduction items,14650.0,479390.0,339510.0,Registered Pension Plan contributions,4660.0,171480.0
90,530880.0,,491920.0,409790.0,89760.0,336910.0,164300.0,752160.0,508390.0,2004,#,464420.0,144140.0,282350.0,254620.0,192570.0,,deduction items,89340.0,597050.0,436250.0,RRSP deduction,4420.0,363930.0
91,450110.0,,447460.0,384850.0,361140.0,328290.0,258300.0,631030.0,427820.0,2004,#,378020.0,36800.0,185760.0,280880.0,104480.0,,deduction items,14530.0,497260.0,345740.0,"annual union, professional, or like dues",7590.0,155730.0
92,102830.0,,115170.0,116680.0,100280.0,116160.0,94120.0,88970.0,79960.0,2004,#,64340.0,6190.0,19180.0,110790.0,11500.0,,deduction items,2850.0,58740.0,33730.0,child care expenses,780.0,18620.0
93,173630.0,,179270.0,182290.0,88580.0,172880.0,112770.0,241040.0,158600.0,2004,#,142270.0,85770.0,102800.0,188200.0,77690.0,,deduction items,68970.0,199330.0,153110.0,carrying charges and interest expenses,4590.0,171030.0
94,77450.0,,90080.0,100410.0,239030.0,127220.0,195820.0,55550.0,57400.0,2004,#,39670.0,31360.0,18760.0,163330.0,14790.0,,non-refundable tax credits,24240.0,35810.0,25980.0,CPP or QPP contributions on self-employment,1010.0,37990.0
95,55150.0,,52190.0,50470.0,13800.0,41080.0,22670.0,106600.0,58330.0,2004,#,60380.0,27340.0,39340.0,31310.0,30810.0,,deduction items,14290.0,75960.0,58980.0,other employment expenses,1230.0,63230.0
96,2130.0,,2720.0,2530.0,80.0,1940.0,260.0,4190.0,3280.0,2004,#,2790.0,60.0,790.0,1170.0,320.0,,deduction items,30.0,2860.0,1360.0,clergy residence deduction,0.0,390.0
97,71270.0,,84420.0,99050.0,105630.0,101430.0,99870.0,75100.0,56320.0,2004,#,47580.0,27570.0,29820.0,108630.0,19530.0,,deduction items,27540.0,54070.0,40090.0,other deductions,8140.0,46980.0
98,1019710.0,,1054120.0,993820.0,902130.0,936040.0,781690.0,1249590.0,911370.0,2004,#,790270.0,189240.0,398690.0,909990.0,258920.0,,deduction items,115220.0,934440.0,655500.0,total deductions before adjustments,28020.0,485750.0
99,0.0,,360.0,320.0,210.0,50.0,110.0,45490.0,190.0,2004,#,1940.0,23000.0,41110.0,0.0,24470.0,,income items,15560.0,111040.0,72310.0,Net income before adjustments,0.0,49990.0
100,2850.0,,3110.0,2790.0,1310.0,3250.0,3440.0,5210.0,3040.0,2004,#,3140.0,6630.0,2690.0,2830.0,2240.0,,income items,6260.0,4000.0,3810.0,net income after adjustments,50.0,6830.0
101,30600.0,,31810.0,32780.0,15840.0,33980.0,25980.0,46580.0,28990.0,2004,#,28000.0,23950.0,22600.0,32610.0,17720.0,,deduction items,22010.0,38520.0,30170.0,capital gains deduction,860.0,43540.0
102,95240.0,,120680.0,151080.0,988620.0,235030.0,1086080.0,84750.0,70270.0,2004,#,53350.0,17220.0,27090.0,753750.0,16890.0,,deduction items,14750.0,55570.0,40530.0,additional deductions,3110.0,37730.0
103,126240.0,,152640.0,183750.0,1005310.0,266630.0,1112460.0,132080.0,99560.0,2004,#,82230.0,44450.0,50540.0,782480.0,35380.0,,deduction items,38420.0,95800.0,72110.0,total deductions from net income,4010.0,83460.0
104,1336530.0,,1505430.0,1595000.0,3925950.0,1755290.0,2616040.0,1441110.0,1141250.0,2004,#,949180.0,202870.0,427000.0,2269630.0,277050.0,,income items,124230.0,1033430.0,708310.0,taxable income assessed,0.0,520100.0
105,1339150.0,,1509230.0,1600420.0,4438150.0,1766590.0,2763860.0,1441860.0,1143140.0,2004,#,949880.0,202590.0,427080.0,2303000.0,277010.0,,non-refundable tax credits,123650.0,1033610.0,708440.0,basic personal amount,951790.0,519630.0
106,190530.0,,257010.0,328150.0,391890.0,431820.0,924550.0,105690.0,149510.0,2004,#,110180.0,460.0,800.0,820810.0,540.0,,non-refundable tax credits,170.0,7400.0,1740.0,age amount,33400.0,1010.0
107,189400.0,,217960.0,231690.0,354130.0,255220.0,311210.0,210750.0,162490.0,2004,#,135650.0,35940.0,76850.0,294110.0,50220.0,,non-refundable tax credits,20840.0,162920.0,113920.0,spouse or common-law partner amount,74840.0,96400.0
108,1066330.0,,1157050.0,1164250.0,1903150.0,1205510.0,1341600.0,1219700.0,930500.0,2004,#,789380.0,171390.0,384440.0,1272850.0,249840.0,,non-refundable tax credits,102400.0,905880.0,633530.0,CPP or QPP contributions,21420.0,458330.0
109,987930.0,,1062740.0,1069880.0,1649420.0,1081300.0,1151350.0,1140430.0,859480.0,2004,#,738040.0,115030.0,346130.0,1115810.0,219370.0,,non-refundable tax credits,55480.0,842540.0,586660.0,EI premiums,32520.0,379910.0
110,253120.0,,304220.0,362200.0,95190.0,420800.0,237420.0,236430.0,214170.0,2004,#,164210.0,30650.0,50420.0,521600.0,33060.0,,non-refundable tax credits,16940.0,145460.0,85800.0,pension income amount,1390.0,70840.0
111,11220.0,,15200.0,14770.0,6380.0,12650.0,8110.0,11610.0,11850.0,2004,#,9390.0,1720.0,4160.0,11390.0,2800.0,,non-refundable tax credits,820.0,10090.0,6320.0,caregiver amount,580.0,5310.0
112,28980.0,,33940.0,37500.0,69050.0,51760.0,73740.0,23870.0,23050.0,2004,#,17420.0,3610.0,7170.0,78100.0,4020.0,,non-refundable tax credits,2210.0,14780.0,11990.0,disability amount,5210.0,8600.0
113,133300.0,,154710.0,177340.0,163780.0,219200.0,368500.0,165920.0,124720.0,2004,#,104350.0,30410.0,62650.0,281360.0,41600.0,,non-refundable tax credits,19010.0,135780.0,102250.0,"tuition, education, and textbook amounts",1140.0,79530.0
114,72910.0,,77100.0,82580.0,23400.0,79660.0,49000.0,62520.0,58160.0,2004,#,46620.0,1880.0,9310.0,73030.0,4900.0,,non-refundable tax credits,690.0,37540.0,18760.0,interest paid on student loans,3160.0,7630.0
115,44170.0,,55450.0,72540.0,52540.0,92990.0,108140.0,35340.0,33300.0,2004,#,23540.0,3880.0,8430.0,135060.0,6010.0,,non-refundable tax credits,2080.0,24600.0,14470.0,amounts transferred from spouse or common-law partner,12100.0,11050.0
116,212380.0,,288620.0,354760.0,207220.0,430920.0,353720.0,144760.0,161680.0,2004,#,111040.0,21500.0,29740.0,537970.0,20270.0,,non-refundable tax credits,15080.0,88400.0,49470.0,medical expenses,16460.0,43840.0
117,1339270.0,,1509330.0,1600730.0,4439820.0,1766650.0,2764250.0,1441900.0,1143260.0,2004,#,949900.0,203010.0,427140.0,2303230.0,277090.0,,non-refundable tax credits,123960.0,1033700.0,708500.0,total tax credits on personal amounts,951980.0,519880.0
118,459430.0,,471090.0,457410.0,67120.0,444210.0,208960.0,631200.0,433430.0,2004,#,379340.0,145240.0,246830.0,450470.0,170470.0,,non-refundable tax credits,96150.0,514020.0,388590.0,donations and gifts,0.0,340480.0
