,Grand total/Total global #,Grand total/Total global $,Loss and nil/Perte et néant #,Loss and nil/Perte et néant $,1 - 4999 #,1 - 4999 $,5000 - 9999 #,5000 - 9999 $,10000 - 14999 #,10000 - 14999 $,15000 - 19999 #,15000 - 19999 $,20000 - 24999 #,20000 - 24999 $,25000 - 29999 #,25000 - 29999 $,30000 - 34999 #,30000 - 34999 $,35000 - 39999 #,35000 - 39999 $,40000 - 44999 #,40000 - 44999 $,45000 - 49999 #,45000 - 49999 $,50000 - 54999 #,50000 - 54999 $,55000 - 59999 #,55000 - 59999 $,60000 - 69999 #,60000 - 69999 $,70000 - 79999 #,70000 - 79999 $,80000 - 89999 #,80000 - 89999 $,90000 - 99999 #,90000 - 99999 $,100000 - 149999 #,100000 - 149999 $,150000 - 249999 #,150000 - 249999 $,250000 and over/et plus #,250000 and over/et plus $,50000 and over/et plus #,50000 and over/et plus $,Item
10,1661790,2491651,8860,13212,373410,591010,161550,246544,180390,268739,145770,217011,123780,180427,111050,160896,101190,145925,89250,129164,74070,107945,59700,87115,47950,70189,37480,54717,53340,77879,34560,51133,22200,33055,12940,19232,18000,27433,4960,7903,1340,2123,232770,343665,Universal Child Care Benefit (UCCB)
11,2876980,19277992,2060,12249,41600,93396,121320,525744,249980,1423949,328790,2232814,349830,2739383,334360,2678596,301910,2301942,256260,1809765,205770,1390338,156860,1026656,120550,762846,92280,564951,126990,727517,76710,409032,43580,226873,24950,129927,35980,179804,5980,34034,1220,8176,528230,3043159,Employment Insurance and other benefits
12,3934690,48524591,6760,22497,88660,43136,84710,77342,147820,155419,215930,281252,225820,401641,214200,548688,232540,727146,239030,958985,252050,1174804,218560,1173436,198820,1326230,177300,1195396,317460,2586588,251850,2335823,200860,2118359,153860,1774977,377250,6689197,196730,6525915,134490,18407760,2008610,42960244,Taxable amount of dividends
13,6581720,15505018,15940,28122,302730,169043,261370,250956,413690,433586,609030,767352,522980,841064,439050,776674,434540,814034,410930,781426,398900,798462,329080,652188,283450,576773,246960,523345,417870,968461,319700,734353,246460,597765,182600,465914,409830,1394468,198120,1141612,138490,2789419,2443490,9192111,Interest and other investment income
14,201510,245962,4400,-28942,2830,340,2180,518,2830,857,4300,1182,5430,1194,5770,2158,6720,2650,7300,3107,8420,4176,7720,3929,7490,3964,7140,4226,14470,7238,12430,8354,10890,7117,9240,7227,29100,30100,23510,46927,29330,139639,143600,254792,Net partnership income
15,180,200,0,0,20,11,30,6,60,21,10,18,10,6,10,27,10,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,Registered disability savings plan (RDSP) income
16,1379350,4206989,15440,-156787,40580,18506,52080,94341,73780,153069,91130,183141,91650,201725,84960,186081,86060,175900,84690,174700,83950,180417,73180,151532,66330,144366,58990,128616,100930,237862,80310,200858,63510,169247,46580,147385,105500,454548,49020,398116,30680,963365,601850,2844363,Net rental income
17,1843400,17533649,4330,35965,48190,33004,48050,64899,69050,104108,93090,138856,100650,173395,94790,197314,100630,220636,102620,243257,109410,283189,95600,280363,86730,281358,79610,289357,143720,614041,115700,572410,93970,553468,73970,495109,189860,1914628,108260,2282310,85170,8755983,976990,15758664,Taxable capital gains
18,88600,1070811,180,1017,3300,5748,6170,24716,9170,49492,10530,68405,9570,78672,7830,73120,6890,71864,6210,67635,5190,60605,4280,57993,3530,49688,2820,42419,4100,80262,2630,58678,1800,44131,1220,36568,2280,108366,700,56157,230,35273,19300,511543,Support payments received
19,2341470,12616730,6440,24208,68290,80904,71920,185805,110480,352284,142750,477698,160560,600187,162090,659815,174420,742222,180520,790157,177460,814462,154690,716232,135990,658702,118390,608485,191820,1083969,138980,827668,99900,641399,68230,487770,125180,1305861,39350,771426,14030,787476,931870,7172757,Registered Retirement Savings Plan (RRSP) income
20,4280410,19104477,8880,21769,207000,246514,256120,622598,292350,802391,298220,750993,283440,718642,257440,682311,263120,696625,258160,727109,256070,751115,215480,652475,186300,584119,164140,538198,281720,965001,220680,853538,171680,726287,127580,617663,290570,2123486,142900,1960252,98550,4063390,1684130,12431935,Other income
21,1998700,24705346,46740,-762634,125210,174604,221000,1133219,264020,2100091,211790,2070121,169100,1932418,134910,1715997,114190,1503550,99660,1353020,89950,1248925,73610,1057973,61840,937691,52610,833681,84570,1409209,61980,1123254,45950,909559,32360,723872,66980,2030372,26920,1345907,15340,1864518,448540,11178062,Net business income
22,326640,19739045,3320,-39053,10870,14974,18050,85538,22110,161996,19220,178195,16520,184208,14410,187093,13200,188379,12340,188444,12180,204758,11160,205181,10420,206994,9710,207713,17660,423040,15510,428981,13090,437902,10850,435666,35360,2152635,31030,3877287,29650,10009112,173280,18179331,Net professional income
23,206790,4012261,3840,-25645,11990,12321,17620,69402,20820,126167,18570,137932,16000,146033,13910,149123,12370,149052,11200,151769,10430,158066,8770,151215,7340,144293,6320,133767,10590,265664,7950,237148,6160,218330,4550,194530,10870,653763,5270,526918,2240,412411,61290,2786826,Net commission income
24,359460,1630264,11730,-312728,13360,-48684,22900,24924,36520,114381,32110,89160,26630,98851,23490,98832,22290,116663,20340,109520,20890,154588,16260,95179,13850,89272,11730,74903,19990,140222,14890,104061,11250,84736,8020,66688,18860,205789,8650,147329,5720,176577,112950,1089578,Net farming income
25,29480,379856,230,-4075,770,-911,1340,1120,2520,5344,3370,14478,3840,25376,3540,31351,2810,32657,2250,33150,2000,34953,1360,26446,1130,24813,880,22231,1210,32365,710,23272,470,17334,270,10373,560,27067,180,13678,70,8834,5470,179966,Net fishing income
26,630460,5359358,520,3210,8260,15713,18490,61803,38490,183501,60300,365503,72420,556678,70600,624839,66380,616990,59280,565550,49300,483953,40300,410253,31340,299837,24940,231066,33740,316928,20520,186199,13270,118867,8070,76599,11420,149591,2220,63972,620,28307,146140,1471365,Workers' compensation benefits
27,1573530,10562872,640,1772,116100,299200,435040,2777720,542570,4613984,265750,1545474,116380,768211,43270,270429,20910,118167,11580,64469,6790,35572,4310,22212,2730,13300,1820,7978,2200,9282,1150,4914,690,2851,420,1655,760,3572,260,1270,150,840,10180,45663,Social assistance payments
28,1852110,8255327,1560,6392,34600,59048,130650,393689,496760,2918007,812400,3851284,252030,652441,59190,189438,27090,80699,15060,41414,7960,20741,4040,11370,2440,7059,1670,4663,2310,6714,1190,3307,710,1934,520,1561,1060,2961,560,1528,340,1076,10790,30804,Net federal supplements
29,25777210,1070327627,75250,-964267,2421520,4236772,2044140,15574478,2581350,32158546,2514850,43803313,1939670,43404428,1649090,45288914,1592150,51695275,1495420,55986722,1367490,57971902,1142340,54171371,975280,51129604,832210,47784539,1338910,86695008,1000750,74740943,733570,62170386,513860,48592127,994180,118005296,371600,68874880,193570,109007390,6953930,667000172,Total income assessed
30,4647970,15767153,910,1184,18920,6000,36370,10766,58220,26134,88310,51663,129550,100406,182100,181056,264800,338979,341200,548659,360270,707817,357790,828452,341600,914093,323710,989447,548640,1985698,463010,2056556,358510,1953723,252830,1559055,391980,2499961,99140,722210,30140,285293,2809550,12966036,Registered pension plan (RPP) contributions
31,6141930,32028073,2370,4040,24550,26355,34490,43328,81960,104188,147720,230551,217400,396507,283020,582364,360170,816162,422810,1067218,446760,1276272,434980,1424475,406210,1483952,369010,1466396,635460,2859170,527980,2726853,416060,2473572,309520,2146814,644450,6439620,249310,3874851,127720,2585387,3685720,26056614,RRSP deduction
32,1980,1046,0,0,60,27,80,43,130,64,150,72,160,86,180,91,170,86,160,84,140,73,120,66,110,61,90,51,120,65,100,54,80,40,40,23,70,39,30,15,0,0,640,352,Saskatchewan Pension Plan (SPP) deduction
33,1070530,10889895,40,168,410,471,1600,2327,4500,6551,16290,28146,61200,156794,85120,363222,99170,535277,108430,685621,108120,821734,99000,939700,83360,954301,67150,887391,98110,1415179,66160,966538,43300,670373,29740,498510,62600,1205242,24740,509487,11490,242863,486650,7349884,Deduction for elected split-pension amount
34,5632390,3720556,3510,1346,120810,12724,187050,28242,219500,42285,232310,54741,263070,75035,303950,105334,361270,151757,411840,204305,408440,229464,386420,246165,357740,254112,330540,259468,554110,486632,458910,451684,344860,367227,233430,255561,347410,379575,81610,89000,25620,25898,2734220,2569158,"Annual union, professional, or like dues"
35,12720,7985,170,183,3100,2211,2000,1064,2170,1174,1310,757,810,474,620,399,540,333,440,290,330,205,240,160,190,128,150,102,220,147,160,114,110,99,70,59,80,68,20,10,0,0,1000,736,Universal Child Care Benefit repayment
36,1240780,4190061,1490,2411,34320,28231,52570,79462,73470,142156,89820,202627,100850,263484,107060,308623,111580,350093,107100,360455,93260,340035,79790,306292,67110,270904,55050,230740,83590,368604,59540,277166,40350,201262,25830,133083,40500,217871,12770,76884,4740,29677,389470,1806191,Child care expenses
37,1260,7016,0,0,30,27,50,95,90,163,120,430,110,384,90,423,100,314,100,298,80,277,70,262,50,302,50,157,80,381,50,415,30,179,40,258,80,974,20,337,30,1340,440,4343,Disability supports deductions
38,11260,326993,70,2792,280,8333,210,4841,310,6903,400,7335,500,9367,560,10204,610,11399,570,11651,610,12652,590,10221,590,13347,490,9911,870,19355,790,16987,690,16382,520,14792,1320,39050,760,38986,530,62486,6560,231296,Business investment loss
39,108900,432579,190,340,3470,3151,6360,6256,8230,9602,8750,12683,8960,15674,8630,17938,7820,19431,7010,20240,6360,21224,5630,21162,4930,20809,4390,22428,7390,41841,5420,37766,4050,32603,2950,26589,5860,63067,1910,27718,590,12056,37490,284877,Moving expenses
40,78420,1039676,140,1269,430,1622,620,1904,1010,3023,1450,5066,2160,8179,2760,11934,3180,15339,3560,19098,3910,21970,3750,23041,3890,25667,3600,25052,7050,53257,6220,54444,5400,52543,4670,51782,12280,186238,6880,176811,5460,301436,55450,927230,Support payments made
41,2482510,4367538,3790,15848,30350,20958,35610,28670,68490,43546,126720,66821,145390,88743,140090,98394,151260,112367,153940,122138,157780,135355,139690,134566,127210,135576,114930,129320,202590,252153,163190,238427,132560,212982,102210,182269,252610,592118,133060,523500,101030,1233787,1329390,3500131,Carrying charges and interest expenses
42,1562830,1204478,720,301,30550,1999,196460,34328,251010,86159,192910,97003,152060,97705,120170,92081,98690,84870,84740,79559,76280,77709,59300,66586,42370,55302,32090,45049,46620,69416,32080,50707,23510,38697,17530,29751,46610,82767,32290,61616,26860,52872,299950,486176,Deductions for CPP or QPP contributions on self-employment and other earnings
43,407250,29664,280,13,14650,212,43940,1113,64190,2451,52710,2597,39920,2317,30120,1932,23670,1600,19540,1399,17300,1342,13680,1154,11900,1085,9950,974,14300,1661,8490,1247,5970,980,4480,784,12530,2437,10470,2296,9190,2068,87280,13534,Deduction for provincial parental insurance plan (PPIP) premiums on self-empl
44,84250,1652223,130,821,370,589,290,903,440,941,740,1501,1110,2357,1250,2589,1500,4173,1750,4712,2160,5942,2240,7674,2320,9019,2350,10071,4970,24205,4630,26834,4420,29280,4040,32650,14590,146166,14020,214371,20950,1127425,72280,1620022,Exploration and development expenses
45,831500,4144563,560,3604,3120,6664,6070,10955,11710,22479,20140,44679,28910,72938,36480,99439,43420,132824,47780,155182,51670,178074,52610,199745,51800,212264,48990,211726,86390,399058,68730,335421,55680,283845,44600,240811,105740,704478,45210,446054,21890,384323,529020,3217980,Other employment expenses
46,28310,355100,0,0,70,130,180,568,390,1738,600,3170,1020,6513,1680,11544,2290,18053,2300,20434,2540,25260,2600,28905,2570,32631,2380,33747,3860,61565,2410,42560,1320,24355,800,15614,1090,22357,180,4983,40,945,14640,238756,Clergy residence deduction
47,851900,1936964,2690,3059,27710,23576,35350,19192,57370,32613,78740,48030,84380,53822,80520,56515,75420,57579,66590,57644,56200,53383,44580,49131,35540,44677,28950,41376,43880,77821,30240,66977,21560,61913,15200,56496,33820,219589,18090,280149,15080,633424,242360,1482421,Other deductions
48,14046830,82101564,13970,37411,267200,143281,500940,274057,670650,532169,757060,857873,847920,1350786,896470,1944081,983730,2650635,1034070,3358989,1007140,3908788,906420,4287756,803860,4428231,707570,4363407,1160740,8116208,900710,7350749,672370,6420055,476320,5244903,919100,12801618,342840,7049277,177760,6981291,6161270,62755740,Total deductions before adjustments
49,484840,1208671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2590,389,25940,14929,82510,71924,95290,105324,67210,122104,45070,113178,97350,396299,41990,231801,26880,152708,484820,1208656,Social benefits repayment
50,25671130,988248390,0,0,2398040,4148022,2041820,15314070,2580130,31637162,2514070,42955217,1939130,42063974,1648700,43351623,1591810,49055470,1495180,52635382,1367290,54069252,1142190,49887709,975140,46708000,832100,43409432,1338740,78515312,1000630,67290539,733460,55636088,513780,43239612,993980,104821580,371450,61608088,193490,101901857,6952770,603130509,Net income after adjustments
51,14390,289747,0,0,10,5,20,23,20,50,20,35,40,171,60,640,90,1032,150,1980,390,4844,870,14674,950,13408,2120,42396,3880,70925,2210,47418,1220,28766,760,19197,1360,38506,180,4768,40,911,12730,266294,Canadian Forces personnel and police deduction
52,1540,361,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,10,1,0,0,0,0,20,3,30,4,60,12,60,11,110,21,120,17,480,94,400,149,210,45,1470,355,Employee home relocation loan deduction
53,49970,2473133,0,0,90,237,120,201,190,399,250,336,340,498,350,606,430,781,570,1159,710,1568,790,1655,970,2043,1090,2637,2200,5522,2300,7352,2220,7621,2190,8832,10110,66333,11130,154304,13930,2211038,46140,2465683,Security options deductions
54,3769730,24174478,2500,11450,156850,374037,570090,3233344,1016690,7715499,1006010,5762303,390720,1977580,160000,1084750,109420,815897,83350,671434,62590,540267,47780,443834,35990,320195,28070,243746,37770,332918,22580,194363,14490,123566,8850,79636,12660,154909,2540,65454,800,29296,163740,1544084,Other payments deductions
55,1770,18417,0,0,0,0,0,0,0,0,20,26,20,22,20,50,20,56,40,127,60,206,60,165,40,168,60,189,110,371,90,299,100,562,100,407,330,1396,280,1585,410,12288,1530,17264,Limited partnership losses of other years
56,36410,332026,590,3992,2150,6116,1290,5183,4330,9973,5090,17326,4610,21462,3590,20506,2790,18898,2230,17109,1720,14771,1330,11931,1020,10982,830,9411,1240,15070,870,12903,520,8845,400,7133,910,23813,500,21147,410,75456,6700,184760,Non-capital losses of other years
57,539800,1809499,40,206,3560,2290,3910,4894,8760,8679,15810,17170,23500,24842,25080,30512,28410,37048,29920,40853,32770,45920,29840,48823,27170,48166,25330,48415,47170,97438,38590,90212,31720,81651,25310,72381,68860,261280,40850,255277,33210,593442,338200,1548262,Net capital losses of other years
58,58800,3623944,60,2000,350,416,360,719,860,1817,1280,3802,1510,6174,1860,11160,2120,14243,2200,18928,2520,26095,2440,29974,2260,31125,2180,35881,4570,101643,3530,90902,3090,94991,2600,87907,8090,398174,7360,669202,9550,1998790,43240,3508616,Capital gains deduction
59,250290,853077,10,8,2400,1238,3450,4828,7770,15804,12640,31707,13890,36495,13970,39152,13650,40257,13190,39744,12800,39350,11860,38258,11420,38138,10860,37662,20170,72773,18260,68456,16100,63635,13720,57821,34710,152370,16700,65186,2740,10195,144650,566236,Northern residents deductions
60,203290,1237451,160,1055,5860,18307,9070,37344,20060,99021,33640,184939,29780,107126,19670,83508,16450,77647,13040,65836,10780,56269,7790,49128,5760,31476,4660,26358,7330,42600,4720,35120,3150,25685,2220,21527,5040,85429,2630,84683,1510,104394,37010,457272,Additional deductions
61,13260,123805,90,3365,160,640,180,1095,960,1879,1160,3860,1180,5712,1110,7034,960,6937,870,6648,740,5840,640,5637,620,5667,490,4664,820,7766,660,6635,490,5296,410,5204,940,13498,470,10992,320,15436,5210,75158,Farming/fishing losses of prior years
62,4800620,34935938,3380,22576,170160,403297,584460,3287633,1045840,7853121,1045720,6021504,445350,2180082,216950,1277919,167840,1012795,140270,863819,120550,735130,99710,644080,83080,501369,72870,451361,120490,747039,90280,553672,70370,440639,54360,360061,136450,1195803,76490,1332748,55980,5051291,760390,10633983,Total deductions from net income
63,24990310,953487250,0,0,2318520,3762970,1784880,12036579,2317010,23798239,2473460,37006682,1919660,39887994,1641230,42076232,1587180,48044916,1492000,51773690,1365450,53335720,1140890,49248769,974730,46207964,831780,42958813,1338280,77769990,1000310,66737994,733250,55196884,513640,42880709,993500,103629863,371170,60280857,193370,96852386,6950040,592515460,Taxable income assessed
64,25976080,268158724,315060,3241071,2401610,24056958,2040550,20947434,2578710,26641727,2512970,26016340,1938200,20077907,1647830,17077631,1591110,16498481,1494570,15501715,1366750,14179193,1141680,11845178,974680,10113140,831740,8630223,1338160,13885606,1000100,10378083,733050,7606922,513410,5327207,992890,10299737,370510,3840701,192500,1993471,6947040,72075090,Basic personal amount
65,4673370,27299372,8310,53090,103870,642106,196190,1253322,620240,3992357,1049800,6764506,596810,3845905,408830,2634019,366160,2333501,298590,1763348,261270,1396296,182370,881501,140340,600995,112450,411660,178590,467317,93000,159526,30320,53253,13390,21149,10940,18613,1290,4761,620,2148,580940,1739422,Age amount
66,2097360,14570561,12990,117320,114170,945292,115040,784308,174240,1175895,216920,1331073,192160,1224999,147650,965776,128420,860979,114090,780343,98530,680404,86000,598939,75960,532721,67440,474471,114960,817445,94410,682496,75690,551817,57450,423605,128470,968940,54110,422578,28670,231161,697150,5105234,Spouse or common-law partner amount
67,974480,9592366,4380,43353,68940,680376,84340,841810,118460,1193693,101620,1013807,85190,843540,72440,713236,67030,656850,61600,601494,51770,503795,42550,413324,35090,340904,29090,281483,44650,431367,33330,321712,23790,229973,15340,147835,24500,234774,7370,70225,3000,28817,216150,2087088,Amount for eligible dependant
68,3762910,13608082,15840,57441,175110,652335,158270,551108,224810,804916,224100,814348,220350,791309,212940,755089,220670,778195,223910,785840,212180,744598,195250,688283,180010,637582,163070,580839,285680,1027849,242240,883213,194610,716613,144980,541384,291990,1102077,114930,444662,61980,250402,1679490,6184622,Amount for children 17 and under
69,13250,45434,50,241,230,782,260,950,430,1588,770,2655,980,3297,950,3413,980,3311,980,3348,950,3151,870,2934,720,2447,660,2218,1010,3415,830,2777,630,2044,450,1499,960,3395,360,1293,190,673,5810,19762,Amount for infirm dependants age 18 or older
70,14605290,20643314,6010,3285,249210,39038,799960,138174,987970,345347,1018450,558022,1034120,789336,1019380,1000890,1043180,1284871,1036660,1537446,958860,1644091,848200,1640709,744410,1504860,651150,1336938,1061310,2205020,833410,1748402,625300,1318015,443130,936514,831100,1751533,283700,593025,129820,267798,5603310,11662105,CPP or QPP contributions through employment
71,1562830,1204478,720,301,30550,1999,196460,34328,251010,86159,192910,97003,152060,97705,120170,92081,98690,84870,84740,79559,76280,77709,59300,66586,42370,55302,32090,45049,46620,69416,32080,50707,23510,38697,17530,29751,46610,82767,32290,61616,26860,52872,299950,486176,CPP or QPP contributions self-employment and other eligible earnings
72,14665660,7047375,6620,1380,519000,54170,916340,101548,1002740,169973,1012890,235807,1023530,308634,1009850,375069,1029440,463548,1021740,542927,946040,573483,834280,540467,731440,485100,641960,431608,1038750,707569,809750,560175,602000,423273,423820,299790,764030,540177,238470,168198,92980,64479,5343200,3680369,Employment Insurance premiums
73,3340,1164,0,0,110,5,290,28,480,76,440,99,400,118,290,100,240,97,220,104,180,105,130,76,110,64,90,58,130,81,70,45,60,36,40,23,60,34,20,13,0,0,570,356,Employment Insurance premiums on self-employment and other eligible earnings
74,3655750,603454,1130,75,125490,3557,224700,7491,258200,13172,272960,19453,281500,26011,289840,33289,307400,43150,298190,49288,253300,47190,216150,45711,183120,43141,155290,40231,240630,68714,175670,52203,106920,31907,70870,21288,131990,39675,41490,12111,20890,5798,1126870,315068,PPIP premiums paid
75,109860,18901,30,2,2540,51,5830,143,6790,254,6360,335,5820,404,5610,494,5710,631,5860,780,6360,1009,6610,1225,6780,1417,6470,1507,10170,2591,7730,2085,5810,1611,4460,1260,8070,2307,2250,636,600,158,52330,13572,PPIP premiums payable on employment income
76,411930,38313,280,17,14840,275,44240,1435,64680,3161,53250,3350,40350,2989,30510,2491,24020,2066,19900,1809,17580,1732,13960,1492,12140,1402,10190,1260,14510,2147,8590,1613,6010,1267,4500,1013,12610,3154,10520,2968,9230,2672,88310,17496,PPIP premiums payable on self-employment income
77,17037990,17291382,12460,10973,867720,789196,1081950,1100578,1173360,1196386,1152970,1178976,1168270,1185986,1148690,1162023,1177900,1187196,1165280,1175042,1079860,1090125,942940,957882,820660,837912,713160,730644,1155800,1188407,893430,923760,664150,688808,468890,486895,888190,921961,311930,323147,150390,155485,6066600,6257019,Canada employment amount
78,1578640,1212713,5900,2708,83090,34614,105580,46829,130450,66983,128370,77366,121790,84869,109670,83423,104110,83381,100810,85476,91970,80578,81950,73745,70460,64658,62030,57795,97440,91434,75570,71940,56470,54783,41160,40740,78190,77994,24430,23935,9220,9462,514970,492740,Public transit amount
79,1576820,840976,2820,1411,19680,8468,19750,8064,32770,13768,44340,19066,55610,24069,65530,28463,77180,33840,86810,38781,89880,41461,89470,42326,87060,42432,82440,41101,153120,79350,141050,77620,120780,70186,93700,57167,192400,123492,78970,56016,43470,33894,993000,581259,Children's fitness amount
80,183470,833631,160,693,1500,6106,1320,5715,2650,11188,5110,21674,8080,35050,11620,50966,15050,66697,17180,76781,17460,78335,16410,74629,15160,69228,13240,61047,20820,96774,13570,63844,8240,38906,5260,24865,8100,38748,2030,9877,520,2511,86920,405799,Home buyers' amount
81,2910,19016,0,0,30,69,30,134,50,204,70,282,90,389,120,552,140,705,160,837,170,1030,180,1111,170,1056,150,1118,310,2279,260,1841,220,1570,180,1250,350,2593,140,1145,90,810,1880,13661,Adoption expenses
82,4417420,8402793,1850,3165,26470,35063,69730,106988,199310,324559,516500,878588,566220,1083530,443750,867775,428440,843072,377320,743485,358750,708130,258740,509953,202590,399237,163830,322794,253260,499018,156440,307579,102470,200975,66790,130566,137750,269005,56600,110043,30650,59270,1170350,2298487,Pension income amount
83,197260,854778,580,2467,3160,13001,3630,14447,6120,23416,10130,39616,13230,54144,14720,61866,15970,67958,16190,69685,15310,66602,13750,60079,11380,49850,10120,44527,15760,69784,12040,54430,9480,43756,6750,31016,13020,61363,4220,19286,1690,7486,84460,381497,Caregiver amount
84,614280,4440238,2760,20535,26250,192398,49830,360367,98490,709574,85710,618067,73750,531440,57610,416508,48460,350599,38030,275250,30200,218512,21910,158586,16330,118176,12380,89608,17780,128730,10240,74107,6620,47912,4200,30399,8060,58315,3500,25330,2190,15824,81290,588402,Disability amount
85,204610,1934534,660,6360,4910,50829,4410,44716,7010,69089,9550,85353,11290,97144,12580,110607,14270,127717,14970,136568,14570,135871,13140,123545,11630,111756,10420,99942,17460,169269,14060,137962,11110,109602,8110,79830,15750,154849,5900,56707,2830,26818,97260,946735,Disability amount transferred from a dependant
86,628130,302329,340,197,4490,1676,5100,1830,17330,6336,36210,14636,48980,20407,57980,24770,63040,28309,62130,29107,56610,27642,48900,24710,42440,22481,35940,19587,56010,32002,36260,19636,21660,11115,11930,6011,17120,9016,4340,2240,1340,620,227020,122708,Interest paid on student loans
87,1669920,7590275,0,0,670,659,1250,2443,218850,278712,284980,1080274,211500,1170150,168770,1008168,136790,813923,111880,646308,93540,511664,76320,400894,63950,318814,52870,273001,80180,384827,55400,220685,38420,143929,24660,96790,37110,171062,9450,50879,3340,17094,365370,1677081,"Tuition, education, and textbook amounts"
88,708330,3485185,90,271,610,1924,660,2221,3420,7673,10760,38045,19500,80474,26030,112589,32900,147727,39250,179412,41200,190771,41000,192676,39240,185069,37360,177727,68890,332884,66420,328734,57390,290556,46850,243442,104650,558328,45480,254913,26670,159747,492930,2531401,"Tuition, education, and textbook amounts transferred from a child"
89,1157120,5353236,15240,67057,143090,616765,78850,334232,157100,783531,153680,787588,129350,666119,99140,482499,79850,351983,60530,249775,42590,178878,31200,135985,24610,107689,20260,89173,31760,137473,23270,97396,17280,70988,12310,50063,24390,96817,8710,33729,3910,15494,166490,698823,Amounts transferred from spouse
