,#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under/Moins de 4 999 #,4999 and under/Moins de 4 999 $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
10,11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012,1611260,2418394.0,367870.0,584037.0,143150.0,220082.0,158900.0,236860.0,131320.0,195676.0,112520.0,164394.0,103170.0,149438.0,95790.0,137987.0,87700.0,126002.0,76290.0,111153.0,62970.0,92005.0,51460.0,75856.0,42020.0,61773.0,61730.0,90519.0,40760.0,59463.0,26740.0,39635.0,17580.0,25882.0,23220.0,34987.0,6450.0,10099.0,1610.0,2546.0
11,12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012,2430500,16277235.0,35550.0,81809.0,90950.0,388950.0,187970.0,1033105.0,255910.0,1645956.0,273510.0,1935915.0,269120.0,2039417.0,250330.0,1917064.0,217530.0,1601915.0,182660.0,1303923.0,142530.0,1003107.0,110660.0,771838.0,85890.0,587536.0,122090.0,789030.0,75780.0,452752.0,46500.0,268598.0,28130.0,157650.0,46030.0,244869.0,7930.0,43874.0,1430.0,9927.0
12,13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012,3929620,60936674.0,82860.0,79384.0,71180.0,79572.0,124600.0,159071.0,192560.0,288782.0,221220.0,435099.0,201400.0,596545.0,216390.0,774231.0,226700.0,1044896.0,246410.0,1292606.0,215070.0,1355659.0,197120.0,1578954.0,178840.0,1449944.0,321580.0,3198625.0,261780.0,2928424.0,208840.0,2735975.0,166890.0,2293146.0,419940.0,8927691.0,226480.0,8781576.0,149770.0,22936494.0
13,14,Interest and other investment income,Intérêts et autres revenus de placements,2012,6336210,14415780.0,277400.0,170413.0,210400.0,201132.0,333950.0,336862.0,531920.0,600550.0,510340.0,725715.0,400810.0,645067.0,395690.0,663993.0,381710.0,656252.0,383530.0,689066.0,321140.0,576341.0,281630.0,510828.0,250420.0,473438.0,430040.0,879671.0,337860.0,713416.0,257580.0,585311.0,201410.0,477439.0,455630.0,1433983.0,224420.0,1208235.0,150350.0,2868069.0
14,15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012,98260,228477.0,11570.0,-23968.0,970.0,-282.0,1070.0,406.0,1320.0,-468.0,1490.0,-407.0,1560.0,-729.0,1830.0,-25.0,2110.0,-105.0,2470.0,-324.0,2550.0,-149.0,2630.0,101.0,2530.0,1122.0,5130.0,1605.0,5050.0,3861.0,4630.0,4897.0,4260.0,5619.0,14640.0,27109.0,13440.0,40472.0,19030.0,169740.0
15,16,Registered disability savings plan income (RDSP),Revenus d'un régime enregistré d'épargne-invalidité (REEI),2012,400,358.0,30.0,11.0,60.0,17.0,130.0,78.0,60.0,70.0,30.0,30.0,20.0,15.0,10.0,45.0,10.0,9.0,10.0,13.0,,,,,,,,,,,,,,,,,,,,
16,17,Net rental income,Revenus nets de location,2012,1391680,4963890.0,51950.0,-108366.0,48500.0,106766.0,68310.0,166449.0,84070.0,199471.0,87890.0,230183.0,79500.0,206165.0,80460.0,207456.0,80430.0,202883.0,82140.0,216021.0,73050.0,181226.0,66710.0,171876.0,60470.0,161825.0,104620.0,292119.0,85650.0,248707.0,69040.0,215230.0,53830.0,177902.0,123560.0,553563.0,57290.0,463209.0,34220.0,1071203.0
17,18,Taxable capital gains,Gains en capital imposables,2012,1951230,16163054.0,53250.0,61169.0,44820.0,45480.0,66100.0,71173.0,97510.0,99964.0,114340.0,135787.0,102310.0,154058.0,107440.0,175130.0,109940.0,198371.0,117640.0,228037.0,102150.0,231400.0,91830.0,235360.0,84100.0,238909.0,151350.0,518064.0,124250.0,495501.0,98050.0,469826.0,79930.0,442723.0,202280.0,1698967.0,115910.0,2146780.0,88050.0,8516357.0
18,19,Support payments received,Pension alimentaire reçue,2012,79770,1070775.0,2870.0,4869.0,4740.0,18828.0,7330.0,40450.0,8520.0,56103.0,8450.0,71435.0,6680.0,65749.0,6000.0,64766.0,5490.0,63548.0,4830.0,57706.0,4180.0,55750.0,3440.0,49808.0,2770.0,44113.0,4380.0,82197.0,2870.0,65132.0,1870.0,47693.0,1480.0,40274.0,2710.0,122293.0,880.0,72804.0,300.0,47256.0
19,20,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012,2116520,11994886.0,62860.0,80888.0,57580.0,151321.0,89420.0,296788.0,115030.0,405487.0,136000.0,527408.0,133310.0,566885.0,144610.0,635152.0,154280.0,704868.0,158260.0,757386.0,138310.0,651399.0,123660.0,593381.0,110200.0,553164.0,183530.0,1022901.0,137620.0,801211.0,100750.0,633077.0,74060.0,487913.0,138640.0,1320683.0,43800.0,821831.0,14610.0,983144.0
20,21,Other income,Autres revenus,2012,3714920,18274541.0,177010.0,223800.0,210040.0,517565.0,240300.0,664779.0,244800.0,620324.0,240160.0,590867.0,212250.0,561918.0,215830.0,586668.0,216820.0,626816.0,220830.0,666324.0,186520.0,575296.0,161630.0,510578.0,144420.0,480813.0,248720.0,888624.0,198160.0,773479.0,155270.0,675876.0,121710.0,595596.0,284600.0,2174751.0,142690.0,2107035.0,93160.0,4433433.0
21,22,Net business income,Revenus nets d'entreprise,2012,1840060,23265685.0,149210.0,-390038.0,192720.0,987723.0,235760.0,1877635.0,192550.0,1864963.0,153280.0,1738442.0,123410.0,1586869.0,104690.0,1411981.0,91600.0,1253929.0,84030.0,1179322.0,69520.0,1005370.0,59210.0,891584.0,50610.0,789638.0,81580.0,1359900.0,61310.0,1103838.0,45750.0,901243.0,33490.0,703376.0,70460.0,2071704.0,27440.0,1356348.0,13450.0,1571858.0
22,23,Net professional income,Revenus nets de profession libérale,2012,315090,17564682.0,13570.0,-11962.0,16350.0,75655.0,20470.0,147031.0,18270.0,166361.0,15570.0,168370.0,13800.0,177426.0,12590.0,174059.0,12060.0,179354.0,11640.0,183402.0,10820.0,185915.0,10090.0,188266.0,9510.0,195139.0,17410.0,394713.0,15650.0,405289.0,13320.0,407872.0,11160.0,398521.0,34760.0,1943781.0,30010.0,3437581.0,28050.0,8747909.0
23,24,Net commission income,Revenus nets de commissions,2012,197120,3732771.0,15080.0,-12773.0,16080.0,62656.0,19260.0,115826.0,16980.0,125384.0,14750.0,128899.0,12800.0,133002.0,11520.0,137038.0,10580.0,135676.0,9690.0,136170.0,8470.0,137401.0,7250.0,127452.0,6250.0,123861.0,10600.0,246633.0,8030.0,221423.0,6270.0,209081.0,4780.0,181849.0,11330.0,639765.0,5250.0,497753.0,2150.0,385675.0
24,25,Net farming income,Revenus nets d'agriculture,2012,336930,2155770.0,19270.0,-298412.0,19240.0,29048.0,29350.0,102172.0,28260.0,85518.0,24110.0,95278.0,20860.0,102514.0,20000.0,128877.0,18350.0,107313.0,20210.0,199197.0,15940.0,117235.0,13330.0,100093.0,11820.0,89236.0,20180.0,170194.0,15410.0,142257.0,12140.0,126173.0,9190.0,102838.0,21740.0,305149.0,10700.0,225555.0,6850.0,225537.0
25,26,Net fishing income,Revenus nets de pêche,2012,26370,449103.0,700.0,-3392.0,850.0,471.0,1610.0,3140.0,2250.0,8596.0,2700.0,16887.0,2910.0,24546.0,2520.0,26551.0,2100.0,28949.0,1910.0,34250.0,1610.0,33870.0,1290.0,29108.0,1050.0,27192.0,1560.0,47831.0,970.0,33820.0,650.0,25834.0,400.0,18641.0,950.0,54640.0,270.0,22258.0,90.0,15912.0
26,27,Workers' compensation benefits,Indemnités pour accidents du travail,2012,585220,5051446.0,7200.0,15689.0,15450.0,52747.0,31460.0,145701.0,51610.0,308483.0,65340.0,484919.0,62330.0,541565.0,59600.0,549114.0,54570.0,513424.0,45860.0,454211.0,38160.0,384520.0,30430.0,309605.0,24880.0,245555.0,34690.0,344280.0,21850.0,208409.0,14390.0,137675.0,9640.0,92690.0,14210.0,177308.0,2850.0,64160.0,700.0,21392.0
27,28,Social assistance payments,Prestations d'assistance sociale,2012,1462950,10276165.0,86670.0,228833.0,366380.0,2447483.0,491790.0,4233054.0,287030.0,1847426.0,128930.0,874286.0,46580.0,324440.0,21690.0,132728.0,11980.0,72661.0,6730.0,39578.0,4430.0,24809.0,2870.0,15008.0,1910.0,9579.0,2230.0,9942.0,1210.0,5602.0,710.0,2993.0,440.0,1730.0,830.0,3814.0,360.0,1311.0,190.0,887.0
28,29,Net federal supplements,Versement net des suppléments fédéraux,2012,1922710,9384195.0,23390.0,43699.0,92140.0,272212.0,359400.0,1848318.0,918260.0,5590023.0,371330.0,1121784.0,77730.0,260846.0,32620.0,108139.0,18420.0,53576.0,10170.0,28676.0,5310.0,14931.0,3180.0,9464.0,2180.0,6611.0,2850.0,8532.0,1560.0,4717.0,970.0,2916.0,620.0,1937.0,1350.0,4132.0,750.0,2160.0,500.0,1523.0
29,30,Total income assessed,Revenu total établi,2012,25326070,1120723469.0,2353120.0,3058574.0,1788000.0,13669491.0,2242600.0,27815010.0,2481330.0,43300161.0,1914430.0,42798262.0,1563740.0,42934545.0,1512310.0,49130632.0,1448150.0,54235238.0,1361440.0,57809785.0,1147030.0,54405569.0,990550.0,51931313.0,854710.0,49082197.0,1393220.0,90266728.0,1063090.0,79455842.0,786950.0,66691010.0,596190.0,56437651.0,1170700.0,139174756.0,443160.0,82111674.0,215350.0,116415030.0
30,31,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012,4615070,17453688.0,16760.0,5963.0,31920.0,9775.0,50890.0,25051.0,75130.0,46265.0,108890.0,89580.0,154890.0,162006.0,223380.0,297329.0,305360.0,510437.0,335260.0,685411.0,343110.0,836733.0,329130.0,925013.0,315650.0,1010258.0,547760.0,2069083.0,476440.0,2215276.0,366600.0,2021525.0,297520.0,1998880.0,473990.0,3227033.0,124840.0,959920.0,37560.0,358149.0
31,32,RRSP deduction,Cotisations à un REER,2012,5933110,32401527.0,23680.0,28849.0,27910.0,36001.0,62260.0,80979.0,115990.0,178919.0,176010.0,316071.0,233780.0,473550.0,303000.0,670603.0,367360.0,897496.0,399860.0,1104579.0,403040.0,1259324.0,385100.0,1361751.0,356090.0,1379607.0,620140.0,2722295.0,529250.0,2661975.0,422960.0,2473617.0,341230.0,2257405.0,735670.0,7137622.0,293130.0,4510300.0,136660.0,2850586.0
32,33,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012,1135410,11876448.0,430.0,788.0,1480.0,2214.0,4050.0,6075.0,12860.0,21845.0,58310.0,134876.0,81990.0,332262.0,94790.0,499417.0,108630.0,662344.0,109910.0,805910.0,105550.0,937548.0,90490.0,990440.0,75230.0,967407.0,110470.0,1612527.0,77050.0,1142195.0,50870.0,795558.0,35130.0,587947.0,74290.0,1439956.0,30180.0,621680.0,13690.0,315460.0
33,34,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012,5502340,3916347.0,111720.0,13669.0,165690.0,25851.0,197290.0,39991.0,206980.0,50812.0,233160.0,69030.0,269320.0,95026.0,318850.0,134086.0,374380.0,185996.0,382220.0,214289.0,370210.0,235900.0,343550.0,245818.0,322300.0,255146.0,548260.0,488369.0,468540.0,477590.0,352880.0,386957.0,280120.0,328271.0,424580.0,511903.0,102320.0,124311.0,29980.0,33331.0
34,35,Universal Child Care Benefit repayment,Remboursement de la PUGE,2012,18060,12629.0,3960.0,3310.0,2210.0,1395.0,2610.0,1573.0,1710.0,1082.0,1250.0,816.0,960.0,653.0,870.0,636.0,740.0,477.0,660.0,471.0,520.0,397.0,420.0,283.0,400.0,283.0,560.0,381.0,400.0,272.0,270.0,205.0,180.0,136.0,240.0,166.0,70.0,70.0,20.0,23.0
35,36,Child care expenses,Frais de garde d'enfants,2012,1243470,4465065.0,35400.0,31056.0,49690.0,80074.0,66270.0,137656.0,80610.0,194875.0,91710.0,251301.0,99220.0,298439.0,104060.0,340593.0,104300.0,361890.0,94250.0,355039.0,81150.0,324520.0,69770.0,291955.0,58900.0,256343.0,91990.0,419589.0,67030.0,317127.0,45750.0,234178.0,32950.0,172272.0,49660.0,269654.0,15490.0,95409.0,5270.0,33094.0
36,37,Disability supports deductions,Déductions pour produits et services de soutien aux personnes handicapées,2012,1610,8306.0,30.0,27.0,50.0,113.0,90.0,157.0,110.0,425.0,130.0,507.0,140.0,581.0,120.0,511.0,130.0,415.0,100.0,322.0,90.0,438.0,90.0,410.0,70.0,292.0,110.0,509.0,80.0,428.0,60.0,309.0,50.0,332.0,100.0,893.0,50.0,928.0,30.0,709.0
37,38,Business investment loss,Perte au titre d'un placement d'entreprise,2012,9800,237185.0,280.0,7656.0,190.0,3951.0,230.0,4292.0,310.0,5970.0,390.0,6767.0,440.0,8465.0,480.0,7141.0,490.0,8054.0,490.0,9152.0,520.0,8542.0,500.0,8900.0,460.0,6877.0,750.0,13409.0,670.0,12729.0,570.0,11589.0,450.0,11055.0,1300.0,31622.0,720.0,29605.0,580.0,41409.0
38,39,Moving expenses,Frais de déménagement,2012,106760,451933.0,2890.0,2947.0,4790.0,5139.0,6510.0,7582.0,7640.0,11260.0,8090.0,14675.0,8030.0,17391.0,7410.0,17681.0,6740.0,19321.0,6240.0,20457.0,5590.0,20378.0,5050.0,21096.0,4660.0,22263.0,7820.0,42971.0,6170.0,40330.0,4650.0,34476.0,3570.0,30192.0,7620.0,75138.0,2590.0,34478.0,730.0,14161.0
39,40,Support payments made,Pension alimentaire payée,2012,65310,952472.0,330.0,1794.0,410.0,1014.0,660.0,2077.0,1050.0,3625.0,1500.0,5325.0,1820.0,7821.0,2220.0,10945.0,2700.0,14713.0,2880.0,16610.0,2870.0,17725.0,2850.0,19483.0,2890.0,20044.0,5410.0,42531.0,5140.0,45335.0,4530.0,43750.0,4010.0,44172.0,11720.0,174608.0,6890.0,177171.0,5440.0,303727.0
40,41,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012,2353030,4558058.0,28680.0,32827.0,29400.0,26031.0,53750.0,40326.0,103630.0,60289.0,135210.0,85386.0,124780.0,97760.0,133050.0,107645.0,139250.0,121677.0,145150.0,132674.0,132000.0,140920.0,119990.0,139960.0,109260.0,134683.0,193410.0,259814.0,160180.0,256397.0,128160.0,227570.0,104720.0,200521.0,261720.0,649458.0,144290.0,582347.0,106420.0,1261773.0
41,42,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autre,2012,1513840,1202288.0,27550.0,1888.0,172580.0,29996.0,228360.0,77883.0,179860.0,88977.0,143020.0,89530.0,116450.0,87649.0,97040.0,81975.0,83640.0,76421.0,76590.0,75598.0,63260.0,66860.0,47780.0,58002.0,35570.0,48177.0,51740.0,76191.0,35780.0,56326.0,26470.0,43781.0,19290.0,32877.0,50480.0,92276.0,32840.0,64804.0,25560.0,53077.0
42,43,Deductions for provincial parental insurance plan (PPIP) premiums on self-emplo,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un tra,2012,413090,33075.0,14470.0,227.0,41990.0,1135.0,61320.0,2518.0,50690.0,2672.0,39970.0,2522.0,31620.0,2294.0,25400.0,1959.0,20960.0,1637.0,18120.0,1446.0,14910.0,1300.0,12900.0,1203.0,10790.0,1070.0,16750.0,1913.0,9570.0,1474.0,6650.0,1175.0,4750.0,884.0,12950.0,2795.0,10400.0,2554.0,8920.0,2296.0
43,44,Exploration and development expenses,Frais d'exploration et d'aménagement,2012,74310,1038770.0,7180.0,27143.0,440.0,3212.0,360.0,1424.0,570.0,1351.0,820.0,1461.0,880.0,2002.0,1140.0,3140.0,1310.0,3699.0,1630.0,3806.0,1750.0,5430.0,1820.0,6685.0,1710.0,7365.0,3810.0,17073.0,3760.0,18690.0,3510.0,20821.0,3140.0,20670.0,11690.0,97799.0,11460.0,139441.0,17320.0,657558.0
44,45,Other employment expenses,Autres dépenses d'emploi,2012,792630,4052424.0,3250.0,9030.0,5180.0,9180.0,9700.0,19509.0,16680.0,36795.0,23980.0,61098.0,30420.0,87152.0,36360.0,111102.0,41060.0,133405.0,44140.0,153186.0,47230.0,176026.0,47370.0,190653.0,45350.0,191556.0,81890.0,378301.0,67890.0,332514.0,54520.0,274940.0,46640.0,239872.0,115750.0,737350.0,51050.0,486553.0,24190.0,424203.0
45,46,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012,26400,346184.0,50.0,145.0,140.0,475.0,270.0,1214.0,480.0,2609.0,860.0,5206.0,1250.0,8758.0,1880.0,14760.0,1980.0,17475.0,2280.0,22420.0,2290.0,25533.0,2370.0,29800.0,2310.0,32558.0,3920.0,62062.0,2490.0,44482.0,1450.0,27380.0,840.0,16659.0,1280.0,27644.0,220.0,5900.0,40.0,1105.0
46,47,Other deductions,Autres déductions,2012,766320,2128129.0,27330.0,17430.0,30000.0,17184.0,47530.0,27216.0,66330.0,42243.0,73080.0,48985.0,68020.0,49706.0,64650.0,53078.0,58860.0,52218.0,51470.0,58925.0,41060.0,46210.0,33160.0,44898.0,27160.0,41665.0,40930.0,77347.0,29090.0,72631.0,21100.0,67310.0,16040.0,63735.0,36170.0,262655.0,19060.0,356598.0,15290.0,728093.0
47,48,Total deductions before adjustments,Total des déductions avant rajustements,2012,13772340,85134527.0,260020.0,184748.0,440110.0,252739.0,588780.0,475522.0,661270.0,750014.0,763830.0,1183135.0,803970.0,1731516.0,884680.0,2352601.0,958550.0,3067674.0,958530.0,3660296.0,887640.0,4103783.0,796450.0,4336349.0,710590.0,4375595.0,1181490.0,8284365.0,942620.0,7695772.0,709690.0,6665140.0,548860.0,6005880.0,1073600.0,14738572.0,405890.0,8192070.0,195800.0,7078754.0
48,49,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012,488770,1337821.0,,,,,,,,,,,,,,,,,,,,,,,6160.0,1815.0,51000.0,45305.0,98650.0,88946.0,75690.0,123553.0,53900.0,125890.0,121000.0,475774.0,51060.0,290757.0,31310.0,185731.0
49,50,Net income after adjustments,Revenu net après rajustements,2012,25228620,1035214276.0,2262450.0,3690564.0,1785660.0,13430155.0,2241420.0,27350325.0,2480620.0,42558198.0,1913930.0,41624434.0,1563360.0,41214179.0,1512040.0,46786084.0,1447940.0,51172429.0,1361260.0,54163570.0,1146880.0,50306276.0,990410.0,47598545.0,854610.0,44708085.0,1393090.0,81942076.0,1062970.0,71676330.0,786870.0,59905830.0,596140.0,50309507.0,1170560.0,123969945.0,443090.0,73644381.0,215300.0,109163364.0
50,51,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012,3890,87110.0,20.0,21.0,20.0,28.0,30.0,15.0,20.0,42.0,30.0,75.0,40.0,148.0,20.0,82.0,40.0,98.0,40.0,265.0,100.0,1069.0,140.0,2424.0,280.0,6832.0,860.0,16747.0,620.0,12456.0,430.0,10960.0,310.0,7999.0,760.0,22410.0,120.0,5002.0,30.0,435.0
51,52,Employee home relocation loan deduction,Déduction pour prêts à la réinstallation d'employés,2012,1320,282.0,,,,,,,,,,,10.0,1.0,10.0,1.0,20.0,2.0,10.0,1.0,10.0,1.0,20.0,2.0,20.0,4.0,40.0,5.0,50.0,8.0,80.0,37.0,60.0,8.0,380.0,59.0,350.0,63.0,220.0,88.0
52,53,Security options deductions,Déductions pour options d'achat de titres,2012,43170,2003175.0,70.0,180.0,90.0,1048.0,180.0,249.0,250.0,404.0,380.0,631.0,390.0,736.0,420.0,810.0,500.0,942.0,600.0,1014.0,650.0,1124.0,730.0,1672.0,790.0,1886.0,1490.0,3942.0,1540.0,4877.0,1480.0,5348.0,1650.0,6594.0,8310.0,49340.0,10500.0,131512.0,13140.0,1790865.0
53,54,Other payments deductions,Déduction pour autres paiements,2012,3661690,24707394.0,115800.0,288222.0,468090.0,2772445.0,823260.0,6227235.0,1111630.0,7745986.0,499880.0,2481028.0,170610.0,1126852.0,107970.0,789985.0,81960.0,639663.0,61110.0,522466.0,46880.0,424260.0,35890.0,334076.0,28540.0,261745.0,39270.0,362754.0,24340.0,218681.0,15880.0,143505.0,10550.0,96205.0,15780.0,183953.0,3310.0,65869.0,940.0,22464.0
54,55,Limited partnership losses of other years,Pertes comme commanditaire d'autres années,2012,1890,10125.0,20.0,20.0,,,,,20.0,29.0,30.0,53.0,20.0,63.0,30.0,96.0,40.0,90.0,40.0,212.0,50.0,121.0,60.0,196.0,70.0,177.0,110.0,369.0,120.0,438.0,100.0,303.0,100.0,444.0,350.0,1117.0,310.0,1248.0,430.0,5137.0
55,56,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012,28800,331507.0,910.0,2741.0,490.0,1995.0,2860.0,5066.0,3840.0,11217.0,3620.0,15351.0,3070.0,16884.0,2540.0,16773.0,1950.0,14720.0,1560.0,12817.0,1230.0,11831.0,1050.0,10496.0,850.0,8633.0,1220.0,15916.0,800.0,10908.0,600.0,10480.0,470.0,8689.0,940.0,22011.0,440.0,17617.0,390.0,117362.0
56,57,Net capital losses of other years,Pertes en capital nettes d'autres années,2012,494880,1257334.0,2890.0,1918.0,3100.0,4389.0,6700.0,6369.0,12410.0,11222.0,21000.0,17708.0,22490.0,21904.0,25920.0,26581.0,27570.0,29188.0,30620.0,32918.0,27490.0,34932.0,25240.0,35729.0,23270.0,34212.0,43160.0,69941.0,36220.0,63932.0,28850.0,56770.0,23780.0,49977.0,64060.0,179935.0,39060.0,182427.0,31060.0,397283.0
