,item,type,tax_year,total,< $5k,$5k - 10k,$10k - 15k,$15k - 20k,$20k - 25k,$25k - 30k,$30k - 35k,$35k - 40k,$40k - 45k,$45k - 50k,$50k - 55k,$55k - 60k,$60k - 70k,$70k - 80k,$80k - 90k,$90k - 100k,$100k - 150k,$150k - 250k,> $250k
114,Number of non-taxable returns,#,2010,8856280,2699630,1853590,1975080,1481370,468140,177140,83130,43760,25140,15670,9910,6180,7420,3360,1680,1070,2340,1200,440
115,Total number of returns,#,2010,26023120,2742690,2044140,2581350,2514850,1939670,1649090,1592150,1495420,1367490,1142340,975280,832210,1338910,1000750,733570,513860,994180,371600,193570
116,Employment income,#,2010,17037040,1494340,1057580,1147060,1119680,1117010,1088890,1108710,1097730,1018870,897520,786920,687180,1118710,870840,649670,459300,868100,303020,145910
117,Commissions (from employment),#,2010,482520,10610,22020,29400,30840,31390,30560,29420,28530,27140,24760,22300,19770,33580,25940,20170,16020,44060,23490,12530
118,Other employment income,#,2010,2272330,65570,87210,99020,99810,118060,134580,153930,159710,158540,139610,124750,111720,193920,153580,110510,79180,176300,70440,35910
119,Old Age Security pension,#,2010,4571780,75920,155220,583020,1022390,573130,385520,343630,277170,243390,168080,128630,102990,164370,94070,59020,37680,83330,43110,31120
120,Canada Pension Plan (CPP) or Quebec Pension Plan (QPP) benefits,#,2010,6127090,140010,320690,703760,1119290,702270,512810,470030,398850,359280,261020,204260,163820,250320,147200,93430,59980,124990,57340,37730
121,Other pensions or superannuation,#,2010,3780100,18970,44340,129910,410420,482900,386910,376380,333650,312660,232520,184680,149400,229640,138750,89080,57670,122850,51410,27960
122,Elected split-pension amount,#,2010,1069990,11840,30690,85020,149290,132460,97650,113320,95020,108430,46850,29610,25380,51570,29910,20700,11440,20170,7090,3550
123,Universal Child Care Benefit,#,2010,1661790,382270,161550,180390,145770,123780,111050,101190,89250,74070,59700,47950,37480,53340,34560,22200,12940,18000,4960,1340
124,Employment Insurance and other benefits,#,2010,2876980,43660,121320,249980,328790,349830,334360,301910,256260,205770,156860,120550,92280,126990,76710,43580,24950,35980,5980,1220
125,Taxable amount of dividends,#,2010,3934690,95420,84710,147820,215930,225820,214200,232540,239030,252050,218560,198820,177300,317460,251850,200860,153860,377250,196730,134490
126,Interest and other investment income,#,2010,6581720,318670,261370,413690,609030,522980,439050,434540,410930,398900,329080,283450,246960,417870,319700,246460,182600,409830,198120,138490
127,Net partnership income,#,2010,201510,7230,2180,2830,4300,5430,5770,6720,7300,8420,7720,7490,7140,14470,12430,10890,9240,29100,23510,29330
128,Registered disability savings plan income,#,2010,180,20,30,60,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0
129,Net rental income,#,2010,1379350,56020,52080,73780,91130,91650,84960,86060,84690,83950,73180,66330,58990,100930,80310,63510,46580,105500,49020,30680
130,Taxable capital gains,#,2010,1843400,52520,48050,69050,93090,100650,94790,100630,102620,109410,95600,86730,79610,143720,115700,93970,73970,189860,108260,85170
131,Support payments received,#,2010,88600,3480,6170,9170,10530,9570,7830,6890,6210,5190,4280,3530,2820,4100,2630,1800,1220,2280,700,230
132,Registered Retirement Savings Plan income,#,2010,2341470,74730,71920,110480,142750,160560,162090,174420,180520,177460,154690,135990,118390,191820,138980,99900,68230,125180,39350,14030
133,Other income,#,2010,4280410,215880,256120,292350,298220,283440,257440,263120,258160,256070,215480,186300,164140,281720,220680,171680,127580,290570,142900,98550
134,Net business income,#,2010,1998700,171950,221000,264020,211790,169100,134910,114190,99660,89950,73610,61840,52610,84570,61980,45950,32360,66980,26920,15340
135,Net professional income,#,2010,326640,14190,18050,22110,19220,16520,14410,13200,12340,12180,11160,10420,9710,17660,15510,13090,10850,35360,31030,29650
136,Net commission income,#,2010,206790,15830,17620,20820,18570,16000,13910,12370,11200,10430,8770,7340,6320,10590,7950,6160,4550,10870,5270,2240
137,Net farming income,#,2010,359460,25090,22900,36520,32110,26630,23490,22290,20340,20890,16260,13850,11730,19990,14890,11250,8020,18860,8650,5720
138,Net fishing income,#,2010,29480,1000,1340,2520,3370,3840,3540,2810,2250,2000,1360,1130,880,1210,710,470,270,560,180,70
139,Workers' compensation benefits,#,2010,630460,8780,18490,38490,60300,72420,70600,66380,59280,49300,40300,31340,24940,33740,20520,13270,8070,11420,2220,620
140,Social assistance payments,#,2010,1573530,116740,435040,542570,265750,116380,43270,20910,11580,6790,4310,2730,1820,2200,1150,690,420,760,260,150
141,Net federal supplements,#,2010,1852110,36160,130650,496760,812400,252030,59190,27090,15060,7960,4040,2440,1670,2310,1190,710,520,1060,560,340
142,Total income assessed,#,2010,25777210,2496770,2044140,2581350,2514850,1939670,1649090,1592150,1495420,1367490,1142340,975280,832210,1338910,1000750,733570,513860,994180,371600,193570
143,Registered pension plan contributions,#,2010,4647970,19830,36370,58220,88310,129550,182100,264800,341200,360270,357790,341600,323710,548640,463010,358510,252830,391980,99140,30140
144,RRSP deduction,#,2010,6141930,26920,34490,81960,147720,217400,283020,360170,422810,446760,434980,406210,369010,635460,527980,416060,309520,644450,249310,127720
145,Saskatchewan Pension Plan deduction,#,2010,1980,60,80,130,150,160,180,170,160,140,120,110,90,120,100,80,40,70,30,0
146,Deduction for elected split-pension amount,#,2010,1070530,450,1600,4500,16290,61200,85120,99170,108430,108120,99000,83360,67150,98110,66160,43300,29740,62600,24740,11490
147,"Annual union, professional, or like dues",#,2010,5632390,124320,187050,219500,232310,263070,303950,361270,411840,408440,386420,357740,330540,554110,458910,344860,233430,347410,81610,25620
148,Universal Child Care Benefit repayment,#,2010,12720,3270,2000,2170,1310,810,620,540,440,330,240,190,150,220,160,110,70,80,20,0
149,Child care expenses,#,2010,1240780,35810,52570,73470,89820,100850,107060,111580,107100,93260,79790,67110,55050,83590,59540,40350,25830,40500,12770,4740
150,Disability supports deductions,#,2010,1260,30,50,90,120,110,90,100,100,80,70,50,50,80,50,30,40,80,20,30
151,Business investment loss,#,2010,11260,350,210,310,400,500,560,610,570,610,590,590,490,870,790,690,520,1320,760,530
152,Moving expenses,#,2010,108900,3660,6360,8230,8750,8960,8630,7820,7010,6360,5630,4930,4390,7390,5420,4050,2950,5860,1910,590
153,Support payments made,#,2010,78420,570,620,1010,1450,2160,2760,3180,3560,3910,3750,3890,3600,7050,6220,5400,4670,12280,6880,5460
154,Carrying charges and interest expenses,#,2010,2482510,34140,35610,68490,126720,145390,140090,151260,153940,157780,139690,127210,114930,202590,163190,132560,102210,252610,133060,101030
155,Deductions for CPP or QPP contributions on self-employment and other earnings,#,2010,1562830,31270,196460,251010,192910,152060,120170,98690,84740,76280,59300,42370,32090,46620,32080,23510,17530,46610,32290,26860
156,Deduction for provincial parental insurance plan (PPIP) premiums on self-empl,#,2010,407250,14930,43940,64190,52710,39920,30120,23670,19540,17300,13680,11900,9950,14300,8490,5970,4480,12530,10470,9190
157,Exploration and development expenses,#,2010,84250,500,290,440,740,1110,1250,1500,1750,2160,2240,2320,2350,4970,4630,4420,4040,14590,14020,20950
158,Other employment expenses,#,2010,831500,3680,6070,11710,20140,28910,36480,43420,47780,51670,52610,51800,48990,86390,68730,55680,44600,105740,45210,21890
159,Clergy residence deduction,#,2010,28310,70,180,390,600,1020,1680,2290,2300,2540,2600,2570,2380,3860,2410,1320,800,1090,180,40
160,Other deductions,#,2010,851900,30400,35350,57370,78740,84380,80520,75420,66590,56200,44580,35540,28950,43880,30240,21560,15200,33820,18090,15080
161,Total deductions before adjustments,#,2010,14046830,281170,500940,670650,757060,847920,896470,983730,1034070,1007140,906420,803860,707570,1160740,900710,672370,476320,919100,342840,177760
162,Social benefits repayment,#,2010,484840,0,0,0,0,0,0,0,0,0,10,2590,25940,82510,95290,67210,45070,97350,41990,26880
163,Net income after adjustments,#,2010,25671130,2398040,2041820,2580130,2514070,1939130,1648700,1591810,1495180,1367290,1142190,975140,832100,1338740,1000630,733460,513780,993980,371450,193490
164,Canadian Forces personnel and police deduction,#,2010,14390,10,20,20,20,40,60,90,150,390,870,950,2120,3880,2210,1220,760,1360,180,40
165,Employee home relocation loan deduction,#,2010,1540,0,0,0,10,10,0,0,10,0,0,20,30,60,60,110,120,480,400,210
166,Security options deductions,#,2010,49970,90,120,190,250,340,350,430,570,710,790,970,1090,2200,2300,2220,2190,10110,11130,13930
167,Other payments deductions,#,2010,3769730,159350,570090,1016690,1006010,390720,160000,109420,83350,62590,47780,35990,28070,37770,22580,14490,8850,12660,2540,800
168,Limited partnership losses of other years,#,2010,1770,0,0,0,20,20,20,20,40,60,60,40,60,110,90,100,100,330,280,410
169,Non-capital losses of other years,#,2010,36410,2740,1290,4330,5090,4610,3590,2790,2230,1720,1330,1020,830,1240,870,520,400,910,500,410
170,Net capital losses of other years,#,2010,539800,3600,3910,8760,15810,23500,25080,28410,29920,32770,29840,27170,25330,47170,38590,31720,25310,68860,40850,33210
171,Capital gains deduction,#,2010,58800,410,360,860,1280,1510,1860,2120,2200,2520,2440,2260,2180,4570,3530,3090,2600,8090,7360,9550
172,Northern residents deductions,#,2010,250290,2410,3450,7770,12640,13890,13970,13650,13190,12800,11860,11420,10860,20170,18260,16100,13720,34710,16700,2740
173,Additional deductions,#,2010,203290,6020,9070,20060,33640,29780,19670,16450,13040,10780,7790,5760,4660,7330,4720,3150,2220,5040,2630,1510
174,Farming/fishing losses of prior years,#,2010,13260,250,180,960,1160,1180,1110,960,870,740,640,620,490,820,660,490,410,940,470,320
175,Total deductions from net income,#,2010,4800620,173540,584460,1045840,1045720,445350,216950,167840,140270,120550,99710,83080,72870,120490,90280,70370,54360,136450,76490,55980
176,Taxable income assessed,#,2010,24990310,2318520,1784880,2317010,2473460,1919660,1641230,1587180,1492000,1365450,1140890,974730,831780,1338280,1000310,733250,513640,993500,371170,193370
177,Basic personal amount,#,2010,25976080,2716670,2040550,2578710,2512970,1938200,1647830,1591110,1494570,1366750,1141680,974680,831740,1338160,1000100,733050,513410,992890,370510,192500
178,Age amount,#,2010,4673370,112180,196190,620240,1049800,596810,408830,366160,298590,261270,182370,140340,112450,178590,93000,30320,13390,10940,1290,620
