F1,F2,F3,F4,F5,F6,CODE1,ITEME,ITEMF,CODE2,prove,provf,taxyr,f7
0,0,500,236,230,155,E,Cultural and ecological gifts,Dons des biens culturels ou écosensibles,56,,,2005,1
0,0,53020,3658,174750,18585,E,Donations &amp; gifts,Dons,57,,,2005,1
937820,1290699,4246390,6174348,2763910,4907914,E,Total non-refundable tax credits,Total des crédits d'impôt non remboursables,58,,,2005,1
260,1024,189720,27043,1020710,387055,F,Basic federal tax,Impôt fédéral de base,59,,,2005,1
6410,829,201850,14543,163390,17143,F,Fed. dividend tax credit,Crédit d'impôt pour dividendes,60,,,2005,1
620,502,178220,56137,159090,108983,F,CPP contrib. on self-employ. earning,Cot. au RPC à payer d'un travail indép. &amp; pour d'autres rev.,61,,,2005,1
260,1024,180160,26747,998830,385709,F,Net federal tax,Impôt fédéral net,62,,,2005,1
750,540,48790,7379,292790,67117,F,Net provincial tax,Impôt provincial &amp; territorial net,63,,,2005,1
1250,2066,354080,90263,1075140,562725,F,Total tax payable,Total de l'impôt à payer,64,,,2005,1
1601250,0,1624890,0,1570830,0,A,Number of taxable returns,Nombre de déclarations imposables,1,,,2005,2
747830,0,154690,0,61860,0,A,Number of non-taxable returns,Nombre de déclarations non imposables,2,,,2005,2
2349080,0,1779580,0,1632690,0,A,Total number of returns,Nombre total de déclarations,3,,,2005,2
1214310,17200773,1162370,21798371,1159350,27208726,B,Employment income,Revenus d'emploi,4,,,2005,2
32350,81906,31710,118699,31020,162781,B,Commissions (from employment),Commissions (d'emploi),5,,,2005,2
112620,428617,125220,442442,136350,497870,B,Other employment income,Autres revenus d'emploi,6,,,2005,2
853090,4691730,438440,2409169,337380,1858828,B,Old Age Security pension,Pension de sécurité de la vieillesse,7,,,2005,2
956790,5795317,533710,3647992,432610,3067371,B,CPP or QPP benefits,Prestations du RPC ou du RRQ,8,,,2005,2
364230,1565591,338190,2559431,310010,3342103,B,Other pensions or superannuation,Autres pensions et pensions de retraite,9,,,2005,2
344060,1909711,308810,1891137,282860,1802560,B,Employment Insurance benefits,Prestations d'assurance-emploi,10,,,2005,2
229830,221727,221360,316149,220340,426408,B,Taxable amount of dividends,Montant imposable des dividendes,11,,,2005,2
717030,1048200,551240,980389,504170,987540,B,interest &amp; other invest. income,Revenus de placements,12,,,2005,2
239160,663685,206450,882116,187660,1038326,B,Annuity income,Revenus de rentes,13,,,2005,2
94430,165949,90280,151653,84590,131292,B,Net rental income,Revenus nets de location,14,,,2005,2
156630,225454,154150,260815,142740,277229,B,Taxable capital gains,Gains en capital imposables,15,,,2005,2
122480,393958,124250,446785,134500,504112,B,RRSP income,Revenu d'un REER,16,,,2005,2
181720,1735167,148800,1556372,127090,1496599,B,Net business income,Revenus nets d'entreprise,17,,,2005,2
22560,222059,18120,236655,17420,224730,B,Net professional income,Revenus nets de profession libéral,18,,,2005,2
14170,109328,9610,88690,7680,76444,B,Net commission income,Revenus nets de commissions,19,,,2005,2
38480,89284,30060,93107,25610,88986,B,Net farming income,Revenus nets d'agriculture,20,,,2005,2
5210,24292,4850,27610,3310,36685,B,Net fishing income,Revenus nets de pêche,21,,,2005,2
788380,3330502,232570,1236727,129860,836369,B,Tax-exempt income,Revenus non imposables,22,,,2005,2
300540,851402,265930,768992,239440,784489,B,Other income,Autres revenus,23,,,2005,2
2349080,40754649,1779580,39913578,1632690,44849452,B,Total income assessed,Revenu total établi,24,,,2005,2
117820,66902,173190,132376,249590,247761,C,RPP deduction,Déductions à un RPA,25,,,2005,2
238680,400469,327520,637390,404380,883875,C,RRSP contributions,Déductions à un REER,26,,,2005,2
278160,64860,324400,87825,380710,134514,C,"Annual union, professional, or like dues","Cot. annuelles syndicales, prof., et semblables",27,,,2005,2
103750,238637,114720,291164,113140,305052,C,Child care expenses,Frais de garde d'enfants,28,,,2005,2
171720,77206,170440,84390,165380,95326,C,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,29,,,2005,2
169830,87030,131190,85473,109360,83679,C,CPP/QPP contrib. on self-empl./other earning,Cotisations au RPC ou au RRQ,30,,,2005,2
27530,60638,37950,91180,47560,139647,C,Other employment expenses,Autres dépenses d'emploi,31,,,2005,2
1000,4753,1220,7556,2230,14434,C,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,32,,,2005,2
107220,108610,95280,113078,99860,145600,C,Other deductions (from total income),Autres déductions (du revenu total),33,,,2005,2
889340,1095551,917780,1524700,982370,2048173,C,Total deduction before adjustment,Total des déductions avant ajustement,34,,,2005,2
3110,12927,1180,5527,730,1211,C,Social benefits repayment,Remb. des prestations de progr. Sociaux,35,,,2005,2
2347790,39652002,1778540,38384090,1631910,42802264,C,Net income after adjustment,Revenu net après ajustements,36,,,2005,2
2370,6598,2890,15067,2430,16070,C,Capital gains deduction,Déduction pour gains en capital,37,,,2005,2
32870,46308,39390,61546,34950,59953,C,Losses from other years,Pertes d'autres années,38,,,2005,2
813980,3523077,264380,1363460,160030,962759,C,Additional deductions (from net income),Déductions supplémentaires (du revenu net),39,,,2005,2
841530,3575983,299950,1440350,193980,1038782,C,Total deductions (from net income),Total des déductions (du revenu net),40,,,2005,2
2310450,36115186,1763880,36946868,1625530,41765498,C,Taxable income assessed,Revenu imposable établi,41,,,2005,2
2347780,20263546,1778620,15350116,1632020,14094071,D,Basic personal amount,Montant personnel de base,42,,,2005,2
860110,3422178,444070,1766687,339260,1349093,D,Age amount,Montant en raison de l'âge,43,,,2005,2
313530,1770803,270240,1507856,236150,1331231,D,Spouse &amp; elig. depend. &amp; adoption amt.,"Montant pour conjoint, &amp; pers. à charge, et frais d'adoption",44,,,2005,2
1278800,834833,1202440,1061847,1184990,1321415,D,CPP or QPP contributions,Cotisations au RPC ou au RRQ,45,,,2005,2
1121050,319614,1084680,403832,1082100,504434,D,Employment Insurance premiums,Cotisations à l'assurance-emploi,46,,,2005,2
517860,488899,428120,420784,365970,362862,D,Pension income amount,Montant pour revenu de pension,47,,,2005,2
9220,35528,14950,61189,15490,60958,D,Caregiver amount,Montant pour aidants naturels,48,,,2005,2
75920,496823,55130,372116,44210,308959,D,Disability amount,Montant pour personnes handicapées,49,,,2005,2
274550,1192578,216080,1085956,183220,863964,D,Tuition and education amounts,Frais de scolarité et montant relatif aux études,50,,,2005,2
65850,31061,71850,37105,79660,42724,D,Interest paid on student loans,Intérêts payés sur vos prêts étudiants,51,,,2005,2
141660,507408,99470,362760,71450,255055,D,Amounts transferred from spouse,Montants transférés du conjoint,52,,,2005,2
546820,886521,451650,820233,373680,773118,D,Allowable amt. of med. expenses,Montant admissible des frais médicaux,53,,,2005,2
2348160,4523092,1778830,3473849,1632240,3176515,D,Total tax credits,Total des crédits d'impôt,54,,,2005,2
410320,215569,440050,287435,450870,329424,E,Charitable donations &amp; gov. gifts,Dons de bienfaisance et dons aux gouvernements,55,,,2005,2
370,458,490,1258,760,3523,E,Cultural and ecological gifts,Dons des biens culturels ou écosensibles,56,,,2005,2
402810,54762,432240,75129,443720,87869,E,Donations &amp; gifts,Dons,57,,,2005,2
2348160,4577855,1778860,3548978,1632260,3264384,E,Total non-refundable tax credits,Total des crédits d'impôt non remboursables,58,,,2005,2
1579620,1195323,1584690,2061357,1547210,2992384,F,Basic federal tax,Impôt fédéral de base,59,,,2005,2
205730,29428,198820,42022,200800,56726,F,Fed. dividend tax credit,Crédit d'impôt pour dividendes,60,,,2005,2
128330,129290,102080,133130,88980,135657,F,CPP contrib. on self-employ. earning,Cot. au RPC à payer d'un travail indép. &amp; pour d'autres rev.,61,,,2005,2
1560560,1190563,1575740,2054085,1541980,2978790,F,Net federal tax,Impôt fédéral net,62,,,2005,2
771810,300468,1077770,676835,1104620,1120106,F,Net provincial tax,Impôt provincial &amp; territorial net,63,,,2005,2
1601250,1620320,1624890,2864215,1570830,4234716,F,Total tax payable,Total de l'impôt à payer,64,,,2005,2
1482240,0,1331290,0,2813530,0,A,Number of taxable returns,Nombre de déclarations imposables,1,,,2005,3
30680,0,19620,0,50290,0,A,Number of non-taxable returns,Nombre de déclarations non imposables,2,,,2005,3
1512910,0,1350910,0,2863820,0,A,Total number of returns,Nombre total de déclarations,3,,,2005,3
1142620,32584513,1047250,34688343,2189860,67272856,B,Employment income,Revenus d'emploi,4,,,2005,3
29640,202751,25780,235361,55420,438112,B,Commissions (from employment),Commissions (d'emploi),5,,,2005,3
150880,518209,146910,551694,297790,1069903,B,Other employment income,Autres revenus d'emploi,6,,,2005,3
254920,1397937,202740,1107116,457660,2505052,B,Old Age Security pension,Pension de sécurité de la vieillesse,7,,,2005,3
344150,2447880,286910,2042195,631060,4490075,B,CPP or QPP benefits,Prestations du RPC ou du RRQ,8,,,2005,3
269710,4025511,240030,4464339,509740,8489850,B,Other pensions or superannuation,Autres pensions et pensions de retraite,9,,,2005,3
217760,1296128,170630,963313,388390,2259441,B,Employment Insurance benefits,Prestations d'assurance-emploi,10,,,2005,3
222880,554310,221790,769138,444660,1323447,B,Taxable amount of dividends,Montant imposable des dividendes,11,,,2005,3
457740,887828,421440,829301,879170,1717129,B,interest &amp; other invest. income,Revenus de placements,12,,,2005,3
151580,982089,117320,894370,268910,1876459,B,Annuity income,Revenus de rentes,13,,,2005,3
93610,152875,79680,115803,173290,268678,B,Net rental income,Revenus nets de location,14,,,2005,3
141800,323949,142530,344214,284320,668163,B,Taxable capital gains,Gains en capital imposables,15,,,2005,3
151650,581008,147850,591082,299500,1172090,B,RRSP income,Revenu d'un REER,16,,,2005,3
105020,1360130,94120,1202608,199140,2562737,B,Net business income,Revenus nets d'entreprise,17,,,2005,3
16660,238856,14270,246438,30930,485295,B,Net professional income,Revenus nets de profession libéral,18,,,2005,3
6420,74812,7780,104076,14200,178888,B,Net commission income,Revenus nets de commissions,19,,,2005,3
23620,84875,25340,171702,48960,256577,B,Net farming income,Revenus nets d'agriculture,20,,,2005,3
2910,36301,2160,31353,5070,67654,B,Net fishing income,Revenus nets de pêche,21,,,2005,3
91500,584589,73280,538049,164780,1122638,B,Tax-exempt income,Revenus non imposables,22,,,2005,3
236270,723788,218110,666154,454380,1389942,B,Other income,Autres revenus,23,,,2005,3
1512910,49058339,1350910,50556648,2863820,99614987,B,Total income assessed,Revenu total établi,24,,,2005,3
339990,426731,363050,572842,703040,999573,C,RPP deduction,Déductions à un RPA,25,,,2005,3
481400,1207436,503220,1417112,984630,2624547,C,RRSP contributions,Déductions à un REER,26,,,2005,3
429550,180725,423370,206183,852920,386909,C,"Annual union, professional, or like dues","Cot. annuelles syndicales, prof., et semblables",27,,,2005,3
113360,329285,94690,312253,208050,641538,C,Child care expenses,Frais de garde d'enfants,28,,,2005,3
170940,103163,164190,123635,335130,226798,C,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,29,,,2005,3
91470,79886,82610,78664,174080,158550,C,CPP/QPP contrib. on self-empl./other earning,Cotisations au RPC ou au RRQ,30,,,2005,3
45970,134462,54900,179712,100860,314173,C,Other employment expenses,Autres dépenses d'emploi,31,,,2005,3
2080,13853,3210,28512,5290,42365,C,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,32,,,2005,3
79110,127151,69580,152320,148700,279471,C,Other deductions (from total income),Autres déductions (du revenu total),33,,,2005,3
1023810,2601685,984580,3070297,2008380,5671982,C,Total deduction before adjustment,Total des déductions avant ajustement,34,,,2005,3
430,1511,370,811,800,2321,C,Social benefits repayment,Remb. des prestations de progr. Sociaux,35,,,2005,3
1511980,46458137,1350170,47487461,2862140,93945598,C,Net income after adjustment,Revenu net après ajustements,36,,,2005,3
3560,25442,3340,51121,6900,76562,C,Capital gains deduction,Déduction pour gains en capital,37,,,2005,3
33820,69868,33640,63843,67460,133712,C,Losses from other years,Pertes d'autres années,38,,,2005,3
118240,684800,97070,634770,215320,1319570,C,Additional deductions (from net income),Déductions supplémentaires (du revenu net),39,,,2005,3
151760,780110,131170,749734,282920,1529845,C,Total deductions (from net income),Total des déductions (du revenu net),40,,,2005,3
1508870,45678928,1348380,46751244,2857250,92430172,C,Taxable income assessed,Revenu imposable établi,41,,,2005,3
1512290,13063889,1350120,11666677,2862410,24730566,D,Basic personal amount,Montant personnel de base,42,,,2005,3
257220,925466,205580,595487,462800,1520954,D,Age amount,Montant en raison de l'âge,43,,,2005,3
218060,1264511,185240,1071034,403300,2335545,D,Spouse &amp; elig. depend. &amp; adoption amt.,"Montant pour conjoint, &amp; pers. à charge, et frais d'adoption",44,,,2005,3
1155420,1577925,1054690,1689742,2210110,3267668,D,CPP or QPP contributions,Cotisations au RPC ou au RRQ,45,,,2005,3
1070100,602994,973930,637774,2044040,1240768,D,Employment Insurance premiums,Cotisations à l'assurance-emploi,46,,,2005,3
309330,307232,265000,263094,574320,570326,D,Pension income amount,Montant pour revenu de pension,47,,,2005,3
14060,57873,14550,58876,28600,116749,D,Caregiver amount,Montant pour aidants naturels,48,,,2005,3
35610,249973,30360,221321,65970,471293,D,Disability amount,Montant pour personnes handicapées,49,,,2005,3
146200,661131,137330,579168,283540,1240299,D,Tuition and education amounts,Frais de scolarité et montant relatif aux études,50,,,2005,3
79570,45206,65400,40205,144970,85411,D,Interest paid on student loans,Intérêts payés sur vos prêts étudiants,51,,,2005,3
56050,210462,45730,165348,101780,375810,D,Amounts transferred from spouse,Montants transférés du conjoint,52,,,2005,3
301550,638311,233060,552179,534600,1190491,D,Allowable amt. of med. expenses,Montant admissible des frais médicaux,53,,,2005,3
1512460,2928413,1350300,2618623,2862760,5547037,D,Total tax credits,Total des crédits d'impôt,54,,,2005,3
461530,386497,448030,407825,909560,794322,E,Charitable donations &amp; gov. gifts,Dons de bienfaisance et dons aux gouvernements,55,,,2005,3
940,4053,1460,12134,2400,16188,E,Cultural and ecological gifts,Dons des biens culturels ou écosensibles,56,,,2005,3
455680,104319,442690,113018,898370,217338,E,Donations &amp; gifts,Dons,57,,,2005,3
1512480,3032733,1350400,2731642,2862890,5764374,E,Total non-refundable tax credits,Total des crédits d'impôt non remboursables,58,,,2005,3
1470150,3770376,1321770,4281116,2791920,8051493,F,Basic federal tax,Impôt fédéral de base,59,,,2005,3
203760,73780,203670,102420,407430,176201,F,Fed. dividend tax credit,Crédit d'impôt pour dividendes,60,,,2005,3
72750,130641,68650,131492,141400,262133,F,CPP contrib. on self-employ. earning,Cot. au RPC à payer d'un travail indép. &amp; pour d'autres rev.,61,,,2005,3
1466790,3752267,1319580,4262211,2786370,8014479,F,Net federal tax,Impôt fédéral net,62,,,2005,3
1054890,1397436,988610,1685065,2043500,3082501,F,Net provincial tax,Impôt provincial &amp; territorial net,63,,,2005,3
1482240,5281228,1331290,6079365,2813530,11360593,F,Total tax payable,Total de l'impôt à payer,64,,,2005,3
1155110,0,977330,0,2132440,0,A,Number of taxable returns,Nombre de déclarations imposables,1,,,2005,4
10210,0,6110,0,16320,0,A,Number of non-taxable returns,Nombre de déclarations non imposables,2,,,2005,4
1165320,0,983440,0,2148760,0,A,Total number of returns,Nombre total de déclarations,3,,,2005,4
929090,35268350,805930,34372623,1735010,69640973,B,Employment income,Revenus d'emploi,4,,,2005,4
24140,259141,21200,333412,45340,592553,B,Commissions (from employment),Commissions (d'emploi),5,,,2005,4
140280,449740,122960,338096,263240,787836,B,Other employment income,Autres revenus d'emploi,6,,,2005,4
159000,863483,122640,663848,281640,1527330,B,Old Age Security pension,Pension de sécurité de la vieillesse,7,,,2005,4
225160,1615212,179610,1289178,404770,2904390,B,CPP or QPP benefits,Prestations du RPC ou du RRQ,8,,,2005,4
202000,4520994,158330,3981185,360330,8502178,B,Other pensions or superannuation,Autres pensions et pensions de retraite,9,,,2005,4
118470,650854,86840,447319,205310,1098173,B,Employment Insurance benefits,Prestations d'assurance-emploi,10,,,2005,4
210490,757070,182770,678601,393270,1435671,B,Taxable amount of dividends,Montant imposable des dividendes,11,,,2005,4
387500,727286,328820,656007,716320,1383293,B,interest &amp; other invest. income,Revenus de placements,12,,,2005,4
101570,883094,76250,719413,177820,1602507,B,Annuity income,Revenus de rentes,13,,,2005,4
68910,148064,63330,118716,132240,266780,B,Net rental income,Revenus nets de location,14,,,2005,4
126340,345858,115120,347415,241470,693274,B,Taxable capital gains,Gains en capital imposables,15,,,2005,4
138290,574831,117600,504605,255890,1079436,B,RRSP income,Revenu d'un REER,16,,,2005,4
74790,945687,62800,912223,137590,1857911,B,Net business income,Revenus nets d'entreprise,17,,,2005,4
14360,216382,13610,255153,27970,471535,B,Net professional income,Revenus nets de profession libéral,18,,,2005,4
6840,118098,4560,96546,11400,214645,B,Net commission income,Revenus nets de commissions,19,,,2005,4
18350,87182,15320,52543,33670,139725,B,Net farming income,Revenus nets d'agriculture,20,,,2005,4
2220,42326,1640,42936,3850,85262,B,Net fishing income,Revenus nets de pêche,21,,,2005,4
49160,366480,40560,275477,89710,641957,B,Tax-exempt income,Revenus non imposables,22,,,2005,4
196790,600033,172380,572600,369170,1172632,B,Other income,Autres revenus,23,,,2005,4
1165320,49440164,983440,46657896,2148760,96098061,B,Total income assessed,Revenu total établi,24,,,2005,4
364830,685314,357600,772346,722430,1457660,C,RPP deduction,Déductions à un RPA,25,,,2005,4
502330,1614094,455250,1607793,957570,3221887,C,RRSP contributions,Déductions à un REER,26,,,2005,4
410330,228637,389690,250786,800020,479423,C,"Annual union, professional, or like dues","Cot. annuelles syndicales, prof., et semblables",27,,,2005,4
79910,265965,63140,215055,143050,481021,C,Child care expenses,Frais de garde d'enfants,28,,,2005,4
155000,116529,145600,117289,300600,233818,C,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,29,,,2005,4
59560,64224,43140,53239,102710,117462,C,CPP/QPP contrib. on self-empl./other earning,Cotisations au RPC ou au RRQ,30,,,2005,4
55010,196672,59980,231066,114990,427738,C,Other employment expenses,Autres dépenses d'emploi,31,,,2005,4
3130,34931,2130,22893,5260,57824,C,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,32,,,2005,4
55680,137873,47460,136193,103140,274065,C,Other deductions (from total income),Autres déductions (du revenu total),33,,,2005,4
905330,3343189,807480,3406051,1712810,6749240,C,Total deduction before adjustment,Total des déductions avant ajustement,34,,,2005,4
320,1307,1580,857,1900,2164,C,Social benefits repayment,Remb. des prestations de progr. Sociaux,35,,,2005,4
1164990,46096312,983200,43251663,2148200,89347975,C,Net income after adjustment,Revenu net après ajustements,36,,,2005,4
2730,33084,2930,27815,5650,60899,C,Capital gains deduction,Déduction pour gains en capital,37,,,2005,4
28900,58889,28070,60042,56970,118931,C,Losses from other years,Pertes d'autres années,38,,,2005,4
69770,457729,59390,361244,129150,818973,C,Additional deductions (from net income),Déductions supplémentaires (du revenu net),39,,,2005,4
99530,549703,87910,449101,187440,998804,C,Total deductions (from net income),Total des déductions (du revenu net),40,,,2005,4
1163810,45547347,982580,42804158,2146380,88351505,C,Taxable income assessed,Revenu imposable établi,41,,,2005,4
1164870,10067688,983080,8495620,2147940,18563308,D,Basic personal amount,Montant personnel de base,42,,,2005,4
161080,347612,124490,179426,285560,527038,D,Age amount,Montant en raison de l'âge,43,,,2005,4
160330,918546,143320,839430,303640,1757977,D,Spouse &amp; elig. depend. &amp; adoption amt.,"Montant pour conjoint, &amp; pers. à charge, et frais d'adoption",44,,,2005,4
934730,1666090,807800,1481640,1742530,3147731,D,CPP or QPP contributions,Cotisations au RPC ou au RRQ,45,,,2005,4
868750,613189,753790,544731,1622540,1157920,D,Employment Insurance premiums,Cotisations à l'assurance-emploi,46,,,2005,4
221790,220917,173290,172302,395070,393220,D,Pension income amount,Montant pour revenu de pension,47,,,2005,4
11070,43430,12450,51513,23520,94943,D,Caregiver amount,Montant pour aidants naturels,48,,,2005,4
24350,178027,20700,158055,45050,336082,D,Disability amount,Montant pour personnes handicapées,49,,,2005,4
119480,462049,99550,354752,219030,816801,D,Tuition and education amounts,Frais de scolarité et montant relatif aux études,50,,,2005,4
59120,37003,44710,30085,103830,67088,D,Interest paid on student loans,Intérêts payés sur vos prêts étudiants,51,,,2005,4
35730,120856,28880,99361,64610,220217,D,Amounts transferred from spouse,Montants transférés du conjoint,52,,,2005,4
173110,403151,124370,317738,297470,720889,D,Allowable amt. of med. expenses,Montant admissible des frais médicaux,53,,,2005,4
1165010,2251711,983160,1900307,2148170,4152018,D,Total tax credits,Total des crédits d'impôt,54,,,2005,4
425110,397647,387410,383946,812520,781593,E,Charitable donations &amp; gov. gifts,Dons de bienfaisance et dons aux gouvernements,55,,,2005,4
690,7183,1650,10008,2340,17191,E,Cultural and ecological gifts,Dons des biens culturels ou écosensibles,56,,,2005,4
420090,109127,383980,106697,804070,215824,E,Donations &amp; gifts,Dons,57,,,2005,4
1165010,2360838,983160,2007004,2148170,4367842,E,Total non-refundable tax credits,Total des crédits d'impôt non remboursables,58,,,2005,4
1150260,4719597,975400,4898301,2125660,9617898,F,Basic federal tax,Impôt fédéral de base,59,,,2005,4
194460,100823,168440,90375,362890,191198,F,Fed. dividend tax credit,Crédit d'impôt pour dividendes,60,,,2005,4
46840,103446,35820,89913,82660,193358,F,CPP contrib. on self-employ. earning,Cot. au RPC à payer d'un travail indép. &amp; pour d'autres rev.,61,,,2005,4
1148000,4694830,973750,4873686,2121740,9568516,F,Net federal tax,Impôt fédéral net,62,,,2005,4
860470,1860625,741270,1930702,1601740,3791326,F,Net provincial tax,Impôt provincial &amp; territorial net,63,,,2005,4
1155110,6658900,977330,6894994,2132440,13553894,F,Total tax payable,Total de l'impôt à payer,64,,,2005,4
1500260,0,1078100,0,763100,0,A,Number of taxable returns,Nombre de déclarations imposables,1,,,2005,5
6330,0,3540,0,2000,0,A,Number of non-taxable returns,Nombre de déclarations non imposables,2,,,2005,5
1506590,0,1081630,0,765100,0,A,Total number of returns,Nombre total de déclarations,3,,,2005,5
1265780,62276193,930700,54394078,672260,45654003,B,Employment income,Revenus d'emploi,4,,,2005,5
36670,653477,28440,679536,21270,618815,B,Commissions (from employment),Commissions (d'emploi),5,,,2005,5
209730,637472,165610,572186,117960,428826,B,Other employment income,Autres revenus d'emploi,6,,,2005,5
