#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under/Moins de 4 999 #,4999 and under/Moins de 4 999 $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000),50000 and over/et plus #,50000 and over/et plus $ (000)
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2011, 1680310,2526658,387030,614163,158140,243537,173830,259365,142200,212166,121400,177375,109470,159113,100360,144945,90270,130190,76500,111740,62450,91583,50890,74806,41020,60430,59070,86656,38810,57065,24850,36971,15970,23509,20680,31364,5880,9295,1500,2385,258670,382481
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2011, 2629270,17391059,40050,96260,106780,455462,218440,1211217,293200,1914671,311200,2246644,300730,2305403,273130,2050431,232990,1653088,190680,1318175,147000,995098,112720,753494,87460,572189,121580,746427,75340,427895,43970,246113,26150,142983,39780,207983,6750,38410,1330,9116,515080,3144611
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2011, 4051670,56218819,94070,75855,80460,84585,140100,165828,209180,298222,230270,437291,212120,593251,229900,779384,238980,1039174,255400,1276627,221940,1304406,204330,1484857,183140,1356516,329720,2955691,265270,2695229,212070,2489055,166830,2088138,412530,7937290,217750,7743538,147610,21413882,2139250,50164196
14,Interest and other investment income,Intérêts et autres revenus de placements,2011, 6599190,14987759,303370,187183,237110,225703,376560,381183,577610,676874,522330,769593,424750,695211,421800,723722,403770,700902,400840,737401,332190,604454,290790,540721,254420,497188,433920,915128,340680,725108,261380,598610,200740,472655,448140,1428045,217550,1188342,151260,2919736,2598880,9285533
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2011, 111940,79322,11500,-51337,1120,-188,1220,-939,1570,-632,1830,-1736,1920,-290,2240,-459,2490,39,2970,651,3070,-98,3030,127,2970,-1250,6140,1878,5750,670,5410,1821,4940,2424,16880,10492,15120,19801,21780,98346,82010,134309
16,Registered disability savings plan income (RDSP),Revenus d'un régime enregistré d'épargne-invalidité (REEI),2011, 240,178,20,9,40,13,80,34,30,13,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,69
17,Net rental income,Revenus nets de location,2011, 1413750,4388232,56870,-144880,52110,98140,73420,157306,89480,189027,90700,206712,83490,189478,84270,184158,83980,180157,83760,185151,74210,159607,67370,149696,60540,140639,105370,253871,85170,209935,67570,180029,52130,148837,116370,477076,53410,414272,33530,1009021,641460,2983376
18,Taxable capital gains,Gains en capital imposables,2011, 2062080,18511924,59870,71641,51500,64511,74800,97646,105170,134901,117250,172566,106480,189813,112990,217930,115670,241157,122830,275301,106870,274656,97170,279003,88880,283493,160460,605144,130570,564740,104780,535657,83770,488283,211370,1910317,119230,2331860,92430,9773305,1088660,16771802
19,Support payments received,Pension alimentaire reçue,2011, 88500,1109600,3420,5969,5750,23050,8520,46874,10000,64498,9420,78153,7480,71237,6890,72250,5960,67536,5300,61412,4340,56727,3660,50914,2930,44232,4500,83555,3010,64365,1960,46116,1520,41490,2710,118372,820,67190,290,45660,21410,561895
20,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2011, 2316590,13019591,72050,97440,67150,173775,103570,337755,133060,462763,152790,587682,151740,631772,165380,722131,172400,770815,173560,826898,151560,713015,135370,661720,118770,617455,195460,1105695,145780,867991,105910,689511,75590,523926,138420,1426304,43140,855525,14900,947418,973340,7695544
21,Other income,Autres revenus,2011, 3965630,18049510,194800,239939,232740,572031,265720,735041,269900,683801,261550,654291,234290,619856,239260,642384,238090,677075,238320,699372,200600,604402,174320,543466,153440,495793,262580,911831,208790,782001,160680,673821,122690,574488,277640,2032685,136850,1904637,93360,4002595,1590350,11921317
22,Net business income,Revenus nets d'entreprise,2011, 2018610,25247502,171070,-591134,221190,1139045,265620,2115675,212750,2069778,168330,1917496,135470,1751499,114800,1535344,100210,1385492,90090,1267502,74640,1083138,62830,960187,53600,851311,86650,1461342,64390,1170989,47980,946521,34570,749725,71370,2151204,28170,1426572,14900,1855817,464450,11573667
23,Net professional income,Revenus nets de profession libérale,2011, 335580,19262319,15140,-25511,18520,87016,22950,167431,20000,180995,17050,186552,14670,188708,13520,188319,12940,193792,12360,202465,11310,198915,10570,204650,9920,205652,18370,428665,16090,421562,13620,441330,11490,428641,35920,2078371,31110,3680053,30050,9804714,177130,17693637
24,Net commission income,Revenus nets de commissions,2011, 216770,4106684,16460,-10472,17720,69420,21780,130529,19060,138190,16780,148922,14250,149512,13000,151514,11810,151534,10810,159164,9210,146615,8010,148123,6890,136705,11130,264217,8590,241556,6650,221618,4850,194370,11620,665688,5780,565791,2390,433687,65900,2871756
25,Net farming income,Revenus nets d'agriculture,2011, 353350,2021105,22220,-301710,20660,25883,32930,107936,30170,91696,25810,97516,22180,102684,21470,127732,19860,118851,21140,180819,16050,110311,14090,101854,12040,84762,21080,173024,15470,128708,12060,115092,8820,83753,20940,273222,9950,202589,6400,196384,120850,1359387
26,Net fishing income,Revenus nets de pêche,2011, 29610,485885,890,-10146,1100,1244,2080,4644,2760,12329,3280,21516,3160,26967,2750,30858,2310,35332,2190,39967,1620,32997,1350,32823,1120,30129,1600,49580,1010,35053,680,27110,410,18817,920,54596,290,25873,100,16196,7460,290177
27,Workers' compensation benefits,Indemnités pour accidents du travail,2011, 625160,5334625,8300,17967,17650,60425,35610,169380,57020,347538,70720,534638,67880,600038,64710,602988,58130,555052,48760,475120,40640,413871,32160,308314,25800,250161,35350,330069,22030,200842,14570,130705,9280,86222,13250,164266,2620,64176,680,22853,155730,1557607
28,Social assistance payments,Prestations d'assistance sociale,2011, 1576530,10746049,108990,284779,418530,2734188,541180,4713073,276330,1582492,125710,825433,47040,300036,22580,126916,12430,65210,7440,38728,4750,23729,3000,14552,2020,9080,2550,11009,1290,5701,820,3346,510,2138,850,4009,340,1140,190,488,11560,51464
29,Net federal supplements,Versement net des suppléments fédéraux,2011, 1919290,8873520,30010,51808,107230,308948,445510,2554986,873460,4657197,317530,870863,70860,218338,31010,91273,16770,45821,9070,23983,4800,12691,2850,8036,1980,5292,2790,7887,1420,4224,900,2665,610,1902,1320,4133,750,2192,430,1279,13050,37611
30,Total income assessed,Revenu total établi,2011, 26094480,1122019231,2489730,3188976,1971390,15033201,2492740,31039424,2527720,44057009,1958400,43802485,1634730,44888561,1576110,51179816,1492750,55900403,1384700,58726323,1160440,55039484,1000620,52461099,855870,49146782,1394010,90296348,1064790,79565997,780730,66175116,574460,54341282,1107970,131583054,414890,76926292,212450,118667577,7405790,719163549
31,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2011, 4743860,16947488,19950,7283,35670,11573,56850,25738,84950,49622,124300,97333,172940,173608,245390,315004,328020,532287,351910,698779,353490,832235,342330,929036,322020,998038,559900,2054849,490430,2221020,374200,2039244,290490,1872785,442800,2912998,113070,843215,35140,332841,2970390,14204027
32,RRSP deduction,Cotisations à un REER,2011, 6130560,32641865,25550,30317,31210,38876,73060,92372,132640,205507,197940,357268,259780,522020,332990,740650,396990,980969,426770,1189727,422750,1341608,400360,1428628,366870,1429913,638200,2834701,545690,2764184,428820,2530004,335930,2257692,702930,6861085,275290,4235146,136770,2801196,3830870,27142550
33,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2011, 1111270,11463233,420,759,1550,2280,4160,6011,14330,24181,60150,146762,84360,351486,98040,520011,109200,678694,110350,820000,103160,952867,87860,990457,71840,938213,105010,1520466,71960,1054304,47190,732843,32810,550514,68730,1330447,27400,565863,12770,277075,525570,7960181
34,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2011, 5692050,3878736,122000,14685,180190,27590,214440,42172,225620,53421,256680,73597,292980,101125,343160,142276,398000,195424,399940,222063,380340,239817,356270,251998,328050,255496,562880,493882,486080,484972,360290,387139,270310,306802,393590,448921,92500,106217,28740,31139,2878700,2766567
35,Universal Child Care Benefit repayment,Remboursement de la PUGE,2011, 12740,7832,3500,2556,2050,1137,2350,1300,1330,757,810,480,510,288,410,207,360,188,260,159,220,122,170,103,130,64,210,168,140,96,100,74,70,41,100,62,30,27,0,0,940,638
36,Child care expenses,Frais de garde d'enfants,2011, 1262030,4412374,36400,31915,52500,83012,71030,143437,86720,203127,97790,264773,104700,311412,108690,347622,107260,367421,94540,350784,81390,319727,68810,285049,58190,251035,89430,400833,65450,307342,43640,220602,30510,158642,45440,245274,14430,88037,5150,32330,421030,1989145
37,Disability supports deductions,Déductions pour produits et services de soutien aux personnes handicapées,2011, 1300,6423,20,20,50,70,90,197,110,315,140,433,110,402,120,434,90,260,70,203,60,211,60,195,40,219,70,474,70,427,30,193,40,297,80,676,30,410,30,987,450,3877
38,Business investment loss,Perte au titre d'un placement d'entreprise,2011, 10930,292797,350,10308,220,4417,290,5850,400,7451,490,8011,500,12390,580,11824,630,13500,600,10488,540,9378,540,10335,490,10060,830,19082,800,18438,630,13933,500,14194,1370,37900,680,27490,500,47748,6340,199179
39,Moving expenses,Frais de déménagement,2011, 105380,428947,3100,3238,5440,5731,7200,8247,7780,10853,8090,13333,8250,16739,7430,17392,6740,18535,6190,18441,5610,20811,5120,21244,4440,20711,7360,38631,5600,37371,4360,33931,3200,26658,6600,70541,2190,32937,680,13602,39550,295627
40,Support payments made,Pension alimentaire payée,2011, 74980,1062770,510,3121,480,1490,890,2779,1300,4551,1780,6693,2230,9776,2810,14088,3190,16983,3390,19576,3300,20433,3450,22797,3410,23479,6320,49636,5990,51751,5300,52131,4630,51130,12670,188754,7390,189445,5940,334156,55110,963279
41,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2011, 2461290,4758417,32400,38088,32920,28451,61200,44767,116380,66682,142800,91113,134400,102926,144240,117210,148710,128819,154120,142676,137830,145568,125730,144677,113380,139685,201600,272889,164780,263868,133370,232651,106890,205409,262390,658782,140890,582191,107240,1351963,1356280,3852116
42,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autre,2011, 1579910,1226213,30630,2110,196060,34230,252500,86015,192740,95996,151090,96173,121840,93206,100100,85638,86730,81077,77330,78174,62250,67850,44860,57782,33360,46988,48540,73645,33110,53232,24630,41104,18010,31037,47350,85964,32170,62218,26630,53773,308650,505743
43,Deductions for provincial parental insurance plan (PPIP) premiums on self-emplo,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un tra,2011, 420940,32620,15010,235,43550,1155,64330,2563,52560,2691,41010,2518,32370,2279,25680,1931,21410,1671,18120,1459,14880,1300,12530,1196,10830,1088,15930,1863,9100,1392,6500,1103,4740,860,12770,2638,10420,2440,9210,2238,92030,14817
44,Exploration and development expenses,Frais d'exploration et d'aménagement,2011, 86470,1619111,5920,16488,460,1959,460,1732,620,1828,870,2725,1050,2584,1240,3495,1470,4193,1840,6033,2010,7888,2110,9151,2110,10205,4410,24612,4430,28265,4250,31169,3890,33635,14290,153264,13880,222561,21180,1057323,70540,1570185
45,Other employment expenses,Autres dépenses d'emploi,2011, 835940,4296199,3570,8755,5670,10277,11000,22605,19080,42556,27530,74134,35010,96828,40830,126484,45480,159247,49270,172419,50860,192265,50840,207824,48330,209862,85300,400442,70130,351557,57280,293226,47330,249735,113920,755239,49990,491373,24540,431370,547640,3390629
46,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2011, 28140,359957,60,153,190,599,320,1523,570,2943,960,5941,1510,10682,2140,16715,2310,20135,2480,24646,2550,28697,2440,30704,2430,34774,3930,62687,2490,43603,1470,27284,820,16558,1210,25580,220,5634,50,1098,15050,247922
47,Other deductions,Autres déductions,2011, 795290,1993911,30630,18414,33180,18379,52630,31301,71400,42955,76880,46497,72140,47677,68310,49549,61320,48410,52340,44499,42080,42370,33640,40141,27730,37836,41700,69943,29150,63787,20780,59367,15120,55364,33730,226543,17470,297340,15070,753540,234380,1603861
48,Total deductions before adjustments,Total des déductions avant rajustements,2011, 14189640,85428891,281640,188447,487510,271226,649190,518610,724290,815439,821560,1287785,863640,1855429,944960,2510529,1008770,3247813,995870,3800126,907020,4223147,812940,4431317,717600,4407668,1192320,8318802,950790,7745610,709070,6695997,530730,5831353,1017210,14004669,380620,7752544,193900,7522380,6505170,66710341
49,Social benefits repayment,Remboursement des prestations de programmes sociaux,2011, 499600,1303701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17970,8358,72480,62875,99500,102835,72380,127923,50180,122654,110340,444327,46850,261837,29900,172868,499590,1303690
50,Net income after adjustments,Revenu net après rajustements,2011, 25985360,1036508060,2388070,4052126,1968950,14775508,2491400,30533322,2526990,43250842,1957850,42526273,1634350,43042604,1575780,48679314,1492490,52668073,1384500,54931379,1160290,50820037,1000500,48033590,855750,44734075,1393840,81922121,1064650,71729933,780630,59356401,574380,48393329,1107780,117144498,414780,68920842,212370,110993795,7404680,651228583
51,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2011, 9250,238523,10,5,20,23,40,78,30,48,30,42,30,54,40,204,50,470,120,2272,390,8382,510,11429,1050,26090,2490,63303,1580,40290,930,26564,580,17149,1170,36089,150,5116,40,916,8490,226944
52,Employee home relocation loan deduction,Déduction pour prêts à la réinstallation d'employés,2011, 1520,276,0,0,10,0,0,0,10,0,10,1,10,1,20,1,20,1,20,2,10,1,20,3,30,11,40,6,60,8,90,14,100,14,430,78,390,83,240,51,1390,267
53,Security options deductions,Déductions pour options d'achat de titres,2011, 51490,2646491,100,605,150,184,220,235,320,494,400,633,440,711,470,910,650,1239,680,1305,740,1579,850,2224,940,2509,2010,5575,2010,6582,2060,8077,2070,9074,10150,65865,11870,167054,15370,2371638,47320,2638597
54,Other payments deductions,Déduction pour autres paiements,2011, 3823400,24952201,145460,355145,536460,3103789,966460,7437557,1063800,6587682,454350,2230990,170630,1118417,112600,821179,84450,666084,63580,537944,49170,450291,37410,331841,29420,264650,40090,348964,24470,210722,16060,136592,10240,90119,14820,171002,3060,65755,900,23479,176450,1643124
55,Limited partnership losses of other years,Pertes comme commanditaire d'autres années,2011, 2000,28963,10,21,0,0,0,0,10,13,20,18,30,132,30,81,30,158,50,223,40,126,60,329,60,299,130,822,120,1055,110,777,120,737,390,3681,310,2790,490,17696,1780,28187
56,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2011, 33510,348034,1680,3417,750,2608,3450,6345,4580,14613,4260,18532,3510,19668,2800,18459,2200,17313,1790,14864,1400,13734,1070,10763,850,9474,1370,16873,890,12606,570,9672,410,8089,1000,25194,530,22791,400,103020,7100,218482
57,Net capital losses of other years,Pertes en capital nettes d'autres années,2011, 555880,1550633,3570,3026,3710,4376,8460,8298,15400,14709,24460,22831,25780,27925,29690,34527,31230,38011,34770,42678,30960,43996,28450,44631,26260,44022,48720,88130,40030,82323,32860,71709,26160,65299,70490,223531,41700,212202,33190,478410,347870,1310257
58,Capital gains deduction,Déduction pour gains en capital,2011, 60850,4039391,440,2370,360,1167,740,1777,1220,3883,1590,6390,1730,9082,2030,14741,2160,18408,2270,22743,2230,27580,2280,33144,2140,36476,4680,107033,3740,95800,3140,95592,2610,90295,8730,426767,7980,732420,10780,2313722,46080,3931250
59,Northern residents deductions,Déductions pour les habitants de régions éloignées,2011, 253550,867547,2330,1197,3190,4574,6960,14127,11540,28679,13120,35174,13210,36876,13360,39432,12560,37526,12430,38040,11750,37296,11050,36580,10380,35541,19960,70900,18280,67881,16820,65441,14650,59751,38990,170097,18970,74170,4000,14264,153110,594626
60,Additional deductions,Déductions supplémentaires,2011, 207980,1184462,8910,24041,10820,56292,19610,104024,33060,129912,30560,110463,19160,83000,16080,77106,13060,64635,10730,56608,7810,47197,5760,32338,4670,27083,7480,44137,4890,35944,3350,25850,2330,22414,5320,86479,2780,89539,1600,67401,38190,431185
61,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2011, 14080,136778,240,1447,180,1123,870,2104,1140,7158,1250,5892,1090,6620,1010,7263,910,7433,810,6077,650,5416,610,5620,510,5124,950,10413,720,7078,570,5678,480,5342,1070,15347,610,12562,400,19082,5920,86246
62,Total deductions from net income,Total des déductions du revenu net,2011, 4871710,35993300,161600,391273,552370,3174136,994940,7574549,1100860,6787192,506900,2430965,226040,1302485,171320,1013902,141810,851280,122560,722756,101270,635597,84810,508902,73540,451279,122770,756157,93140,560290,73660,445966,57410,368283,145320,1224130,81730,1384481,59680,5409677,792050,11109165
63,Taxable income assessed,Revenu imposable établi,2011, 25304630,1000625545,2310890,3690570,1715480,11613728,2224180,22970598,2485140,36481102,1937790,40099986,1626920,41745881,1571340,47667652,1489430,51818866,1382670,54210086,1158940,50185791,1000030,47526450,855410,44283962,1393390,81167960,1064340,71171795,780430,58911737,574220,48026532,1107330,115924601,414470,67541529,212250,105586721,7401860,640141286
64,Basic personal amount,Montant personnel de base,2011, 26277110,275178479,2696070,27525555,1967470,20495160,2489650,26088854,2525500,26516767,1956660,20554596,1633330,17165475,1574980,16559484,1491750,15688435,1383910,14557328,1159700,12199857,999980,10520445,855330,8999055,1393190,14658159,1064070,11196097,780130,8208449,574040,6039795,1106450,11638552,413680,4348408,211250,2218008,7398100,77826968
65,Age amount,Montant en raison de l'âge,2011, 4837090,28554314,107360,673657,170800,1105297,561290,3663373,1096860,7167655,649450,4244196,421180,2752454,378760,2460903,313960,1905387,282380,1551027,198580,992820,153710,684700,124170,477566,198220,552727,111040,199381,37210,66101,16260,25973,13680,23164,1490,5487,720,2448,656480,2037546
66,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2011, 2088680,14788074,127220,1090158,111110,775491,164520,1135505,206160,1307146,188930,1224217,145060,961248,126250,857890,111780,774336,97330,683070,84700,597999,75620,536831,67210,480048,115830,833960,96810,706283,77560,571302,61230,454946,139940,1067639,59670,471009,31760,258996,725620,5381015
67,Amount for eligible dependant,Montant pour personne à charge admissible,2011, 963540,9611161,72760,729456,82950,839195,115140,1173948,96760,978020,80260,803981,69610,694593,65360,650626,60820,602623,51050,503855,42750,421204,35610,350475,29120,285727,45630,447168,34820,340871,24750,242391,17480,170840,27350,266268,8070,78336,3260,31585,226090,2213661
68,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2011, 3762940,13826834,189210,717147,155160,550693,216880,790643,214010,790181,207940,757663,203000,731505,210690,753338,215310,765974,205690,734388,191390,684713,177780,638944,162610,587012,287230,1048689,249660,920482,201080,750331,159600,603075,321550,1229596,127300,499512,66870,272948,1753670,6550589
69,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2011, 12970,44538,250,920,290,1141,450,1695,700,2458,960,3284,920,3098,960,3130,970,3239,850,2870,820,2771,760,2573,610,2058,1020,3412,820,2825,640,2104,450,1511,940,3325,390,1383,200,743,5800,19934
70,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2011, 14875540,21594706,270910,44486,793320,136565,980470,343401,1003900,550879,1024280,786807,1003860,992633,1022080,1261068,1024200,1520542,957630,1641986,852290,1659060,756200,1557603,661850,1387017,1093660,2322831,880480,1891086,661070,1425445,496300,1074859,928740,2006387,320170,686514,144130,305539,5942590,12657280
71,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2011, 1579910,1226213,30630,2110,196060,34230,252500,86015,192740,95996,151090,96173,121840,93206,100100,85638,86730,81077,77330,78174,62250,67850,44860,57782,33360,46988,48540,73645,33110,53232,24630,41104,18010,31037,47350,85964,32170,62218,26630,53773,308650,505743
72,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2011, 14894710,7586608,515800,57403,895540,102689,985990,173602,992610,239730,1010170,316702,993600,383627,1009400,469902,1011430,554378,946490,592577,841050,570064,744820,518260,655040,462232,1074350,768955,859850,624677,639440,472374,478010,356355,861970,642125,273140,203217,106030,77739,5692640,4125934
73,Employment Insurance premiums on self-employment and other eligible earnings,Cotisations à l'assurance-emploi pour le revenu d'un travail indépendant et pour d'autres revenus ad,2011, 4650,1569,150,8,440,43,640,99,640,136,540,148,450,148,360,147,270,120,230,120,200,122,140,93,120,72,180,112,100,70,70,46,30,23,70,44,20,14,0,0,740,480
74,PPIP premiums paid,Cotisations au RPAP,2011, 3707430,669765,123230,3874,218610,7777,252260,13766,264540,20070,276850,27334,282840,34591,300060,44592,298600,52370,257140,50761,220260,49240,190000,47334,161040,44079,253060,77250,194670,62712,117130,37901,79620,25960,148150,48393,46830,14910,22550,6853,1213050,365390
75,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2011, 110410,21002,2570,61,5430,144,6570,265,6210,353,5760,435,5510,515,5460,638,5580,790,5840,969,6050,1178,6170,1350,6170,1502,10500,2895,8150,2410,6430,1930,4990,1542,9630,2987,2660,828,740,209,55440,15653
76,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2011, 426730,42049,15190,305,43930,1488,64880,3299,53170,3466,41560,3241,32910,2936,26150,2488,21840,2155,18520,1883,15210,1676,12860,1541,11120,1403,16290,2403,9200,1796,6550,1423,4770,1109,12840,3400,10490,3150,9250,2886,93360,19111
77,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2011, 39020,117049,810,2416,770,2322,1080,3237,1580,4745,1890,5670,2310,6936,2750,8256,2990,8979,3050,9139,2950,8853,2680,8031,2370,7122,4020,12069,3030,9093,2110,6315,1610,4830,2540,7605,410,1242,60,189,18830,56496
78,Canada employment amount,Montant canadien pour emploi,2011, 17304960,17771730,867210,794339,1055340,1085687,1151840,1187168,1132260,1170361,1155270,1185864,1132870,1159074,1159220,1180681,1158030,1180329,1086340,1107667,953890,979608,838210,865475,729300,755967,1197870,1246412,947640,992475,704860,740251,525650,553281,992670,1044576,350730,368588,165760,173928,6452680,6740951
79,Public transit amount,Montant pour le transport en commun,2011, 1642250,1297549,90810,39543,106380,50434,131840,69172,130300,80071,124750,88702,113230,87516,106910,87826,102740,87734,93510,83341,82840,75688,73440,68446,64310,60799,104440,100671,82370,79801,61160,60706,45870,46152,88780,91198,28030,28435,10560,11313,558950,547521
80,Children's fitness amount,Montant pour la condition physique des enfants,2011, 1588470,853993,21320,9380,19400,8197,31380,13485,42250,18494,52350,22931,61730,27146,72810,32114,83010,37122,86000,39746,86200,40923,84960,41390,81430,40514,152050,78689,143490,78283,122310,70426,102870,62722,210680,134668,87210,61371,47020,36392,1032020,604455
