,Grand total #/Total global #,Grand total $/Total global $,Loss and nil #/Perte et néant # ,Loss and nil $/Perte et néant $,1 - 4999 #,1 - 4999 $,5000 - 9999 #,5000 - 9999 $,10000 - 14999 # ,10000 - 14999 $,15000 - 19999 #,15000 - 19999 $,20000 - 24999 #,20000 - 24999 $,25000 - 29999 #,25000 - 29999 $,30000 - 34999 #,30000 - 34999 $,35000 - 39999 #,35000 - 39999 $40000 - 44999 #,40000 - 44999 #,40000 - 44999 $,45000 - 49999 #,45000 - 49999 $,50000 - 54999 #,50000 - 54999 $,55000 - 59999 #,55000 - 59999 $,60000 - 69999 #,60000 - 69999 $,70000 - 79999 #,70000 - 79999 $,80000 - 89999 #,80000 - 89999 $,90000 - 99999 #,90000 - 99999 $,100000 - 149999 #,100000 - 149999 $,150000 - 249999 #,150000 - 249999 $,250000 and over #/250 000 et plus #,250000 and over $/250 000 et plus $,CODE1,iteme,itemf,CODE2,item_e
21,1963610,23828395,49710,-896832,125400,169161,216680,1095269,258290,2058329,209080,2050127,166330,1889849,133890,1693360,113930,1494033,99710,1336997,88580,1228620,72390,1038353,60890,916480,51590,804432,81710,1378867,59620,1071150,43920,864323,30110,668132,62490,1949741,25010,1278977,14280,1739027,B,Net business income,Revenus nets d'entreprise,22,Net business income
22,319240,20173415,3300,-37190,10540,14711,17230,82719,20670,155029,18160,172805,15720,180991,14030,188915,12820,187681,12130,193023,11870,203022,10870,206378,9940,203918,9460,208528,17470,431675,15280,437187,12960,439708,10690,441610,34910,2223813,31070,4035109,30130,10203785,B,Net professional income,Revenus nets de profession libérale,23,Net professional income
23,200840,3677419,4300,-27874,12450,12304,17950,70212,20440,123731,18330,140099,15630,143621,13240,145243,12070,145257,10840,145235,9800,148187,8140,137439,7160,136622,6130,130910,10040,250264,7550,223716,5790,208549,4210,170590,10140,594658,4710,447802,1930,330856,B,Net commission income,Revenus nets de commissions,24,Net commission income
24,367590,1645308,13570,-369361,14050,-56879,24950,27909,36320,94409,32920,81538,28020,94165,24050,93531,23070,111632,20980,105967,20660,140150,16230,90351,13790,80896,11770,74303,20080,138156,14920,111548,11370,96522,7860,74030,18460,237108,8570,197121,5960,222212,B,Net farming income,Revenus nets d'agriculture,25,Net farming income
25,29840,322387,310,-10502,870,-1606,1470,-180,2770,4043,3740,14578,4200,25923,3700,30182,2900,32718,2370,34164,1780,29840,1260,23600,910,17764,730,17025,960,25357,560,15861,370,11975,220,7371,460,19332,170,12515,90,12425,B,Net fishing income,Revenus nets de pêche,26,Net fishing income
26,636380,5437791,620,3711,8590,16821,19820,66567,40590,200825,61370,370977,73480,568236,71560,634567,67470,623747,60070,574135,49410,484980,40560,411206,31160,298198,24710,236764,33290,318516,19900,185201,12700,117484,7520,78475,10610,152686,2320,64037,660,30658,B,Workers' compensation benefits,Indemnités pour accidents du travail,27,Workers' compensation benefits
27,1508820,10024217,700,1909,116700,300218,418640,2655249,519360,4367440,251570,1451670,110050,700008,41240,261867,19850,116113,10960,63275,6400,35633,3980,23280,2530,13958,1710,8951,1950,9371,1040,5221,650,3096,380,1780,710,3182,250,1140,160,854,B,Social assistance payments,Prestations d'assistance sociale,28,Social assistance payments
28,1845780,8115507,1730,7237,33990,57639,129380,386551,490180,2865484,800460,3781883,271490,675190,60080,179370,25860,73098,13250,35106,6380,16731,3420,9760,2120,5917,1540,4511,2020,5765,1020,3011,630,1679,460,1295,990,2882,490,1421,310,978,B,Net federal supplements,Versement net des suppléments fédéraux,29,Net federal supplements
29,25526020,1041133791,79970,-1149345,2429430,4353161,2063200,15704348,2554810,31808871,2501120,43573575,1937420,43349526,1664400,45716592,1609180,52242144,1505260,56350861,1354920,57429267,1130140,53590072,966630,50676696,813790,46727316,1306010,84555182,966540,72184091,710130,60176969,474670,44915735,925250,109805814,350200,65021114,182960,104101802,C,Total income assessed,Revenu total établi,30,Total income assessed
30,4613410,14936813,1100,1659,20190,5911,38170,11017,60500,27083,92670,53421,135290,102916,190440,186368,274000,347311,346650,545624,362620,695930,360360,815532,348750,915352,317470,949536,544360,1932845,451930,1968351,358900,1943566,228590,1311976,362080,2220675,91460,645173,27900,256569,D,Registered pension plan contributions,Cotisations à un RPA,31,Registered pension plan contributions
31,6171340,33335823,2470,4915,25050,26147,36040,44462,86750,108030,158140,244943,228490,410569,299490,609299,380290,860043,443000,1127732,459640,1328266,443130,1471496,413270,1532310,369240,1489051,633470,2908367,521900,2769310,409080,2516605,292260,2173389,606800,6630780,239520,4244122,123320,2835985,D,Registered Retirement Savings Plan deduction,Cotisations à un REER,32,Registered Retirement Savings Plan deduction
32,10630,5810,30,16,260,128,360,184,610,321,700,364,760,404,860,461,820,442,950,519,820,450,690,385,600,337,450,251,770,433,590,335,420,239,260,150,470,272,160,89,50,29,D,Saskatchewan Pension Plan deduction,Déduction pour le Régime de pensions de la Saskatchewan,33,Saskatchewan Pension Plan deduction
33,1008940,10223327,50,232,440,505,1510,2122,4160,5961,15770,26941,58700,154023,82680,354009,95250,509159,104320,658986,102350,786476,91800,890150,77320,902664,62620,837479,90360,1312031,60050,886519,39150,605258,26930,447643,58590,1095105,25960,508177,10930,239886,D,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,34,Deduction for elected split-pension amount
34,5616720,3585411,3610,9157,128210,13095,198350,29448,222950,41878,236620,54545,270040,76098,314340,107174,372740,154255,417610,204214,410090,226771,388280,244150,364360,256994,326270,252584,549960,476742,447190,432239,340230,355655,208000,218983,316500,329902,77320,78074,24070,23453,D,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",35,"Annual union, professional, or like dues"
35,10740,6483,120,110,2720,1859,1740,938,1910,1029,1160,631,690,359,490,266,420,247,300,212,220,151,190,102,170,128,110,86,180,124,130,73,100,73,40,25,70,61,10,6,10,1,D,Universal Child Care Benefit repayment,Remboursement de la prestation universelle pour la garde d'enfants (PUGE),36,Universal Child Care Benefit repayment
36,1221640,3967624,1600,2621,33760,26622,52750,77201,74100,136780,91510,201239,101610,256242,109030,303080,111940,341799,105980,347965,91760,322093,77670,289995,65300,254699,53350,216676,80270,343524,56250,253046,38780,187553,22790,114677,37300,196618,11600,68724,4300,26472,D,Child care expenses,Frais de garde d'enfants,37,Child care expenses
37,1400,6814,0,0,30,33,50,95,90,174,110,315,130,438,110,309,100,367,100,419,80,263,80,322,50,194,50,203,90,431,50,311,70,430,40,185,90,908,30,395,30,1023,D,Disability supports deductions,Déductions pour produits et services de soutien aux personnes handicapées,38,Disability supports deductions
38,12060,326529,90,2389,280,7304,260,6458,340,7624,430,10107,570,10167,580,11281,650,13855,630,9529,690,13448,610,11707,590,10356,530,10659,960,18274,820,18169,670,14360,530,13453,1400,40824,830,33267,620,63298,D,Business investment loss,Perte au titre d'un placement d'entreprise,39,Business investment loss
39,110080,430792,180,451,3840,3202,6970,6352,8460,9411,9040,13293,9090,16327,9010,20058,7830,20134,7180,21048,6440,22238,5620,21943,4990,22734,4470,22335,7170,41263,5250,37508,3870,31361,2750,25153,5380,57974,1940,26612,600,11396,D,Moving expenses,Frais de déménagement,40,Moving expenses
40,89480,1037257,180,1312,580,1694,800,2103,1410,3884,1950,5834,2760,9443,3480,13726,4210,17919,4730,22308,4870,24414,4850,26562,4790,29155,4330,27263,8000,56633,7080,58463,6030,57044,4860,52548,12410,183085,6890,169092,5300,274774,D,Support payments made,Pension alimentaire payée,41,Support payments made
41,2568100,4079714,4220,13984,32370,22081,39910,29511,73630,45907,136210,81267,157480,88801,151670,100952,161480,110408,165240,124487,165610,135080,146610,132176,133020,129354,118440,121697,207240,239713,166010,222812,134400,193115,101390,164690,247460,527445,129310,467563,96400,1128672,D,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,42,Carrying charges and interest expenses
42,1538130,1187028,860,378,32130,2374,194100,33916,247270,85395,191320,97173,148820,96596,118250,91848,97620,85267,83960,79815,73930,76583,56240,64834,40650,53058,30880,43159,45560,67843,31170,48943,23090,37383,16790,28053,45940,80835,32320,60603,27240,52972,D,Deductions for CPP/QPP contributions on self-employment/other earnings,Déd. pour cotisations au RPC/RRQ pour revenu d'un travail indép./autres revenus,43,Deductions for CPP/QPP contributions on self-employment/other earnings
43,395550,27718,350,15,14410,200,43940,1070,62500,2292,51770,2456,38630,2161,29030,1810,22870,1501,19000,1327,16060,1213,13330,1084,11100,981,9420,905,13350,1532,7940,1133,5720,890,4140,692,12140,2277,10580,2199,9270,1981,D,Deduction for PPIP premiums on self-employment income,Déduction pour cotisations au RPAP pour le revenu d'un travail indépendant,44,Deduction for PPIP premiums on self-employment income
44,82380,1123574,140,1202,480,745,380,787,530,986,900,1251,1340,1823,1580,2921,1800,4514,2060,4378,2490,5369,2440,6581,2640,7958,2620,8698,5200,19381,4860,21631,4480,23691,3810,21678,13800,105020,12910,152888,17940,732071,D,Exploration and development expenses,Frais d'exploration et d'aménagement,45,Exploration and development expenses
45,836320,4015578,470,2265,3000,4328,6100,9433,12170,21575,21470,44508,30290,72858,38950,102671,46080,134646,50970,161306,54520,187330,54750,204860,52990,211261,49970,211530,86920,395903,68470,330886,55500,275459,43010,232186,98570,669645,42280,409949,19870,332977,D,Other employment expenses,Autres dépenses d'emploi,46,Other employment expenses
46,28580,352059,10,66,70,117,170,541,340,1538,680,3389,1040,6483,1800,12406,2370,18560,2400,21169,2690,26913,2630,29588,2680,33820,2410,34270,3730,59081,2290,40124,1270,23282,770,14498,1010,20730,180,4607,30,876,D,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,47,Clergy residence deduction
47,860360,1842743,2860,18728,30560,14360,37030,19661,60320,33027,80910,45387,86320,53213,82640,57038,76340,57855,66900,57668,55660,51216,43950,47495,35130,45066,28220,39571,42620,71609,29710,62364,21090,56219,14860,54203,32920,208816,17830,265918,14510,583331,D,Other deductions,Autres déductions,48,Other deductions
48,14014800,80491096,14800,59499,280150,130704,515780,275298,680980,532894,778280,887065,868220,1358922,924130,1975675,1011860,2678282,1054480,3388706,1012310,3904205,906310,4258962,805750,4406422,696640,4265951,1141780,7945730,876090,7152218,655750,6322181,441180,4874180,857900,12370974,324070,7137462,168350,6565767,D,Total deductions before adjustments,Total des déductions avant rajustements,49,Total deductions before adjustments
49,426910,1060172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6340,1528,28310,19437,77910,73309,84630,97850,56240,105651,36680,96438,78500,336514,35560,197238,22730,132207,E,Social benefits repayment,Remboursement des prestations de programmes sociaux,50,Social benefits repayment
50,25416510,961034413,0,0,2406870,4264583,2060920,15443416,2553640,31288357,2500450,42709833,1936920,41997735,1664030,43749606,1608870,49575116,1505020,52969191,1354720,53531124,1129980,49335422,966500,46273689,813700,42445407,1305840,76543130,966400,64941294,710040,53752639,474600,39948440,925050,97110366,350080,57704147,182890,97450915,F,Net income after adjustments,Revenu net après rajustement,51,Net income after adjustments
51,12650,260346,0,0,10,9,10,8,30,27,20,42,40,199,50,369,70,803,120,1477,330,4196,450,6400,1150,20012,1350,24668,3230,62212,2190,48100,1360,31827,830,21399,1220,33950,150,4068,30,579,G,Canadian Forces personnel and police deduction,"Déduction pour le personnel des Forces canadiennes, des forces policières",52,Canadian Forces personnel and police deduction
52,1750,456,0,0,10,0,10,1,10,3,10,1,10,1,10,0,10,1,20,2,20,2,20,3,20,30,20,3,90,22,90,19,120,24,140,33,550,140,400,120,210,50,G,Employee home relocation loan deduction,Déduction pour prêts à la réinstallation d'employés,53,Employee home relocation loan deduction
53,34310,1546229,0,0,70,682,90,127,160,254,170,322,220,366,250,560,370,660,520,824,600,1027,670,1163,650,1250,760,1524,1570,3616,1630,4582,1610,4768,1700,6639,7140,44127,7120,100998,9020,1372631,G,Security options deductions,Déductions pour options d'achat de titres,54,Security options deductions
54,3710200,23574432,2760,12857,157230,374679,553770,3108369,990400,7433756,986080,5604545,404000,1943445,159240,1075807,108210,812959,81760,672516,60830,537423,47080,444246,35300,318073,27600,250227,36810,333652,21740,193396,13830,122163,8230,81434,11830,157710,2650,65493,860,31682,G,Other payments deductions,Déduction pour autres paiements,55,Other payments deductions
55,2340,54721,0,0,10,5,10,7,10,8,20,7,30,23,20,19,30,33,50,71,60,130,60,128,70,173,70,113,140,288,140,247,130,146,110,245,400,1157,360,2077,650,49821,G,Limited partnership losses of other years,Pertes comme commanditaire d'autres années,56,Limited partnership losses of other years
56,33630,332440,480,4641,1790,5070,1190,4954,4270,10257,4970,17093,4210,19969,3320,18957,2630,18559,1960,15352,1560,14282,1290,12648,930,9970,770,8733,1110,14202,710,9578,520,9173,320,6294,810,20784,430,19598,380,92323,G,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,57,Non-capital losses of other years
57,272780,996514,30,108,1970,1595,2320,3920,4800,6433,7980,10327,11520,15005,12130,17269,13910,19996,14600,22635,16010,25263,14490,25269,13520,26994,12580,27197,23290,53341,19330,47750,15670,42860,12830,41109,35620,146579,21940,141966,18270,320897,G,Net capital losses of other years,Pertes en capital nettes d'autres années,58,Net capital losses of other years
58,56150,3312170,40,776,370,531,390,1018,870,2083,1260,4110,1550,6692,1910,11356,2110,15797,2160,19894,2260,23365,2280,29259,2250,33025,2160,37211,4440,97176,3440,87184,2940,91717,2410,86939,7640,374626,6980,646613,8720,1742798,G,Capital gains deduction,Déduction pour gains en capital,59,Capital gains deduction
59,247710,845110,20,15,2380,1191,3470,4837,7840,15848,13080,32850,14600,38714,14760,41390,14060,41556,13580,41366,13310,41402,12150,39649,11590,39240,11040,38487,19990,71966,18410,69839,16340,66781,13000,56878,31320,137435,14220,56255,2580,9412,G,Northern residents deductions,Déductions pour les habitants de régions éloignées,60,Northern residents deductions
60,194440,1055470,140,539,4840,14138,6620,21659,16620,63508,29880,100765,30890,100480,20420,82127,16910,75013,13470,64634,11140,54141,7790,43604,5700,27754,4750,27860,7210,42384,4600,30853,3180,24199,2140,19990,4550,76564,2340,86113,1260,99146,G,Additional deductions,Déductions supplémentaires,61,Additional deductions
61,12530,106386,100,940,170,639,180,754,900,2037,1140,3744,1130,5653,1090,6456,860,5982,820,6261,740,5442,580,4660,520,4341,500,4873,820,7668,550,5554,460,4548,350,3536,870,11430,440,9156,290,12709,G,Farming/fishing losses of prior years,"Pertes provenant de la pêche, pertes agricoles d'autres années",62,Farming/fishing losses of prior years
62,4468740,32135265,3500,20006,167900,399023,564840,3147154,1013390,7536217,1018700,5775634,447350,2132720,205590,1256028,154160,993302,125070,846787,103720,707907,84270,608481,69580,482577,59640,422013,95480,688558,70480,499159,54380,399993,40580,325974,97960,1011293,53540,1140839,38630,3741600,G,Total deductions from net income,Total des déductions du revenu net,63,Total deductions from net income
63,24776550,929005489,0,0,2329330,3882157,1820410,12305693,2307390,23766899,2462930,36945807,1918840,39869031,1656880,42496283,1604550,48584282,1502060,52124799,1352970,52824635,1128760,48728323,966090,45792177,813340,42024507,1305440,75856037,966120,64443643,709820,53353713,474440,39623697,924620,96103402,349800,56567503,182780,93712901,H,Taxable income assessed,Revenu imposable établi,64,Taxable income assessed
64,25724480,263923957,316490,3236528,2411600,24042785,2059410,20996266,2552140,26193349,2499230,25706182,1935870,19926003,1663250,17130549,1608190,16573163,1504430,15509161,1354310,13965285,1129510,11648630,966140,9964117,813410,8389757,1305300,13463959,965990,9964543,709700,7320732,474280,4891869,924060,9529142,349180,3598551,182000,1873384,I,Basic personal amount,Montant personnel de base,65,Basic personal amount
65,4559780,26536628,9550,60710,99710,606698,190760,1207748,605370,3871888,1029790,6595813,600280,3845111,407450,2609335,360960,2282714,291450,1702289,249250,1316803,173770,827621,133690,561961,106900,382945,165830,423804,83370,142287,26560,48095,11650,19595,10770,21008,1800,6932,870,3270,I,Age amount,Montant en raison de l'âge,66,Age amount
66,2081850,14330781,13420,120169,110410,910056,116170,785795,175910,1196240,215550,1319690,188440,1174838,148330,958328,130820,868568,115650,784381,99240,680037,86390,595739,76440,530272,67060,468692,114900,808957,93720,670964,74260,535424,55000,402623,121110,904580,51440,396179,27610,219249,I,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,67,Spouse or common-law partner amount
67,961920,9450550,4410,43767,66950,656240,81150,807746,116350,1169412,102300,1019455,85240,843484,73470,722667,68570,671552,62210,606729,51570,501672,42290,410110,34760,336842,28490,275134,43720,422212,31840,306670,23010,221779,13850,132983,22450,213809,6600,62658,2700,25628,I,Amount for eligible dependant,Montant pour personne à charge admissible,68,Amount for eligible dependant
68,3746580,13469918,16220,60494,172790,647137,158330,550100,225020,796240,228970,821080,223760,798292,221050,779300,229340,801621,229970,802615,215230,752179,196620,688961,181310,639138,162540,577172,283910,1018026,237460,861611,190650,701522,134030,496543,271940,1021695,108150,417502,59270,238690,I,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,69,Amount for children 17 and under
69,13070,43985,40,149,240,719,260,854,430,1525,760,2582,990,3287,1000,3319,1010,3236,1010,3332,900,2978,780,2505,760,2530,620,2078,1070,3629,740,2567,620,2096,420,1398,870,3203,370,1328,190,669,I,Amount for infirm dependents age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus ayant une déficience,70,Amount for infirm dependents age 18 or older
70,15192820,20412403,10330,4652,543160,65663,909050,182670,1056140,379082,1069620,588107,1065360,805668,1058020,1032505,1083610,1327329,1070070,1575904,976360,1661938,859960,1635647,756690,1494230,649720,1300178,1058750,2144544,819890,1679441,616040,1269539,413280,853282,781270,1608694,271090,552179,124410,251153,I,CPP or QPP contributions employment,Cotisations d'employé au RPC ou au RRQ,71,CPP or QPP contributions employment
71,1538130,1187028,860,378,32130,2374,194100,33916,247270,85395,191320,97173,148820,96596,118250,91848,97620,85267,83960,79815,73930,76583,56240,64834,40650,53058,30880,43159,45560,67843,31170,48943,23090,37383,16790,28053,45940,80835,32320,60603,27240,52972,I,CPP or QPP contributions self-employment,"Cotisations pour le revenu d'un travail indépendant, pour d'autres revenus",72,CPP or QPP contributions self-employment
72,14615180,6880480,7580,1702,537770,54243,948260,105102,1007020,170433,1021760,236981,1025130,306159,1027560,379310,1052320,473550,1038810,552557,948220,573758,833090,532791,733030,479422,631170,417717,1021740,684277,786380,534622,587540,405750,390330,270255,707640,489768,224420,154106,85430,57977,I,Employment Insurance premiums,Cotisations à l'assurance-emploi,73,Employment Insurance premiums
73,3623110,561015,1190,73,129140,3336,231690,7367,260490,12599,278440,18818,283840,24924,294960,32262,309050,41408,296200,46808,247800,44205,210750,42591,179130,40400,149530,37032,234470,63861,167900,47363,101830,28817,66980,19032,121010,34268,39400,10835,19310,5015,I,Provincial Parental Insurance Plan (PPIP) premiums paid,Cotisations au Régime provincial d'assurance parentale (RPAP),74,Provincial Parental Insurance Plan (PPIP) premiums paid
74,110090,17878,40,3,2630,50,5990,141,6740,239,6490,323,6010,401,5900,502,6150,650,6100,790,6010,915,6290,1103,6620,1325,6310,1392,10530,2593,7650,1962,5830,1537,4340,1165,7890,2103,1990,536,580,148,I,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,75,PPIP premiums payable on employment income
75,398130,35695,360,19,14600,260,44150,1377,62820,2952,52070,3164,38880,2784,29240,2331,23060,1933,19180,1710,16230,1562,13470,1397,11210,1264,9510,1165,13450,1972,7980,1459,5740,1145,4150,891,12170,2931,10590,2830,9270,2549,I,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,76,PPIP premiums payable on self-employment income
76,17003780,17129889,14260,12390,917120,825341,1123800,1132083,1181280,1191715,1164940,1179931,1172130,1180227,1167900,1172982,1200080,1202389,1181620,1185277,1078120,1083283,938700,949307,819710,832781,699850,713381,1134120,1160498,866710,891567,646100,666510,433330,447352,826820,853014,294620,303378,142600,146481,I,Canada employment amount,Montant canadien pour emploi,77,Canada employment amount
