Grand total/Total global #,Grand total/Total global $,Loss and nil/Perte et néant #,Loss and nil/Perte et néant $,1 - 4999 #,1 - 4999 $,item_e,item_f,prove,provf,code1,code2,taxyr
326640,19739045,3320,-39053,10870,14974,Net professional income,Revenus nets de profession libérale,,,B,23,2010
206790,4012261,3840,-25645,11990,12321,Net commission income,Revenus nets de commissions,,,B,24,2010
359460,1630264,11730,-312728,13360,-48684,Net farming income,Revenus nets d'agriculture,,,B,25,2010
29480,379856,230,-4075,770,-911,Net fishing income,Revenus nets de pêche,,,B,26,2010
630460,5359358,520,3210,8260,15713,Workers' compensation benefits,Indemnités pour accidents du travail,,,B,27,2010
1573530,10562872,640,1772,116100,299200,Social assistance payments,Prestations d'assistance sociale,,,B,28,2010
1852110,8255327,1560,6392,34600,59048,Net federal supplements,Versement net des suppléments fédéraux,,,B,29,2010
25777210,1070327627,75250,-964267,2421520,4236772,Total income assessed,Revenu total établi,,,B,30,2010
4647970,15767153,910,1184,18920,6000,Registered pension plan (RPP) contributions,Cotisations à un régime de pension agréé (RPA),,,C,31,2010
6141930,32028073,2370,4040,24550,26355,RRSP deduction,Cotisations à un REER,,,C,32,2010
1980,1046,0,0,60,27,Saskatchewan Pension Plan (SPP) deduction,Déduction pour le Régime de pensions de la Saskatchewan (RPS),,,C,33,2010
1070530,10889895,40,168,410,471,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,,,C,34,2010
5632390,3720556,3510,1346,120810,12724,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",,,C,35,2010
12720,7985,170,183,3100,2211,Universal Child Care Benefit repayment,Remboursement de la prestation universelle pour la garde d'enfants,,,C,36,2010
1240780,4190061,1490,2411,34320,28231,Child care expenses,Frais de garde d'enfants,,,C,37,2010
1260,7016,0,0,30,27,Disability supports deductions,Déductions pour produits et services de soutien aux personnes handicapées,,,C,38,2010
11260,326993,70,2792,280,8333,Business investment loss,Perte au titre d'un placement d'entreprise,,,C,39,2010
108900,432579,190,340,3470,3151,Moving expenses,Frais de déménagement,,,C,40,2010
78420,1039676,140,1269,430,1622,Support payments made,Pension alimentaire payée,,,C,41,2010
2482510,4367538,3790,15848,30350,20958,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,,,C,42,2010
1562830,1204478,720,301,30550,1999,Deductions for CPP or QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autre,,,C,43,2010
407250,29664,280,13,14650,212,Deduction for provincial parental insurance plan (PPIP) premiums on self-empl,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un tra,,,C,44,2010
84250,1652223,130,821,370,589,Exploration and development expenses,Frais d'exploration et d'aménagement,,,C,45,2010
831500,4144563,560,3604,3120,6664,Other employment expenses,Autres dépenses d'emploi,,,C,46,2010
28310,355100,0,0,70,130,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,,,C,47,2010
851900,1936964,2690,3059,27710,23576,Other deductions,Autres déductions,,,C,48,2010
14046830,82101564,13970,37411,267200,143281,Total deductions before adjustments,Total des déductions avant rajustements,,,C,49,2010
484840,1208671,0,0,0,0,Social benefits repayment,Remboursement des prestations de programmes sociaux,,,D,50,2010
25671130,988248390,0,0,2398040,4148022,Net income after adjustments,Revenu net après rajustement,,,D,51,2010
14390,289747,0,0,10,5,Canadian Forces personnel and police deduction,"Déduction pour le personnel des Forces canadiennes, des forces policières",,,E,52,2010
1540,361,0,0,0,0,Employee home relocation loan deduction,Déduction pour prêts à la réinstallation d'employés,,,E,53,2010
49970,2473133,0,0,90,237,Security options deductions,Déductions pour options d'achat de titres,,,E,54,2010
3769730,24174478,2500,11450,156850,374037,Other payments deductions,Déduction pour autres paiements,,,E,55,2010
1770,18417,0,0,0,0,Limited partnership losses of other years,Pertes comme commanditaire d'autres années,,,E,56,2010
36410,332026,590,3992,2150,6116,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,,,E,57,2010
539800,1809499,40,206,3560,2290,Net capital losses of other years,Pertes en capital nettes d'autres années,,,E,58,2010
58800,3623944,60,2000,350,416,Capital gains deduction,Déduction pour gains en capital,,,E,59,2010
250290,853077,10,8,2400,1238,Northern residents deductions,Déductions pour les habitants de régions éloignées,,,E,60,2010
203290,1237451,160,1055,5860,18307,Additional deductions,Déductions supplémentaires,,,E,61,2010
13260,123805,90,3365,160,640,Farming/fishing losses of prior years,"Pertes provenant de la pêche, pertes agricoles d'autres années",,,E,62,2010
4800620,34935938,3380,22576,170160,403297,Total deductions from net income,Total des déductions du revenu net,,,E,63,2010
24990310,953487250,0,0,2318520,3762970,Taxable income assessed,Revenu imposable établi,,,E,64,2010
25976080,268158724,315060,3241071,2401610,24056958,Basic personal amount,Montant personnel de base,,,F,65,2010
4673370,27299372,8310,53090,103870,642106,Age amount,Montant en raison de l'âge,,,F,66,2010
2097360,14570561,12990,117320,114170,945292,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,,,F,67,2010
974480,9592366,4380,43353,68940,680376,Amount for eligible dependant,Montant pour personne à charge admissible,,,F,68,2010
3762910,13608082,15840,57441,175110,652335,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,,,F,69,2010
13250,45434,50,241,230,782,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus ayant une déficience,,,F,70,2010
14605290,20643314,6010,3285,249210,39038,CPP or QPP contributions through employment,Cotisations demployé au RPC ou au RRQ,,,F,71,2010
1562830,1204478,720,301,30550,1999,CPP or QPP contributions self-employment and other eligible earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,,,F,72,2010
14665660,7047375,6620,1380,519000,54170,Employment Insurance premiums,Cotisations à l'assurance-emploi,,,F,73,2010
3340,1164,0,0,110,5,Employment Insurance premiums on self-employment and other eligible earnings,Cotisations à lassurance-emploi pour le revenu dun travail indépendant et pour dautres revenus ad,,,F,74,2010
3655750,603454,1130,75,125490,3557,PPIP premiums paid,Cotisations au RPAP,,,F,75,2010
109860,18901,30,2,2540,51,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,,,F,76,2010
411930,38313,280,17,14840,275,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,,,F,77,2010
17037990,17291382,12460,10973,867720,789196,Canada employment amount,Montant canadien pour emploi,,,F,78,2010
1578640,1212713,5900,2708,83090,34614,Public transit amount,Montant pour le transport en commun,,,F,79,2010
1576820,840976,2820,1411,19680,8468,Children's fitness amount,Montant pour la condition physique des enfants,,,F,80,2010
183470,833631,160,693,1500,6106,Home buyers' amount,Montant pour l'achat d'une habitation,,,F,81,2010
2910,19016,0,0,30,69,Adoption expenses,Frais d'adoption,,,F,82,2010
4417420,8402793,1850,3165,26470,35063,Pension income amount,Montant pour revenu de pension,,,F,83,2010
197260,854778,580,2467,3160,13001,Caregiver amount,Montant pour aidants naturels,,,F,84,2010
614280,4440238,2760,20535,26250,192398,Disability amount,Montant pour personnes handicapées,,,F,85,2010
204610,1934534,660,6360,4910,50829,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,,,F,86,2010
628130,302329,340,197,4490,1676,Interest paid on student loans,Intérêts payés sur des prêts étudiants,,,F,87,2010
1669920,7590275,0,0,670,659,"Tuition, education, and textbook amounts","Frais de scolarité, montant relatif aux études, montant pour manuels",,,F,88,2010
708330,3485185,90,271,610,1924,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études, manuels transférés d'un enfant",,,F,89,2010
1157120,5353236,15240,67057,143090,616765,Amounts transferred from spouse,Montants transférés d'un époux ou conjoint de fait,,,F,90,2010
4224060,9885811,11660,14928,88090,83488,Allowable portion of medical expenses,Montant admissible des frais médicaux,,,F,91,2010
25983990,63791765,315080,547257,2402890,4336680,Total tax credits on personal amounts,Crédits d'impôt nets alloués,,,F,92,2010
5940960,8909692,250,137,13240,3560,Allowable charitable donations and government gifts,"Dons de bienfaisance, dons aux gouvernements admissibles",,,G,93,2010
6210,51709,0,0,70,35,"Eligible cultural, ecological gifts",Montants admissibles des dons de biens culturels ou écosensibles,,,G,94,2010
5894670,2459817,20,2,12170,634,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,,,G,95,2010
25984610,66251582,315080,547259,2402970,4337314,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,,,G,96,2010
3492820,7072377,610,0,9460,32,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,,,H,97,2010
8000,77241,0,0,0,0,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,,,H,98,2010
36160,105828,0,0,0,0,Minimum tax carryover,Report d'impôt minimum,,,H,99,2010
16207240,110847125,120,996,16740,8910,Basic federal tax,impôt fédéral de base,,,H,100,2010
1056460,769583,0,0,130,37,Federal foreign tax credit,Crédit fédéral pour impôt étranger,,,H,101,2010
142560,22457,0,0,0,0,Federal political contribution tax  credit,Crédit d'impôt pour contributions politiques fédérales,,,H,102,2010
48520,110449,0,0,0,0,Investment tax credit,Crédit d'impôt à l'investissement,,,H,103,2010
305780,129722,0,0,20,1,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,,,H,104,2010
34060,172737,70,965,10,39,Alternative minimum tax payable,Impôt minimum de remplacement à payer,,,H,105,2010
16160020,109877247,110,997,16410,4242,Net federal tax,Impôt fédéral net,,,H,106,2010
1196740,1846141,500,380,23480,2741,CPP contributions payable on self-employment and other earnings,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,,,I,107,2010
3340,1164,0,0,110,5,Employment  Insurance premiums payable on self-employment and other eligible,Cotisations à lassurance-emploi à payer pour le revenu dun travail indépendant et pour d'autres re,,,I,108,2010
484840,1208671,0,0,0,0,Social benefits repayment,Remboursement des prestations de programmes sociaux,,,I,109,2010
12184490,46934975,60,284,9070,918,Net provincial or territorial tax,Impôt provincial ou territorial net,,,I,110,2010
17166850,159873023,600,1662,42460,7913,Total tax payable,Total à payer,,,I,111,2010
5000 - 9999 #,5000 - 9999 $,10000 - 14999 #,10000 - 14999 $,15000 - 19999 #,15000 - 19999 $,item_e,item_f,prove,provf,code1,code2,taxyr
190550,0,606270,0,1033480,0,Number of taxable returns,Nombre de déclarations imposables,,,A,1,2010
1853590,0,1975080,0,1481370,0,Number of non-taxable returns,Nombre de déclarations non imposables,,,A,2,2010
2044140,0,2581350,0,2514850,0,Total number of returns,Nombre total de déclarations,,,A,3,2010
1057580,6467282,1147060,11026293,1119680,15247250,Employment income,Revenus d'emploi,,,B,4,2010
22020,19299,29400,45369,30840,76502,Commissions (from employment),Commissions (d'emploi),,,B,5,2010
87210,292031,99020,366534,99810,367790,Other employment income,Autres revenus d'emploi,,,B,6,2010
155220,722301,583020,2921652,1022390,5974991,Old Age Security pension,Pension de la sécurité de la vieillesse,,,B,7,2010
320690,1186006,703760,2916097,1119290,6243911,Canada Pension Plan (CPP) or Quebec Pension Plan (QPP) benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),,,B,8,2010
44340,119618,129910,394300,410420,1446981,Other pensions or superannuation,Autres pensions et pensions de retraite,,,B,9,2010
30690,127055,85020,520914,149290,1075019,Elected split-pension amount,Choix du montant de pension fractionné,,,B,10,2010
161550,246544,180390,268739,145770,217011,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),,,B,11,2010
121320,525744,249980,1423949,328790,2232814,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,,,B,12,2010
84710,77342,147820,155419,215930,281252,Taxable amount of dividends,Montant imposable des dividendes,,,B,13,2010
261370,250956,413690,433586,609030,767352,Interest and other investment income,Intérêts et autres revenus de placements,,,B,14,2010
2180,518,2830,857,4300,1182,Net partnership income,Revenus nets de société de personnes,,,B,15,2010
30,6,60,21,10,18,Registered disability savings plan (RDSP) income,Revenus dun régime enregistré dépargne-invalidité (REEI),,,B,16,2010
52080,94341,73780,153069,91130,183141,Net rental income,Revenus nets de location,,,B,17,2010
48050,64899,69050,104108,93090,138856,Taxable capital gains,Gains en capital imposables,,,B,18,2010
6170,24716,9170,49492,10530,68405,Support payments received,Pension alimentaire reçue,,,B,19,2010
71920,185805,110480,352284,142750,477698,Registered Retirement Savings Plan (RRSP) income,Revenu d'un régime enregistré d'épargne-retraite (REER),,,B,20,2010
256120,622598,292350,802391,298220,750993,Other income,Autres revenus,,,B,21,2010
221000,1133219,264020,2100091,211790,2070121,Net business income,Revenus nets d'entreprise,,,B,22,2010
18050,85538,22110,161996,19220,178195,Net professional income,Revenus nets de profession libérale,,,B,23,2010
17620,69402,20820,126167,18570,137932,Net commission income,Revenus nets de commissions,,,B,24,2010
22900,24924,36520,114381,32110,89160,Net farming income,Revenus nets d'agriculture,,,B,25,2010
1340,1120,2520,5344,3370,14478,Net fishing income,Revenus nets de pêche,,,B,26,2010
18490,61803,38490,183501,60300,365503,Workers' compensation benefits,Indemnités pour accidents du travail,,,B,27,2010
435040,2777720,542570,4613984,265750,1545474,Social assistance payments,Prestations d'assistance sociale,,,B,28,2010
130650,393689,496760,2918007,812400,3851284,Net federal supplements,Versement net des suppléments fédéraux,,,B,29,2010
2044140,15574478,2581350,32158546,2514850,43803313,Total income assessed,Revenu total établi,,,B,30,2010
36370,10766,58220,26134,88310,51663,Registered pension plan (RPP) contributions,Cotisations à un régime de pension agréé (RPA),,,C,31,2010
34490,43328,81960,104188,147720,230551,RRSP deduction,Cotisations à un REER,,,C,32,2010
80,43,130,64,150,72,Saskatchewan Pension Plan (SPP) deduction,Déduction pour le Régime de pensions de la Saskatchewan (RPS),,,C,33,2010
1600,2327,4500,6551,16290,28146,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,,,C,34,2010
187050,28242,219500,42285,232310,54741,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",,,C,35,2010
2000,1064,2170,1174,1310,757,Universal Child Care Benefit repayment,Remboursement de la prestation universelle pour la garde d'enfants,,,C,36,2010
52570,79462,73470,142156,89820,202627,Child care expenses,Frais de garde d'enfants,,,C,37,2010
50,95,90,163,120,430,Disability supports deductions,Déductions pour produits et services de soutien aux personnes handicapées,,,C,38,2010
210,4841,310,6903,400,7335,Business investment loss,Perte au titre d'un placement d'entreprise,,,C,39,2010
6360,6256,8230,9602,8750,12683,Moving expenses,Frais de déménagement,,,C,40,2010
620,1904,1010,3023,1450,5066,Support payments made,Pension alimentaire payée,,,C,41,2010
35610,28670,68490,43546,126720,66821,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,,,C,42,2010
196460,34328,251010,86159,192910,97003,Deductions for CPP or QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autre,,,C,43,2010
43940,1113,64190,2451,52710,2597,Deduction for provincial parental insurance plan (PPIP) premiums on self-empl,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un tra,,,C,44,2010
290,903,440,941,740,1501,Exploration and development expenses,Frais d'exploration et d'aménagement,,,C,45,2010
6070,10955,11710,22479,20140,44679,Other employment expenses,Autres dépenses d'emploi,,,C,46,2010
180,568,390,1738,600,3170,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,,,C,47,2010
35350,19192,57370,32613,78740,48030,Other deductions,Autres déductions,,,C,48,2010
500940,274057,670650,532169,757060,857873,Total deductions before adjustments,Total des déductions avant rajustements,,,C,49,2010
0,0,0,0,0,0,Social benefits repayment,Remboursement des prestations de programmes sociaux,,,D,50,2010
2041820,15314070,2580130,31637162,2514070,42955217,Net income after adjustments,Revenu net après rajustement,,,D,51,2010
20,23,20,50,20,35,Canadian Forces personnel and police deduction,"Déduction pour le personnel des Forces canadiennes, des forces policières",,,E,52,2010
0,0,0,0,10,0,Employee home relocation loan deduction,Déduction pour prêts à la réinstallation d'employés,,,E,53,2010
120,201,190,399,250,336,Security options deductions,Déductions pour options d'achat de titres,,,E,54,2010
570090,3233344,1016690,7715499,1006010,5762303,Other payments deductions,Déduction pour autres paiements,,,E,55,2010
0,0,0,0,20,26,Limited partnership losses of other years,Pertes comme commanditaire d'autres années,,,E,56,2010
1290,5183,4330,9973,5090,17326,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,,,E,57,2010
3910,4894,8760,8679,15810,17170,Net capital losses of other years,Pertes en capital nettes d'autres années,,,E,58,2010
360,719,860,1817,1280,3802,Capital gains deduction,Déduction pour gains en capital,,,E,59,2010
3450,4828,7770,15804,12640,31707,Northern residents deductions,Déductions pour les habitants de régions éloignées,,,E,60,2010
9070,37344,20060,99021,33640,184939,Additional deductions,Déductions supplémentaires,,,E,61,2010
180,1095,960,1879,1160,3860,Farming/fishing losses of prior years,"Pertes provenant de la pêche, pertes agricoles d'autres années",,,E,62,2010
584460,3287633,1045840,7853121,1045720,6021504,Total deductions from net income,Total des déductions du revenu net,,,E,63,2010
1784880,12036579,2317010,23798239,2473460,37006682,Taxable income assessed,Revenu imposable établi,,,E,64,2010
2040550,20947434,2578710,26641727,2512970,26016340,Basic personal amount,Montant personnel de base,,,F,65,2010
196190,1253322,620240,3992357,1049800,6764506,Age amount,Montant en raison de l'âge,,,F,66,2010
115040,784308,174240,1175895,216920,1331073,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,,,F,67,2010
84340,841810,118460,1193693,101620,1013807,Amount for eligible dependant,Montant pour personne à charge admissible,,,F,68,2010
158270,551108,224810,804916,224100,814348,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,,,F,69,2010
260,950,430,1588,770,2655,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus ayant une déficience,,,F,70,2010
799960,138174,987970,345347,1018450,558022,CPP or QPP contributions through employment,Cotisations demployé au RPC ou au RRQ,,,F,71,2010
196460,34328,251010,86159,192910,97003,CPP or QPP contributions self-employment and other eligible earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,,,F,72,2010
916340,101548,1002740,169973,1012890,235807,Employment Insurance premiums,Cotisations à l'assurance-emploi,,,F,73,2010
290,28,480,76,440,99,Employment Insurance premiums on self-employment and other eligible earnings,Cotisations à lassurance-emploi pour le revenu dun travail indépendant et pour dautres revenus ad,,,F,74,2010
224700,7491,258200,13172,272960,19453,PPIP premiums paid,Cotisations au RPAP,,,F,75,2010
5830,143,6790,254,6360,335,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,,,F,76,2010
44240,1435,64680,3161,53250,3350,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,,,F,77,2010
1081950,1100578,1173360,1196386,1152970,1178976,Canada employment amount,Montant canadien pour emploi,,,F,78,2010
105580,46829,130450,66983,128370,77366,Public transit amount,Montant pour le transport en commun,,,F,79,2010
19750,8064,32770,13768,44340,19066,Children's fitness amount,Montant pour la condition physique des enfants,,,F,80,2010
1320,5715,2650,11188,5110,21674,Home buyers' amount,Montant pour l'achat d'une habitation,,,F,81,2010
30,134,50,204,70,282,Adoption expenses,Frais d'adoption,,,F,82,2010
69730,106988,199310,324559,516500,878588,Pension income amount,Montant pour revenu de pension,,,F,83,2010
3630,14447,6120,23416,10130,39616,Caregiver amount,Montant pour aidants naturels,,,F,84,2010
49830,360367,98490,709574,85710,618067,Disability amount,Montant pour personnes handicapées,,,F,85,2010
4410,44716,7010,69089,9550,85353,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne à charge,,,F,86,2010
5100,1830,17330,6336,36210,14636,Interest paid on student loans,Intérêts payés sur des prêts étudiants,,,F,87,2010
1250,2443,218850,278712,284980,1080274,"Tuition, education, and textbook amounts","Frais de scolarité, montant relatif aux études, montant pour manuels",,,F,88,2010
660,2221,3420,7673,10760,38045,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études, manuels transférés d'un enfant",,,F,89,2010
78850,334232,157100,783531,153680,787588,Amounts transferred from spouse,Montants transférés d'un époux ou conjoint de fait,,,F,90,2010
127460,146945,264690,390084,510320,919153,Allowable portion of medical expenses,Montant admissible des frais médicaux,,,F,91,2010
2041690,4025638,2579430,5746474,2513530,6392322,Total tax credits on personal amounts,Crédits d'impôt nets alloués,,,F,92,2010
22020,11057,81610,58004,209460,112436,Allowable charitable donations and government gifts,"Dons de bienfaisance, dons aux gouvernements admissibles",,,G,93,2010
70,1028,160,125,360,497,"Eligible cultural, ecological gifts",Montants admissibles des dons de biens culturels ou écosensibles,,,G,94,2010
20910,2304,79440,8421,205240,27593,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,,,G,95,2010
2041720,4027942,2579470,5754894,2513560,6419916,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,,,G,96,2010
8140,69,56960,4314,108010,16447,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,,,H,97,2010
0,0,0,0,20,11,Overseas employment tax credit,Crédit d'impôt pour emploi à l'étranger,,,H,98,2010
0,0,380,82,910,453,Minimum tax carryover,Report d'impôt minimum,,,H,99,2010
23440,12005,445480,103868,917580,537594,Basic federal tax,impôt fédéral de base,,,H,100,2010
310,81,7150,362,19850,1291,Federal foreign tax credit,Crédit fédéral pour impôt étranger,,,H,101,2010
0,0,510,45,1680,162,Federal political contribution tax  credit,Crédit d'impôt pour contributions politiques fédérales,,,H,102,2010
0,0,500,60,940,292,Investment tax credit,Crédit d'impôt à l'investissement,,,H,103,2010
60,-2816,520,60,2690,505,Labour-sponsored funds tax credit,Crédit d'impôt relatif à un fonds de travailleurs,,,H,104,2010
10,53,20,52,10,28,Alternative minimum tax payable,Impôt minimum de remplacement à payer,,,H,105,2010
23090,11404,440020,103690,911270,536143,Net federal tax,Impôt fédéral net,,,H,106,2010
157770,54123,190900,129931,143260,143628,CPP contributions payable on self-employment and other earnings,Cotisations au RPC à payer pour le revenu d'un travail indépendant et pour d'autres revenus,,,I,107,2010
290,28,480,76,440,99,Employment  Insurance premiums payable on self-employment and other eligible,Cotisations à lassurance-emploi à payer pour le revenu dun travail indépendant et pour d'autres re,,,I,108,2010
0,0,0,0,0,0,Social benefits repayment,Remboursement des prestations de programmes sociaux,,,I,109,2010
23540,3750,143810,26551,501800,157888,Net provincial or territorial tax,Impôt provincial ou territorial net,,,I,110,2010
190550,69306,606270,260252,1033480,837779,Total tax payable,Total à payer,,,I,111,2010
20000 - 24999 #,20000 - 24999 $,25000 - 29999 #,25000 - 29999 $,30000 - 34999 #,30000 - 34999 $,item_e,item_f,prove,provf,code1,code2,taxyr
1471530,0,1471950,0,1509020,0,Number of taxable returns,Nombre de déclarations imposables,,,A,1,2010
468140,0,177140,0,83130,0,Number of non-taxable returns,Nombre de déclarations non imposables,,,A,2,2010
1939670,0,1649090,0,1592150,0,Total number of returns,Nombre total de déclarations,,,A,3,2010
1117010,19972851,1088890,24232258,1108710,30117857,Employment income,Revenus d'emploi,,,B,4,2010
31390,114442,30560,155608,29420,195477,Commissions (from employment),Commissions (d'emploi),,,B,5,2010
118060,428869,134580,482670,153930,524789,Other employment income,Autres revenus d'emploi,,,B,6,2010
573130,3470857,385520,2347662,343630,2102554,Old Age Security pension,Pension de la sécurité de la vieillesse,,,B,7,2010
702270,4882589,512810,3723453,470030,3467096,Canada Pension Plan (CPP) or Quebec Pension Plan (QPP) benefits,Prestations du Régime de pensions du Canada (RPC) ou du Régime de rentes du Québec (RRQ),,,B,8,2010
482900,3105546,386910,4051744,376380,5252909,Other pensions or superannuation,Autres pensions et pensions de retraite,,,B,9,2010
132460,1128721,97650,1062736,113320,1329430,Elected split-pension amount,Choix du montant de pension fractionné,,,B,10,2010
123780,180427,111050,160896,101190,145925,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),,,B,11,2010
349830,2739383,334360,2678596,301910,2301942,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,,,B,12,2010
225820,401641,214200,548688,232540,727146,Taxable amount of dividends,Montant imposable des dividendes,,,B,13,2010
522980,841064,439050,776674,434540,814034,Interest and other investment income,Intérêts et autres revenus de placements,,,B,14,2010
5430,1194,5770,2158,6720,2650,Net partnership income,Revenus nets de société de personnes,,,B,15,2010
10,6,10,27,10,64,Registered disability savings plan (RDSP) income,Revenus dun régime enregistré dépargne-invalidité (REEI),,,B,16,2010
91650,201725,84960,186081,86060,175900,Net rental income,Revenus nets de location,,,B,17,2010
100650,173395,94790,197314,100630,220636,Taxable capital gains,Gains en capital imposables,,,B,18,2010
9570,78672,7830,73120,6890,71864,Support payments received,Pension alimentaire reçue,,,B,19,2010
160560,600187,162090,659815,174420,742222,Registered Retirement Savings Plan (RRSP) income,Revenu d'un régime enregistré d'épargne-retraite (REER),,,B,20,2010
283440,718642,257440,682311,263120,696625,Other income,Autres revenus,,,B,21,2010
169100,1932418,134910,1715997,114190,1503550,Net business income,Revenus nets d'entreprise,,,B,22,2010
16520,184208,14410,187093,13200,188379,Net professional income,Revenus nets de profession libérale,,,B,23,2010
