#,Item,Poste,Tax year/D'année d'imposition, Grand total/Total global #,Grand total/Total global $ (000),4999 and under/Moins de 4 999 #,4999 and under/Moins de 4 999 $ (000),5000 - 9999 #,5000 - 9999 $ (000),10000 - 14999 #,10000 - 14999 $ (000),15000 - 19999 #,15000 - 19999 $ (000),20000 - 24999 #,20000 - 24999 $ (000),25000 - 29999 #,25000 - 29999 $ (000),30000 - 34999 #,30000 - 34999 $ (000),35000 - 39999 #,35000 - 39999 $ (000),40000 - 44999 #,40000 - 44999 $ (000),45000 - 49999 #,45000 - 49999 $ (000),50000 - 54999 #,50000 - 54999 $ (000),55000 - 59999 #,55000 - 59999 $ (000),60000 - 69999 #,60000 - 69999 $ (000),70000 - 79999 #,70000 - 79999 $ (000),80000 - 89999 #,80000 - 89999 $ (000),90000 - 99999 #,90000 - 99999 $ (000),100000 - 149999 #,100000 - 149999 $ (000),150000 - 249999 #,150000 - 249999 $ (000),250000 and over/et plus #,250000 and over/et plus $ (000)
11,Universal Child Care Benefit (UCCB),Prestation universelle pour la garde d'enfants (PUGE),2012, 1611260,2418394,367870,584037,143150,220082,158900,236860,131320,195676,112520,164394,103170,149438,95790,137987,87700,126002,76290,111153,62970,92005,51460,75856,42020,61773,61730,90519,40760,59463,26740,39635,17580,25882,23220,34987,6450,10099,1610,2546
12,Employment Insurance and other benefits,Prestations d'assurance-emploi et autres prestations,2012, 2430500,16277235,35550,81809,90950,388950,187970,1033105,255910,1645956,273510,1935915,269120,2039417,250330,1917064,217530,1601915,182660,1303923,142530,1003107,110660,771838,85890,587536,122090,789030,75780,452752,46500,268598,28130,157650,46030,244869,7930,43874,1430,9927
13,Taxable amount of dividends from taxable Canadian corporations,Montant imposable des dividendes,2012, 3929620,60936674,82860,79384,71180,79572,124600,159071,192560,288782,221220,435099,201400,596545,216390,774231,226700,1044896,246410,1292606,215070,1355659,197120,1578954,178840,1449944,321580,3198625,261780,2928424,208840,2735975,166890,2293146,419940,8927691,226480,8781576,149770,22936494
14,Interest and other investment income,Intérêts et autres revenus de placements,2012, 6336210,14415780,277400,170413,210400,201132,333950,336862,531920,600550,510340,725715,400810,645067,395690,663993,381710,656252,383530,689066,321140,576341,281630,510828,250420,473438,430040,879671,337860,713416,257580,585311,201410,477439,455630,1433983,224420,1208235,150350,2868069
15,Net partnership income (Limited or non-active partners only),Revenus nets de société de personnes,2012, 98260,228477,11570,-23968,970,-282,1070,406,1320,-468,1490,-407,1560,-729,1830,-25,2110,-105,2470,-324,2550,-149,2630,101,2530,1122,5130,1605,5050,3861,4630,4897,4260,5619,14640,27109,13440,40472,19030,169740
16,Registered disability savings plan income (RDSP),Revenus d'un régime enregistré d'épargne-invalidité (REEI),2012, 400,358,30,11,60,17,130,78,60,70,30,30,20,15,10,45,10,9,10,13,,,,,,,,,,,,,,,,,,,,
17,Net rental income,Revenus nets de location,2012, 1391680,4963890,51950,-108366,48500,106766,68310,166449,84070,199471,87890,230183,79500,206165,80460,207456,80430,202883,82140,216021,73050,181226,66710,171876,60470,161825,104620,292119,85650,248707,69040,215230,53830,177902,123560,553563,57290,463209,34220,1071203
18,Taxable capital gains,Gains en capital imposables,2012, 1951230,16163054,53250,61169,44820,45480,66100,71173,97510,99964,114340,135787,102310,154058,107440,175130,109940,198371,117640,228037,102150,231400,91830,235360,84100,238909,151350,518064,124250,495501,98050,469826,79930,442723,202280,1698967,115910,2146780,88050,8516357
19,Support payments received,Pension alimentaire reçue,2012, 79770,1070775,2870,4869,4740,18828,7330,40450,8520,56103,8450,71435,6680,65749,6000,64766,5490,63548,4830,57706,4180,55750,3440,49808,2770,44113,4380,82197,2870,65132,1870,47693,1480,40274,2710,122293,880,72804,300,47256
20,Registered retirement savings plan income (RRSP),Revenu d'un régime enregistré d'épargne-retraite (REER),2012, 2116520,11994886,62860,80888,57580,151321,89420,296788,115030,405487,136000,527408,133310,566885,144610,635152,154280,704868,158260,757386,138310,651399,123660,593381,110200,553164,183530,1022901,137620,801211,100750,633077,74060,487913,138640,1320683,43800,821831,14610,983144
21,Other income,Autres revenus,2012, 3714920,18274541,177010,223800,210040,517565,240300,664779,244800,620324,240160,590867,212250,561918,215830,586668,216820,626816,220830,666324,186520,575296,161630,510578,144420,480813,248720,888624,198160,773479,155270,675876,121710,595596,284600,2174751,142690,2107035,93160,4433433
22,Net business income,Revenus nets d'entreprise,2012, 1840060,23265685,149210,-390038,192720,987723,235760,1877635,192550,1864963,153280,1738442,123410,1586869,104690,1411981,91600,1253929,84030,1179322,69520,1005370,59210,891584,50610,789638,81580,1359900,61310,1103838,45750,901243,33490,703376,70460,2071704,27440,1356348,13450,1571858
23,Net professional income,Revenus nets de profession libérale,2012, 315090,17564682,13570,-11962,16350,75655,20470,147031,18270,166361,15570,168370,13800,177426,12590,174059,12060,179354,11640,183402,10820,185915,10090,188266,9510,195139,17410,394713,15650,405289,13320,407872,11160,398521,34760,1943781,30010,3437581,28050,8747909
24,Net commission income,Revenus nets de commissions,2012, 197120,3732771,15080,-12773,16080,62656,19260,115826,16980,125384,14750,128899,12800,133002,11520,137038,10580,135676,9690,136170,8470,137401,7250,127452,6250,123861,10600,246633,8030,221423,6270,209081,4780,181849,11330,639765,5250,497753,2150,385675
25,Net farming income,Revenus nets d'agriculture,2012, 336930,2155770,19270,-298412,19240,29048,29350,102172,28260,85518,24110,95278,20860,102514,20000,128877,18350,107313,20210,199197,15940,117235,13330,100093,11820,89236,20180,170194,15410,142257,12140,126173,9190,102838,21740,305149,10700,225555,6850,225537
26,Net fishing income,Revenus nets de pêche,2012, 26370,449103,700,-3392,850,471,1610,3140,2250,8596,2700,16887,2910,24546,2520,26551,2100,28949,1910,34250,1610,33870,1290,29108,1050,27192,1560,47831,970,33820,650,25834,400,18641,950,54640,270,22258,90,15912
27,Workers' compensation benefits,Indemnités pour accidents du travail,2012, 585220,5051446,7200,15689,15450,52747,31460,145701,51610,308483,65340,484919,62330,541565,59600,549114,54570,513424,45860,454211,38160,384520,30430,309605,24880,245555,34690,344280,21850,208409,14390,137675,9640,92690,14210,177308,2850,64160,700,21392
28,Social assistance payments,Prestations d'assistance sociale,2012, 1462950,10276165,86670,228833,366380,2447483,491790,4233054,287030,1847426,128930,874286,46580,324440,21690,132728,11980,72661,6730,39578,4430,24809,2870,15008,1910,9579,2230,9942,1210,5602,710,2993,440,1730,830,3814,360,1311,190,887
29,Net federal supplements,Versement net des suppléments fédéraux,2012, 1922710,9384195,23390,43699,92140,272212,359400,1848318,918260,5590023,371330,1121784,77730,260846,32620,108139,18420,53576,10170,28676,5310,14931,3180,9464,2180,6611,2850,8532,1560,4717,970,2916,620,1937,1350,4132,750,2160,500,1523
30,Total income assessed,Revenu total établi,2012, 25326070,1120723469,2353120,3058574,1788000,13669491,2242600,27815010,2481330,43300161,1914430,42798262,1563740,42934545,1512310,49130632,1448150,54235238,1361440,57809785,1147030,54405569,990550,51931313,854710,49082197,1393220,90266728,1063090,79455842,786950,66691010,596190,56437651,1170700,139174756,443160,82111674,215350,116415030
31,Registered pension plan contributions (RPP),Cotisations à un régime de pension agréé (RPA),2012, 4615070,17453688,16760,5963,31920,9775,50890,25051,75130,46265,108890,89580,154890,162006,223380,297329,305360,510437,335260,685411,343110,836733,329130,925013,315650,1010258,547760,2069083,476440,2215276,366600,2021525,297520,1998880,473990,3227033,124840,959920,37560,358149
32,RRSP deduction,Cotisations à un REER,2012, 5933110,32401527,23680,28849,27910,36001,62260,80979,115990,178919,176010,316071,233780,473550,303000,670603,367360,897496,399860,1104579,403040,1259324,385100,1361751,356090,1379607,620140,2722295,529250,2661975,422960,2473617,341230,2257405,735670,7137622,293130,4510300,136660,2850586
33,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,2012, 1135410,11876448,430,788,1480,2214,4050,6075,12860,21845,58310,134876,81990,332262,94790,499417,108630,662344,109910,805910,105550,937548,90490,990440,75230,967407,110470,1612527,77050,1142195,50870,795558,35130,587947,74290,1439956,30180,621680,13690,315460
34,"Annual union, professional, or like dues","Cotisations annuelles syndicales, professionnelles et semblables",2012, 5502340,3916347,111720,13669,165690,25851,197290,39991,206980,50812,233160,69030,269320,95026,318850,134086,374380,185996,382220,214289,370210,235900,343550,245818,322300,255146,548260,488369,468540,477590,352880,386957,280120,328271,424580,511903,102320,124311,29980,33331
35,Universal Child Care Benefit repayment,Remboursement de la PUGE,2012, 18060,12629,3960,3310,2210,1395,2610,1573,1710,1082,1250,816,960,653,870,636,740,477,660,471,520,397,420,283,400,283,560,381,400,272,270,205,180,136,240,166,70,70,20,23
36,Child care expenses,Frais de garde d'enfants,2012, 1243470,4465065,35400,31056,49690,80074,66270,137656,80610,194875,91710,251301,99220,298439,104060,340593,104300,361890,94250,355039,81150,324520,69770,291955,58900,256343,91990,419589,67030,317127,45750,234178,32950,172272,49660,269654,15490,95409,5270,33094
37,Disability supports deductions,Déductions pour produits et services de soutien aux personnes handicapées,2012, 1610,8306,30,27,50,113,90,157,110,425,130,507,140,581,120,511,130,415,100,322,90,438,90,410,70,292,110,509,80,428,60,309,50,332,100,893,50,928,30,709
38,Business investment loss,Perte au titre d'un placement d'entreprise,2012, 9800,237185,280,7656,190,3951,230,4292,310,5970,390,6767,440,8465,480,7141,490,8054,490,9152,520,8542,500,8900,460,6877,750,13409,670,12729,570,11589,450,11055,1300,31622,720,29605,580,41409
39,Moving expenses,Frais de déménagement,2012, 106760,451933,2890,2947,4790,5139,6510,7582,7640,11260,8090,14675,8030,17391,7410,17681,6740,19321,6240,20457,5590,20378,5050,21096,4660,22263,7820,42971,6170,40330,4650,34476,3570,30192,7620,75138,2590,34478,730,14161
40,Support payments made,Pension alimentaire payée,2012, 65310,952472,330,1794,410,1014,660,2077,1050,3625,1500,5325,1820,7821,2220,10945,2700,14713,2880,16610,2870,17725,2850,19483,2890,20044,5410,42531,5140,45335,4530,43750,4010,44172,11720,174608,6890,177171,5440,303727
41,Carrying charges and interest expenses,Frais financiers et frais d'intérêts,2012, 2353030,4558058,28680,32827,29400,26031,53750,40326,103630,60289,135210,85386,124780,97760,133050,107645,139250,121677,145150,132674,132000,140920,119990,139960,109260,134683,193410,259814,160180,256397,128160,227570,104720,200521,261720,649458,144290,582347,106420,1261773
42,Deductions for CPP/QPP contributions on self-employment and other earnings,Déductions pour cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autre,2012, 1513840,1202288,27550,1888,172580,29996,228360,77883,179860,88977,143020,89530,116450,87649,97040,81975,83640,76421,76590,75598,63260,66860,47780,58002,35570,48177,51740,76191,35780,56326,26470,43781,19290,32877,50480,92276,32840,64804,25560,53077
43,Deductions for provincial parental insurance plan (PPIP) premiums on self-emplo,Déduction pour cotisations au Régime provincial d'assurance parentale (RPAP) pour le revenu d'un tra,2012, 413090,33075,14470,227,41990,1135,61320,2518,50690,2672,39970,2522,31620,2294,25400,1959,20960,1637,18120,1446,14910,1300,12900,1203,10790,1070,16750,1913,9570,1474,6650,1175,4750,884,12950,2795,10400,2554,8920,2296
44,Exploration and development expenses,Frais d'exploration et d'aménagement,2012, 74310,1038770,7180,27143,440,3212,360,1424,570,1351,820,1461,880,2002,1140,3140,1310,3699,1630,3806,1750,5430,1820,6685,1710,7365,3810,17073,3760,18690,3510,20821,3140,20670,11690,97799,11460,139441,17320,657558
45,Other employment expenses,Autres dépenses d'emploi,2012, 792630,4052424,3250,9030,5180,9180,9700,19509,16680,36795,23980,61098,30420,87152,36360,111102,41060,133405,44140,153186,47230,176026,47370,190653,45350,191556,81890,378301,67890,332514,54520,274940,46640,239872,115750,737350,51050,486553,24190,424203
46,Clergy residence deduction,Déduction pour la résidence d'un membre du clergé,2012, 26400,346184,50,145,140,475,270,1214,480,2609,860,5206,1250,8758,1880,14760,1980,17475,2280,22420,2290,25533,2370,29800,2310,32558,3920,62062,2490,44482,1450,27380,840,16659,1280,27644,220,5900,40,1105
47,Other deductions,Autres déductions,2012, 766320,2128129,27330,17430,30000,17184,47530,27216,66330,42243,73080,48985,68020,49706,64650,53078,58860,52218,51470,58925,41060,46210,33160,44898,27160,41665,40930,77347,29090,72631,21100,67310,16040,63735,36170,262655,19060,356598,15290,728093
48,Total deductions before adjustments,Total des déductions avant rajustements,2012, 13772340,85134527,260020,184748,440110,252739,588780,475522,661270,750014,763830,1183135,803970,1731516,884680,2352601,958550,3067674,958530,3660296,887640,4103783,796450,4336349,710590,4375595,1181490,8284365,942620,7695772,709690,6665140,548860,6005880,1073600,14738572,405890,8192070,195800,7078754
49,Social benefits repayment,Remboursement des prestations de programmes sociaux,2012, 488770,1337821,,,,,,,,,,,,,,,,,,,,,,,6160,1815,51000,45305,98650,88946,75690,123553,53900,125890,121000,475774,51060,290757,31310,185731
50,Net income after adjustments,Revenu net après rajustements,2012, 25228620,1035214276,2262450,3690564,1785660,13430155,2241420,27350325,2480620,42558198,1913930,41624434,1563360,41214179,1512040,46786084,1447940,51172429,1361260,54163570,1146880,50306276,990410,47598545,854610,44708085,1393090,81942076,1062970,71676330,786870,59905830,596140,50309507,1170560,123969945,443090,73644381,215300,109163364
51,Canadian Forces personnel and police deduction,Déduction pour le personnel des Forces canadiennes et des forces policières,2012, 3890,87110,20,21,20,28,30,15,20,42,30,75,40,148,20,82,40,98,40,265,100,1069,140,2424,280,6832,860,16747,620,12456,430,10960,310,7999,760,22410,120,5002,30,435
52,Employee home relocation loan deduction,Déduction pour prêts à la réinstallation d'employés,2012, 1320,282,,,,,,,,,,,10,1,10,1,20,2,10,1,10,1,20,2,20,4,40,5,50,8,80,37,60,8,380,59,350,63,220,88
53,Security options deductions,Déductions pour options d'achat de titres,2012, 43170,2003175,70,180,90,1048,180,249,250,404,380,631,390,736,420,810,500,942,600,1014,650,1124,730,1672,790,1886,1490,3942,1540,4877,1480,5348,1650,6594,8310,49340,10500,131512,13140,1790865
54,Other payments deductions,Déduction pour autres paiements,2012, 3661690,24707394,115800,288222,468090,2772445,823260,6227235,1111630,7745986,499880,2481028,170610,1126852,107970,789985,81960,639663,61110,522466,46880,424260,35890,334076,28540,261745,39270,362754,24340,218681,15880,143505,10550,96205,15780,183953,3310,65869,940,22464
55,Limited partnership losses of other years,Pertes comme commanditaire d'autres années,2012, 1890,10125,20,20,,,,,20,29,30,53,20,63,30,96,40,90,40,212,50,121,60,196,70,177,110,369,120,438,100,303,100,444,350,1117,310,1248,430,5137
56,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2012, 28800,331507,910,2741,490,1995,2860,5066,3840,11217,3620,15351,3070,16884,2540,16773,1950,14720,1560,12817,1230,11831,1050,10496,850,8633,1220,15916,800,10908,600,10480,470,8689,940,22011,440,17617,390,117362
57,Net capital losses of other years,Pertes en capital nettes d'autres années,2012, 494880,1257334,2890,1918,3100,4389,6700,6369,12410,11222,21000,17708,22490,21904,25920,26581,27570,29188,30620,32918,27490,34932,25240,35729,23270,34212,43160,69941,36220,63932,28850,56770,23780,49977,64060,179935,39060,182427,31060,397283
58,Capital gains deduction,Déduction pour gains en capital,2012, 59970,4214162,380,1556,310,794,660,1381,1050,2615,1520,5520,1610,8913,1750,11485,1970,16215,2120,20922,2160,26359,2160,31363,2090,33362,4560,100410,3700,95683,3120,96928,2740,96578,8680,431284,8330,784609,11050,2448186
59,Northern residents deductions,Déductions pour les habitants de régions éloignées,2012, 248700,863882,2390,1167,2780,3818,5890,11803,10470,25998,11950,31158,12120,33885,12420,36334,12350,36992,11760,35929,11270,35915,10780,35610,10210,34930,19290,68218,17430,64846,16420,64112,14840,60465,41610,183912,20620,83351,4120,15436
60,Additional deductions,Déductions supplémentaires,2012, 196330,1096730,7440,21712,8910,44698,15240,75261,30040,130286,31270,108923,18940,78980,15430,73964,12790,64622,10600,55420,7790,45514,5590,32564,4640,26638,7360,44176,4990,34622,3220,25860,2360,21530,5370,78060,2750,77915,1590,55984
61,Farming/fishing losses of prior years,Pertes provenant de la pêche et pertes agricoles d'autres années,2012, 12110,118741,200,2124,140,690,660,1452,930,3292,1000,4347,960,5859,800,5836,730,6784,680,5571,590,4711,540,4752,480,4291,790,8027,670,6309,510,5117,390,4666,1080,15388,550,10240,420,19284
62,Total deductions from net income,Total des déductions du revenu net,2012, 4621330,34690441,129060,319661,481280,2829908,846630,6328841,1142810,7931093,545780,2664796,220950,1294225,161200,961945,134850,809316,114890,687535,94720,585836,79150,488885,68630,412708,113670,690505,86990,512759,68090,419422,55090,353155,140820,1167471,80440,1359853,56300,4872525
63,Taxable income assessed,Revenu imposable établi,2012, 24607360,1000619000,2200900,3398043,1560640,10608874,2003040,21028720,2424290,34647518,1893590,38963198,1556210,39923233,1507970,45826068,1445200,50366521,1359460,53477616,1145680,49722271,989890,47110402,854310,44296127,1392680,81252791,1062700,71164995,786660,59487779,596000,49957191,1170150,122806280,442810,72288146,215180,104293230
64,Basic personal amount,Montant personnel de base,2012, 25412500,273850061,2456510,25921225,1785350,19136762,2240540,24139664,2479820,26775290,1913220,20667607,1562680,16887072,1511490,16339902,1447400,15651490,1360750,14716984,1146490,12400370,990060,10708790,854310,9241231,1392580,15064238,1062550,11494360,786540,8508667,595860,6445794,1169610,12650933,442240,4781561,214500,2318122
65,Age amount,Montant en raison de l'âge,2012, 4944730,29990088,98450,630628,154170,1027024,474520,3183719,1137740,7643183,698270,4691376,429910,2888282,386370,2591649,327280,2080135,297630,1715175,212130,1122187,164470,782269,133550,555728,213410,662119,130710,259389,47130,86228,19940,33396,16650,28295,1620,6323,790,2982
66,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2012, 2027520,14833458,111870,1004275,97910,710915,150230,1067447,191260,1265392,185530,1230929,142050,964138,123380,862634,110520,788514,96420,697176,84000,610032,74950,550155,66930,492999,114200,846981,95340,720356,77430,589456,62470,479822,147110,1159804,63940,521871,32010,270563
67,Amount for eligible dependant,Montant pour personne à charge admissible,2012, 934370,9586082,67220,700164,74550,777687,106920,1122138,91280,949283,77220,795207,67550,692187,63590,649898,60010,611844,51220,521121,42900,434640,35600,359603,29480,297064,45870,461592,35100,352539,24980,250970,18900,190184,29570,296005,8910,88983,3500,34974
68,Amount for children 17 and under,Montant pour enfants âgés de 17 ans ou moins,2012, 3622210,13932247,174050,706039,138840,524525,197660,757349,196260,760274,191930,730332,189230,710061,197180,734772,204090,759212,197330,735164,182900,683871,171140,641842,157280,593461,279140,1062708,242980,934388,198920,774548,163490,644873,337920,1345607,135330,551187,66550,282036
69,Amount for infirm dependants age 18 or older,Montant pour personnes à charge âgées de 18 ans ou plus et ayant une déficience,2012, 17540,80902,250,1226,300,1401,530,2518,880,3915,1200,5485,1150,5181,1250,5599,1370,6166,1290,5766,1140,5222,1020,4576,840,3837,1440,6562,1170,5526,860,4055,640,2837,1410,7044,550,2733,260,1252
70,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2012, 14557290,22078551,212470,38633,719370,125508,902980,321851,931640,516871,963590,746459,955160,948737,982440,1210587,995390,1474643,944010,1614695,847400,1649414,753810,1589044,667100,1438202,1103300,2413789,883100,1958804,671540,1498921,521240,1171768,1000300,2244691,351970,784487,150490,331448
71,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d'un travail indépendant et pour d'autres revenus,2012, 1513840,1202288,27550,1888,172580,29996,228360,77883,179860,88977,143020,89530,116450,87649,97040,81975,83640,76421,76590,75598,63260,66860,47780,58002,35570,48177,51740,76191,35780,56326,26470,43781,19290,32877,50480,92276,32840,64804,25560,53077
72,Employment Insurance premiums,Cotisations d'employé à l'assurance-emploi,2012, 14408460,7857282,468420,53699,827910,98301,914110,167418,916560,229913,940240,305869,933250,373315,955870,459010,968920,547038,916750,592230,823060,588739,727960,538624,647820,487224,1063880,811576,847870,656419,639500,503525,495330,394447,915770,729111,296870,236099,108370,84725
73,Employment Insurance premiums on self-employment and other eligible earnings,Cotisations à l'assurance-emploi pour le revenu d'un travail indépendant et pour d'autres revenus ad,2012, 4990,1738,,,500,48,680,108,680,148,550,153,440,150,360,151,300,144,270,135,220,141,180,107,130,89,180,121,110,77,60,44,50,34,80,59,30,19,,
74,PPIP premiums paid,Cotisations au RPAP,2012, 3650660,709639,113760,3731,205030,7645,238580,13723,246180,19581,261260,26981,269000,34365,289070,44734,295590,54017,256860,52878,220610,51287,190710,49399,163730,46685,257920,82737,199700,68717,122850,42447,84430,29500,160790,56231,50660,17224,23950,7755
75,PPIP premiums payable on employment income,Cotisations au RPAP à payer sur le revenu d'emploi,2012, 105170,21797,2380,57,4930,140,5880,255,5400,325,5080,410,4840,484,5090,625,5100,764,5310,930,5960,1220,6010,1397,6110,1578,10200,2948,7720,2414,6460,2081,4990,1644,9780,3227,3160,1051,790,245
76,PPIP premiums payable on self-employment income,Cotisations au RPAP à payer sur le revenu d'un travail indépendant,2012, 414290,42615,14550,294,42070,1462,61430,3245,50810,3443,40040,3250,31700,2956,25460,2525,21030,2108,18150,1863,14970,1675,12930,1550,10840,1379,16810,2464,9650,1900,6700,1514,4780,1138,13040,3601,10420,3290,8920,2957
77,Volunteer firefighters' amount,Montant pour les pompiers volontaires,2012, 38750,116235,660,1971,620,1853,870,2603,1300,3894,1720,5148,2080,6243,2750,8246,2940,8808,3100,9297,2920,8766,2680,8025,2450,7353,4180,12531,3080,9252,2270,6804,1650,4962,2880,8643,550,1635,70,201
78,Canada employment amount,Montant canadien pour emploi,2012, 16726670,17652206,789800,742758,967950,1025807,1064190,1128452,1045770,1111212,1076850,1135872,1064580,1118820,1097750,1147295,1110300,1159614,1055510,1103028,933650,983592,822630,871646,722460,768620,1188370,1269114,937270,1007368,706570,762040,544650,589001,1051650,1137360,377540,408147,169190,182461
79,Public transit amount,Montant pour le transport en commun,2012, 1650720,1366573,90680,40985,103930,49660,127680,69025,128940,81690,123790,90479,112270,90675,106400,91350,102330,91920,94310,87844,84090,80194,74210,72387,65490,65209,105890,106580,82810,84576,63310,65834,47520,50712,94890,101940,31200,33363,10990,12149
80,Children's fitness amount,Montant pour la condition physique des enfants,2012, 1557140,846075,20850,9384,18160,7682,29260,12566,38850,17121,47780,21115,57190,25353,67910,30200,78070,35150,82390,38252,82200,39207,81380,39724,78690,39255,148000,76720,139350,76147,120720,69836,105180,64428,220930,141289,92970,65653,47290,36991
81,Children's arts amount,Montant pour les activités artistiques des enfants,2012, 536930,272961,6830,3020,5700,2446,8930,3998,11900,5375,14870,6638,17480,7764,20350,9039,23100,10275,24440,11061,24580,11154,24680,11312,24250,11214,47390,22524,47010,23008,43330,22325,39740,21292,88880,50074,41030,25173,22440,15271
82,Home buyers' amount,Montant pour l'achat d'une habitation,2012, 180750,812406,1720,7098,1220,5320,2420,10176,4540,18965,7500,32055,10370,44801,13640,59233,15980,70157,16480,72816,15300,68547,14340,64516,12680,57654,20810,95615,14430,66901,9350,43770,6160,28863,10670,50714,2530,12177,630,3029
83,Adoption expenses,Frais d'adoption,2012, 2220,13934,20,54,20,64,30,107,50,166,80,299,80,394,110,571,120,634,120,590,130,764,120,688,110,674,200,1342,190,1342,190,1218,150,1001,320,2352,140,1086,70,587
84,Pension income amount,Montant pour revenu de pension,2012, 4574520,8720753,25200,34952,57290,88384,169070,272180,451310,756522,603300,1140087,445810,871643,432160,851099,390850,770835,382530,755997,282670,557564,221070,435775,181650,357981,284220,560121,182570,359208,118940,233581,79840,156204,162130,316619,68080,132607,35830,69394
85,Caregiver amount,Montant pour aidants naturels,2012, 216330,1102307,4050,19602,3850,17969,6170,27687,9720,43950,12970,59682,14400,68933,16230,79810,16870,84763,16150,81494,14960,76755,12890,65838,11300,58826,18080,95001,14030,74833,11080,60255,8600,47584,17340,96639,5550,31160,2090,11523
