F1,F2,F3,F4,F5,F6,ITEME,ITEMF,CODE1,CODE2,prove,provf,taxyr,f7
43250,16722,49580,18983,67870,28258,Children's Fitness Amount,Montant pour la condition physique des enfants,D,50,,,2008,2
518030,892631,490480,927515,382140,745997,Pension Income Amount,Montant pour revenu de pension,D,51,,,2008,2
155790,1093605,92640,652324,67970,473004,Disability and Caregiver Amounts,Montants pour personnes handicapées et pour aidants naturels,D,52,,,2008,2
314940,1244218,238210,1173506,223290,1098724,"Tuition, Education, Textbook amounts & Interest on student loans",Montants et intérêts relatifs aux études,D,53,,,2008,2
179060,882383,128100,600930,81020,342546,Amounts Transferred from Spouse,Montants transférés de votre époux ou conjoint de fait,D,54,,,2008,2
551410,1119563,525540,1237143,425210,942028,Allowable Portion of Medical Expenses,Montant admissible des frais médicaux,D,55,,,2008,2
2442100,5844453,1819750,4475928,1546660,3769496,Total Tax Credits on Personal Amounts,Crédits d'impôt nets alloués,E,56,,,2008,2
255990,129334,341640,203630,365830,268677,Donations and Gifts,Dons,E,57,,,2008,2
250740,32662,336320,52306,359860,70422,Total Tax Credit on Donations,Crédits d’impôt pour les dons,E,58,,,2008,2
2442140,5877115,1819830,4528234,1546740,3839918,Total Non-Refundable Tax Credits,Total des crédits d'impôt non remboursables fédéraux,F,59,,,2008,2
218230,52425,219280,65379,194660,81367,Federal Dividend Tax Credit,Crédit d'impôt fédéral pour dividendes,F,60,,,2008,2
1085450,662428,1319520,1368220,1346930,2105921,Basic Federal Tax,Impôt fédéral de base,F,61,,,2008,2
1049600,659859,1304250,1365200,1334960,2097744,Net Federal Tax,Impôt fédéral net,F,62,,,2008,2
120530,119788,100890,133927,84420,132985,CPP Contr. On Self Employment,Cot. au RPC pour le rev. d'un trav. indép.& pour d’autres rev.,F,63,,,2008,2
743290,273560,1016680,603195,1000220,942719,Net Provincial Tax or Territorial Tax,Impôt provincial ou territorial net,F,64,,,2008,2
1271730,1053214,1471790,2102426,1425880,3173973,Total Tax Payable,Total de l'impôt à payer,F,65,,,2008,2
1515130,0,1479760,0,2994890,0,Number of Taxable Returns,Nombre de déclarations imposables,A,1,,,2008,3
64410,0,36180,0,100590,0,Number of Non-Taxable Returns,Nombre de déclarations non-imposables,A,2,,,2008,3
1579550,0,1515940,0,3095480,0,Total Number of Returns,Nombre total de déclarations,A,3,,,2008,3
1115720,30718347,1101410,35696518,2217140,66414864,Employment Income,Revenus d'emploi,B,4,,,2008,3
30610,218371,32770,287109,63380,505479,Commissions (from Employment),Commissions (d'emploi),B,5,,,2008,3
163320,490516,159510,506427,322830,996943,Other Employment Income,Autres revenus d'emploi,B,6,,,2008,3
341960,1993926,297050,1727080,639010,3721005,Old Age Security Pension,Pension de la Sécurité de la vieillesse,B,7,,,2008,3
450310,3262418,406110,2866755,856420,6129174,CPP or QPP Benefits,Prestations du RPC ou du RRQ,B,8,,,2008,3
313430,3839559,298900,4330010,612320,8169569,Other Pensions or Superannuation,Autres pensions ou pensions de retraite,B,9,,,2008,3
105250,148607,84980,123534,190230,272142,Universal Child Care Benefit,Prestation universelle pour la garde d'enfants,B,10,,,2008,3
249130,1710525,209520,1324009,458640,3034534,Employment Insurance Benefits,Prestations d'assurance emploi et autres prestations,B,11,,,2008,3
245540,681371,265790,956335,511330,1637706,Taxable Amount of Dividends,Montant imposable des dividendes,B,12,,,2008,3
597850,2700862,596650,3059696,1194500,5760558,Investment Income and Other Investment Income,Intérêts et autres revenus de placements,B,13,,,2008,3
180,790,0,0,180,790,Registered Disability Savings Plan Income,Revenus d'un régime enregistré d'épargne-invalidité,B,14,,,2008,3
87050,110440,86570,125493,173620,235932,Net Rental Income,Revenus nets de location,B,15,,,2008,3
84330,196601,97050,225277,181380,421878,Taxable Capital Gains,Gains en capital imposables,B,16,,,2008,3
142140,544850,155560,624626,297700,1169475,Registered Retirement Savings Plan Income,Revenu d'un REER,B,17,,,2008,3
112280,1502560,101040,1376271,213320,2878831,Net Business Income,Revenus nets d'entreprise,B,18,,,2008,3
12960,176078,13870,230688,26830,406766,Net Professional Income,Revenus nets de profession libérale,B,19,,,2008,3
11310,137243,9510,133235,20820,270478,Net Commission Income,Revenus nets de commissions,B,20,,,2008,3
24830,67578,24590,184198,49420,251776,Net Farming Income,Revenus nets d'agriculture,B,21,,,2008,3
2970,32809,2220,40253,5190,73062,Net Fishing Income,Revenus nets de pêche,B,22,,,2008,3
111140,798520,83220,632306,194360,1430826,Tax Exempt Income,Revenus non imposables,B,23,,,2008,3
338920,1921494,359040,2372270,697960,4293764,Other Income,Autres revenus,B,24,,,2008,3
1579550,51253466,1515940,56822088,3095480,108075554,Total Income Assessed,Revenu total établi,C,25,,,2008,3
285400,354396,338450,529482,623850,883878,Registered Pension Plan Contributions,Déductions pour RPA,C,26,,,2008,3
395330,875163,459920,1198782,855250,2073945,Registered Retirement Savings Plan Contributions,Déductions pour REER,C,27,,,2008,3
92960,515033,107850,662334,200810,1177367,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,C,28,,,2008,3
376830,154763,414000,199487,790830,354250,Union and Professional Dues,"Cotisations annuelles syndicales, professionnelles et semblables",C,29,,,2008,3
118030,364316,104530,335205,222560,699521,Child Care Expenses,Frais de garde d'enfants,C,30,,,2008,3
171140,137989,180890,172443,352040,310433,Carrying Charges & Interest Expenses,Frais financiers et frais d'intérêts,C,31,,,2008,3
95830,83222,87870,85553,183700,168775,CPP or QPP contributions on self-employed earnings,"Déd., cotisations au RPC/RRQ pour le revenu d'un travail indép./autres revenus",C,32,,,2008,3
45760,144251,53990,175447,99750,319697,Other Employment Expenses,Autres dépenses d'emploi,C,33,,,2008,3
118300,213641,106920,231200,225210,444841,Other Deductions (from Total Income),Autres déductions (du revenu total),C,34,,,2008,3
200,507,220,262,420,769,Social Benefits Repayment,Remboursement des prestations de programmes sociaux,C,35,,,2008,3
1022120,2843281,1073020,3590195,2095140,6433477,Total Deductions,Total des déductions (du revenu net),C,36,,,2008,3
1577700,48435401,1514220,53267899,3091920,101703301,Net Income,Revenu net,C,37,,,2008,3
2630,20606,2720,18435,5350,39041,Capital Gains Deduction,Déduction pour gains en capital,C,38,,,2008,3
16080,40081,19740,39743,35820,79824,Losses from Other Years,Pertes d'autres années,C,39,,,2008,3
144940,971744,107500,714096,252440,1685840,Additional Deductions (from Net Income),Déductions supplémentaires (du revenu net),C,40,,,2008,3
162400,1058840,128830,772273,291230,1831114,Total Deductions from Net Income,Total des déductions (du revenu net),C,41,,,2008,3
1572220,47377155,1512630,52497854,3084850,99875010,Taxable Income Assessed,Revenu imposable établi,D,42,,,2008,3
346990,1791332,300530,1387367,647530,3178699,Age Amount,Montant en raison de l'âge,D,43,,,2008,3
1578740,17315864,1515220,16609597,3093950,33925461,Other Federal Non-Refundable Tax Credits,Autres crédits d’impôt non remboursables fédéraux,D,44,,,2008,3
1103510,1395615,1093530,1644367,2197040,3039982,CPP or QPP Contributions,Cotisations au RPC ou au RRQ,D,45,,,2008,3
1042150,476711,1026110,552734,2068260,1029445,Employment Insurance Premiums,Cotisations à l'assurance-emploi,D,46,,,2008,3
319870,40984,312750,46248,632630,87232,Provincial Parental Insurance Plan,Cotisations au Régime provincial d'assurance parentale,D,47,,,2008,3
1179010,1154682,1161280,1140638,2340290,2295320,Canada Employment Amount,Montant canadien pour emploi,D,48,,,2008,3
101410,76263,100330,76956,201740,153219,Public Transit Passes Amount,Montant pour le coût des laissez-passer de transport en commun,D,49,,,2008,3
74070,31101,92210,40504,166280,71605,Children's Fitness Amount,Montant pour la condition physique des enfants,D,50,,,2008,3
415930,817196,398860,785124,814800,1602320,Pension Income Amount,Montant pour revenu de pension,D,51,,,2008,3
60490,422796,55830,391474,116320,814270,Disability and Caregiver Amounts,Montants pour personnes handicapées et pour aidants naturels,D,52,,,2008,3
212650,968052,196170,779673,408820,1747725,"Tuition, Education, Textbook amounts & Interest on student loans",Montants et intérêts relatifs aux études,D,53,,,2008,3
60700,259360,49140,190823,109840,450183,Amounts Transferred from Spouse,Montants transférés de votre époux ou conjoint de fait,D,54,,,2008,3
403050,952156,343440,859770,746490,1811926,Allowable Portion of Medical Expenses,Montant admissible des frais médicaux,D,55,,,2008,3
1578830,3854471,1515440,3674971,3094270,7529442,Total Tax Credits on Personal Amounts,Crédits d'impôt nets alloués,E,56,,,2008,3
437620,371045,450280,384592,887900,755637,Donations and Gifts,Dons,E,57,,,2008,3
433720,98619,444950,102409,878670,201028,Total Tax Credit on Donations,Crédits d’impôt pour les dons,E,58,,,2008,3
1578870,3953090,1515490,3777380,3094370,7730470,Total Non-Refundable Tax Credits,Total des crédits d'impôt non remboursables fédéraux,F,59,,,2008,3
233850,108870,251090,148608,484950,257478,Federal Dividend Tax Credit,Crédit d'impôt fédéral pour dividendes,F,60,,,2008,3
1477600,3128078,1458600,4011568,2936190,7139646,Basic Federal Tax,Impôt fédéral de base,F,61,,,2008,3
1469640,3117457,1453730,3994239,2923370,7111696,Net Federal Tax,Impôt fédéral net,F,62,,,2008,3
77000,135739,69830,140187,146830,275927,CPP Contr. On Self Employment,Cot. au RPC pour le rev. d'un trav. indép.& pour d’autres rev.,F,63,,,2008,3
1094300,1380492,1072950,1711031,2167250,3091523,Net Provincial Tax or Territorial Tax,Impôt provincial ou territorial net,F,64,,,2008,3
1515130,4634238,1479760,5845740,2994890,10479978,Total Tax Payable,Total de l'impôt à payer,F,65,,,2008,3
1268180,0,1079010,0,2347190,0,Number of Taxable Returns,Nombre de déclarations imposables,A,1,,,2008,4
23690,0,11470,0,35160,0,Number of Non-Taxable Returns,Nombre de déclarations non-imposables,A,2,,,2008,4
1291870,0,1090480,0,2382350,0,Total Number of Returns,Nombre total de déclarations,A,3,,,2008,4
1016750,37712869,865920,35991455,1882670,73704323,Employment Income,Revenus d'emploi,B,4,,,2008,4
28710,316849,22710,292937,51420,609785,Commissions (from Employment),Commissions (d'emploi),B,5,,,2008,4
155630,443006,137960,395702,293590,838707,Other Employment Income,Autres revenus d'emploi,B,6,,,2008,4
202040,1172632,164280,947918,366320,2120551,Old Age Security Pension,Pension de la Sécurité de la vieillesse,B,7,,,2008,4
285910,2099675,239970,1757381,525880,3857056,CPP or QPP Benefits,Prestations du RPC ou du RRQ,B,8,,,2008,4
232380,4291633,200690,4300096,433070,8591729,Other Pensions or Superannuation,Autres pensions ou pensions de retraite,B,9,,,2008,4
71140,103378,56580,80558,127720,183936,Universal Child Care Benefit,Prestation universelle pour la garde d'enfants,B,10,,,2008,4
163100,980416,122040,737794,285140,1718209,Employment Insurance Benefits,Prestations d'assurance emploi et autres prestations,B,11,,,2008,4
226420,1044984,218220,1021290,444640,2066274,Taxable Amount of Dividends,Montant imposable des dividendes,B,12,,,2008,4
492100,2447032,442110,2301289,934210,4748321,Investment Income and Other Investment Income,Intérêts et autres revenus de placements,B,13,,,2008,4
0,0,0,0,0,0,Registered Disability Savings Plan Income,Revenus d'un régime enregistré d'épargne-invalidité,B,14,,,2008,4
80140,118830,75130,104573,155270,223403,Net Rental Income,Revenus nets de location,B,15,,,2008,4
77460,193153,75070,228060,152530,421212,Taxable Capital Gains,Gains en capital imposables,B,16,,,2008,4
142950,552437,126410,491684,269360,1044121,Registered Retirement Savings Plan Income,Revenu d'un REER,B,17,,,2008,4
89460,1184402,71430,1029185,160890,2213587,Net Business Income,Revenus nets d'entreprise,B,18,,,2008,4
10130,166491,12100,172153,22220,338643,Net Professional Income,Revenus nets de profession libérale,B,19,,,2008,4
7790,113195,7050,116169,14840,229364,Net Commission Income,Revenus nets de commissions,B,20,,,2008,4
19230,60440,15920,115593,35150,176033,Net Farming Income,Revenus nets d'agriculture,B,21,,,2008,4
1540,30436,1700,26613,3250,57048,Net Fishing Income,Revenus nets de pêche,B,22,,,2008,4
67260,521986,45960,390619,113220,912605,Tax Exempt Income,Revenus non imposables,B,23,,,2008,4
258160,1204154,242680,1211147,500830,2415301,Other Income,Autres revenus,B,24,,,2008,4
1291870,54757997,1090480,51712213,2382350,106470210,Total Income Assessed,Revenu total établi,C,25,,,2008,4
362910,705913,355470,800557,718380,1506470,Registered Pension Plan Contributions,Déductions pour RPA,C,26,,,2008,4
471410,1583106,442870,1472250,914280,3055356,Registered Retirement Savings Plan Contributions,Déductions pour REER,C,27,,,2008,4
93850,745925,85250,859905,179100,1605829,Deduction for elected split-pension amount,Déduction pour le choix du montant de pension fractionné,C,28,,,2008,4
418520,231549,380580,243590,799100,475139,Union and Professional Dues,"Cotisations annuelles syndicales, professionnelles et semblables",C,29,,,2008,4
90590,317252,77890,292255,168480,609506,Child Care Expenses,Frais de garde d'enfants,C,30,,,2008,4
162400,180971,152640,162042,315040,343013,Carrying Charges & Interest Expenses,Frais financiers et frais d'intérêts,C,31,,,2008,4
68540,72111,52390,61222,120930,133333,CPP or QPP contributions on self-employed earnings,"Déd., cotisations au RPC/RRQ pour le revenu d'un travail indép./autres revenus",C,32,,,2008,4
53100,188560,55640,207058,108750,395619,Other Employment Expenses,Autres dépenses d'emploi,C,33,,,2008,4
87080,193666,76210,211649,163290,405315,Other Deductions (from Total Income),Autres déductions (du revenu total),C,34,,,2008,4
30,74,0,0,30,82,Social Benefits Repayment,Remboursement des prestations de programmes sociaux,C,35,,,2008,4
991530,4219126,882210,4310535,1873740,8529661,Total Deductions,Total des déductions (du revenu net),C,36,,,2008,4
1290610,50734799,1089850,47424809,2380460,98159607,Net Income,Revenu net,C,37,,,2008,4
2730,26103,1720,16224,4460,42328,Capital Gains Deduction,Déduction pour gains en capital,C,38,,,2008,4
12670,33766,13470,35308,26140,69073,Losses from Other Years,Pertes d'autres années,C,39,,,2008,4
88880,668271,65050,465271,153930,1133542,Additional Deductions (from Net Income),Déductions supplémentaires (du revenu net),C,40,,,2008,4
103380,728140,79340,520211,182710,1248351,Total Deductions from Net Income,Total des déductions (du revenu net),C,41,,,2008,4
1287990,50007478,1089480,46904671,2377470,96912149,Taxable Income Assessed,Revenu imposable établi,D,42,,,2008,4
204820,844764,166810,589617,371620,1434381,Age Amount,Montant en raison de l'âge,D,43,,,2008,4
1291570,14221604,1089840,12057446,2381410,26279050,Other Federal Non-Refundable Tax Credits,Autres crédits d’impôt non remboursables fédéraux,D,44,,,2008,4
1000770,1743735,849160,1606162,1849930,3349896,CPP or QPP Contributions,Cotisations au RPC ou au RRQ,D,45,,,2008,4
949110,576166,807280,507715,1756390,1083882,Employment Insurance Premiums,Cotisations à l'assurance-emploi,D,46,,,2008,4
262120,44423,211010,40002,473130,84425,Provincial Parental Insurance Plan,Cotisations au Régime provincial d'assurance parentale,D,47,,,2008,4
1067270,1051610,901710,891037,1968990,1942647,Canada Employment Amount,Montant canadien pour emploi,D,48,,,2008,4
86980,71688,78380,67942,165360,139630,Public Transit Passes Amount,Montant pour le coût des laissez-passer de transport en commun,D,49,,,2008,4
84080,37146,88430,39841,172500,76987,Children's Fitness Amount,Montant pour la condition physique des enfants,D,50,,,2008,4
